HIRES_murphy_A/J000520+052410/0.85118       -0.340	1.284
HIRES_murphy_A/J012017+213346/0.72913	     0.041	1.297
HIRES_murphy_A/J012017+213346/1.04790	    -0.202	2.199
HIRES_murphy_A/J012017+213346/1.32460	     0.703	0.804
HIRES_murphy_A/J012017+213346/1.34280	    -1.290	0.949
HIRES_murphy_A/J042315-012033/0.63308	     4.282	4.088
HIRES_murphy_A/J045312-130546/1.17430	    -3.033	1.093
HIRES_murphy_A/J045312-130546/1.22940	    -1.472	0.818
HIRES_murphy_A/J045312-130546/1.23240	     0.981	2.757
HIRES_murphy_A/J045647+040052/0.85929	     0.578	1.205
HIRES_murphy_A/J045647+040052/1.15340	    -0.743	1.787
HIRES_murphy_A/J082601-223027/0.91059	    -0.391	0.609
HIRES_murphy_A/J115129+382552/0.55339	    -1.837	1.716
HIRES_murphy_A/J120858+454035/0.92741	    -0.218	1.390
HIRES_murphy_A/J121549-003432/1.31960	    -0.725	0.761
HIRES_murphy_A/J121549-003432/1.55410	    -1.870	0.878
HIRES_murphy_A/J122527+223513/0.66802	     0.075	1.475
HIRES_murphy_A/J122824+312837/1.79540	    -1.295	1.050
HIRES_murphy_A/J125048+395139/0.77292	     2.228	1.179
HIRES_murphy_A/J125048+395139/0.85452	    -0.021	1.270
HIRES_murphy_A/J125659+042734/0.51934	    -3.365	3.256
HIRES_murphy_A/J125659+042734/0.93426	     1.877	1.796
HIRES_murphy_A/J131956+272808/0.66004	     0.444	1.505
HIRES_murphy_A/J142326+325220/0.84324	     0.102	0.846
HIRES_murphy_A/J142326+325220/0.90301	    -0.999	1.783
HIRES_murphy_A/J142326+325220/1.17260	    -3.204	1.546
HIRES_murphy_A/J163428+703132/0.99010	     1.156	2.399
HIRES_murphy_B1/J000150-015940/2.09510	     0.034	0.727
HIRES_murphy_B1/J000150-015940/2.15390	     3.605	3.954
HIRES_murphy_B1/J002208-150539/3.43880	     0.937	3.912
HIRES_murphy_B1/J010311+131617/2.30950	    -3.949	1.370
HIRES_murphy_B1/J015234+335033/2.14080	    -5.418	2.160
HIRES_murphy_B1/J020456+364918/1.47610	    -0.658	1.216
HIRES_murphy_B1/J020456+364918/1.95500	     1.992	1.048
HIRES_murphy_B1/J020456+364918/2.32400	     0.017	1.640
HIRES_murphy_B1/J020456+364918/2.45630	    -5.853	2.597
HIRES_murphy_B1/J020456+364918/2.46280	     0.576	1.729
HIRES_murphy_B1/J034943-381031/3.02470	    -2.835	3.422
HIRES_murphy_B1/J084424+124546/2.37420	     2.265	3.827
HIRES_murphy_B1/J084424+124546/2.47610	    -4.664	1.973
HIRES_murphy_B1/J121732+330538/1.99900	     5.498	3.178
HIRES_murphy_B1/J175746+753916A/2.62530	    -0.751	1.388
HIRES_murphy_B1/J175746+753916B/2.62530	    -0.591	1.773
HIRES_murphy_B1/J220852-194400/0.94841	    -3.664	1.857
HIRES_murphy_B1/J220852-194400/1.01720	    -0.318	0.734
HIRES_murphy_B1/J220852-194400/1.92040	     1.399	0.703
HIRES_murphy_B1/J223235+024755/1.85850	    -5.480	1.174
HIRES_murphy_B1/J223235+024755/1.86400	    -1.012	0.492
HIRES_murphy_B1/J223408+000001/2.06530	    -2.614	1.017
HIRES_murphy_B1/J235129-142756/2.27940	     1.366	4.161
HIRES_murphy_B2/J025518+004847/3.25340	    -2.494	3.066
HIRES_murphy_B2/J074521+473436/1.61110	    -2.489	2.022
HIRES_murphy_B2/J074521+473436/3.01730	     1.226	2.782
HIRES_murphy_B2/J083943+104321/2.46730	     6.973	4.395
HIRES_murphy_B2/J095500-013006/2.62380	     2.141	7.358
HIRES_murphy_B2/J095744+330820/4.17980	     1.237	3.933
HIRES_murphy_B2/J111113-080402/1.97460	     0.286	2.326
HIRES_murphy_B2/J111113-080402/3.60610	    -0.420	4.402
HIRES_murphy_B2/J121303+171423/0.69404	    -1.920	3.916
HIRES_murphy_B2/J121303+171423/0.84142	     0.579	0.804
HIRES_murphy_B2/J121303+171423/1.89180	    -0.445	0.903
HIRES_murphy_B2/J122607+173650/2.46530	    -1.306	1.656
HIRES_murphy_B2/J122607+173650/2.55770	    -0.253	3.503
HIRES_murphy_B2/J235057-005209/2.42640	    -4.879	3.485
HIRES_murphy_B2/J235057-005209/2.61470	    -0.697	3.801
HIRES_murphy_C/J000322-260318/1.43420	    -1.253	1.167
HIRES_murphy_C/J000322-260318/3.38970	    -7.843	3.548
HIRES_murphy_C/J000520+052410/0.59137	    -3.105	2.433
HIRES_murphy_C/J000520+052410/0.85118	     0.475	1.022
HIRES_murphy_C/J005758-264314/1.26790	     2.057	2.521
HIRES_murphy_C/J005758-264314/1.31920	    -2.587	2.410
HIRES_murphy_C/J005758-264314/1.53370	    -1.345	1.156
HIRES_murphy_C/J010054+021136/0.61256	     0.372	1.191
HIRES_murphy_C/J010054+021136/0.72508	    -2.634	3.523
HIRES_murphy_C/J012227-042127/0.65741	     7.123	4.608
HIRES_murphy_C/J015734+744243/0.74550	    -2.056	0.745
HIRES_murphy_C/J020945+051714/3.66630	    -0.599	3.503
HIRES_murphy_C/J021857+081727/1.76800	     0.046	1.235
HIRES_murphy_C/J024008-230915/1.36500	    -0.222	0.523
HIRES_murphy_C/J024401-013403/2.09940	    -0.813	2.621
HIRES_murphy_C/J030449-221151/1.00920	    -0.193	1.009
HIRES_murphy_C/J045142-132033/1.26670	    -1.268	1.462
HIRES_murphy_C/J053007-250329/0.94398	     0.758	2.337
HIRES_murphy_C/J053007-250329/2.14060	    -0.865	0.867
HIRES_murphy_C/J053007-250329/2.81140	     0.919	0.863
HIRES_murphy_C/J064204+675835/1.29380	    -1.393	0.624
HIRES_murphy_C/J074521+473436/1.61110	    -1.298	1.727
HIRES_murphy_C/J074521+473436/3.01730	     0.822	2.196
HIRES_murphy_C/J080117+521034/2.60210	    -1.629	2.272
HIRES_murphy_C/J080117+521034/2.86770	    -1.878	3.977
HIRES_murphy_C/J084424+124546/1.09810	    -3.570	1.220
HIRES_murphy_C/J084424+124546/1.13140	     0.561	0.789
HIRES_murphy_C/J084424+124546/1.21890	    -0.521	0.542
HIRES_murphy_C/J084424+124546/2.37420	     1.411	1.164
HIRES_murphy_C/J093337+284532/3.23510	     0.855	1.824
HIRES_murphy_C/J094253-110426/1.05980	    -0.751	1.643
HIRES_murphy_C/J095852+120245/2.31030	    -2.245	6.439
HIRES_murphy_C/J101155+294141/1.11170	    -5.459	2.508
HIRES_murphy_C/J101447+430030/1.41620	    -0.904	0.560
HIRES_murphy_C/J101447+430030/2.95870	     1.861	1.948
HIRES_murphy_C/J105756+455552/3.31720	     2.747	6.067
HIRES_murphy_C/J111038+483115/0.80757	     1.215	1.221
HIRES_murphy_C/J111038+483115/0.86182	    -2.024	1.636
HIRES_murphy_C/J111038+483115/1.01580	    -2.098	0.937
HIRES_murphy_C/J113508+222715/2.10530	     4.361	3.976
HIRES_murphy_C/J120523-074232/1.75490	    -1.465	2.178
HIRES_murphy_C/J120858+454035/0.92741	    -0.280	0.777
HIRES_murphy_C/J122607+173650/2.46530	     1.654	1.908
HIRES_murphy_C/J122607+173650/2.55770	     0.419	1.198
HIRES_murphy_C/J122824+312837/1.79540	     0.648	1.415
HIRES_murphy_C/J124714+312641/0.85048	    -6.900	7.023
HIRES_murphy_C/J124714+312641/2.75040	     2.485	4.788
HIRES_murphy_C/J131011+460124/0.22909	     2.549	5.395
HIRES_murphy_C/J134002+110630/2.79550	     4.109	9.498
HIRES_murphy_C/J142656+602550/2.76980	    -0.688	1.866
HIRES_murphy_C/J142656+602550/2.82680	     0.319	0.929
HIRES_murphy_C/J143912+295448/1.22590	     0.280	1.433
HIRES_murphy_C/J144453+291905/2.43890	    -0.939	1.712
HIRES_murphy_C/J155152+191104/1.14250	    -0.092	0.663
HIRES_murphy_C/J155152+191104/1.34220	    -0.853	1.169
HIRES_murphy_C/J155152+191104/1.80240	    -2.001	1.267
HIRES_murphy_C/J162645+642655/0.58596	    -1.977	4.530
HIRES_murphy_C/J162645+642655/2.11020	    -0.164	1.168
HIRES_murphy_C/J163428+703132/0.99010	    -2.202	1.293
HIRES_murphy_C/J185230+401906/1.99000	    -1.562	0.899
HIRES_murphy_C/J194454+770552/1.73850	    -0.194	1.861
HIRES_murphy_C/J194454+770552/2.84330	    -4.959	1.334
HIRES_murphy_C/J214805+065738/0.79026	     0.088	0.590
