Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
850.4673,1.728698E-04,-1.693234E-04,-2.237406E-04,-2.291901E-04,-1.923426E-04,-1.266129E-04,-3.358300E-04,-7.517595E-05,-1.080591E-04,4.364959E-05,-3.455890E-05,3.398893E-05,-6.545167E-05,-8.810559E-05,-2.582717E-04,-8.473460E-05
852.3958,-2.035269E-05,3.764863E-05,1.673251E-05,-1.243351E-04,1.266161E-04,-1.092487E-04,1.538886E-04,2.315490E-04,1.061873E-04,8.331371E-05,1.280310E-04,1.834863E-04,1.223945E-04,-1.121768E-04,-1.038256E-04,-9.600292E-05
854.3243,-5.941519E-05,2.682806E-04,3.660476E-04,2.865559E-04,6.198897E-04,3.949025E-05,3.012034E-04,1.849200E-04,2.462048E-04,1.638678E-04,2.007139E-04,1.549896E-04,3.286777E-04,2.755090E-04,1.144106E-04,1.413727E-04
856.2528,3.366613E-04,1.664576E-04,2.490567E-04,4.667589E-04,4.412948E-04,1.312167E-04,1.502822E-05,2.832529E-04,2.146792E-04,1.110400E-04,1.315774E-05,2.655495E-05,4.101359E-04,3.130788E-04,1.093679E-05,2.749243E-04
858.1813,3.917258E-04,1.904136E-04,2.548478E-04,5.769069E-04,3.461949E-04,2.233635E-04,8.438672E-05,5.769559E-04,4.627756E-04,3.030631E-04,2.074406E-04,5.837529E-05,5.369011E-04,5.988556E-04,5.163297E-05,2.100409E-04
860.1098,4.696683E-04,5.070596E-04,6.064958E-04,5.437269E-04,3.716701E-04,4.707547E-04,9.087312E-05,4.790438E-04,5.235971E-04,3.615642E-04,4.378315E-04,6.791263E-05,4.743872E-04,7.234165E-04,1.773292E-04,3.422337E-04
862.0383,8.562868E-04,7.676926E-04,8.284149E-04,4.333879E-04,5.847342E-04,5.448707E-04,1.908947E-04,2.620408E-04,5.659295E-04,4.406303E-04,4.725294E-04,3.661170E-04,5.027424E-04,6.265623E-04,2.895783E-04,6.213189E-04
863.9668,8.213393E-04,8.558606E-04,8.651780E-04,6.053309E-04,6.061703E-04,3.128486E-04,4.251188E-04,3.727777E-04,5.256740E-04,3.169875E-04,4.800343E-04,4.747783E-04,4.509026E-04,3.826581E-04,2.852015E-04,6.258034E-04
865.8953,7.450498E-04,8.922526E-04,1.044656E-03,7.281319E-04,6.296354E-04,4.217846E-04,5.234286E-04,4.695167E-04,4.750444E-04,3.673176E-04,4.498881E-04,4.886296E-04,4.481168E-04,3.878919E-04,4.103757E-04,5.877749E-04
867.8238,1.006051E-03,1.099998E-03,1.029992E-03,8.201969E-04,8.422655E-04,9.419906E-04,5.326712E-04,6.935156E-04,6.080418E-04,6.245017E-04,5.618880E-04,5.744280E-04,6.224149E-04,5.060507E-04,6.545599E-04,4.575974E-04
