,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.249909118,0.245431319,0.250937666,0.249661424,
850.4673,-3.692563E-04,4.053308E-04,-2.071049E-03,5.114864E-04,-5.479150E-04,-1.702147E-03
852.3958,3.527158E-05,5.105988E-04,-1.512790E-03,2.728037E-04,-4.103361E-04,-1.139724E-03
854.3243,1.402905E-04,6.943678E-04,-1.129339E-03,5.476502E-04,-2.887411E-04,-1.760616E-04
856.2528,-1.361186E-04,9.134048E-04,-7.443219E-04,9.733528E-04,1.765849E-04,1.319021E-03
858.1813,-6.810738E-04,1.210889E-03,-8.546600E-04,7.453068E-04,3.205148E-04,1.422050E-03
860.1098,-1.005189E-04,1.008916E-03,-8.815203E-04,8.072234E-04,5.590616E-05,9.905250E-04
862.0383,7.823090E-04,8.406818E-04,-8.052543E-04,9.081566E-04,-1.439953E-05,9.291845E-04
863.9668,3.442479E-04,1.066996E-03,-7.502775E-04,8.524715E-04,-1.190647E-04,1.050125E-03
865.8953,1.723898E-04,1.292120E-03,-8.918997E-04,8.232465E-04,1.212706E-04,1.344737E-03
867.8238,7.324827E-04,1.459892E-03,-9.666739E-04,3.742654E-04,-2.314195E-04,6.360637E-04
869.7523,6.108226E-04,1.503916E-03,-1.234622E-03,2.479108E-04,-1.751019E-04,3.421026E-04
871.6808,3.305025E-04,1.775901E-03,-1.312058E-03,7.315604E-04,1.208873E-04,1.316290E-03
873.6093,1.872624E-04,1.376819E-03,-1.278861E-03,6.100917E-04,0.000000E+00,7.080490E-04
875.5378,-6.338976E-05,1.006939E-03,-1.107770E-03,6.509940E-04,7.650428E-05,6.266673E-04
877.4662,-1.633952E-05,2.295408E-04,-1.107503E-03,8.492500E-04,-1.824819E-04,-2.111940E-04
879.3948,-1.329120E-04,-1.587372E-04,-7.932551E-04,7.387480E-04,-1.977600E-04,-4.110043E-04
881.3232,-1.133517E-04,3.651176E-05,-6.356011E-04,8.706852E-04,3.841912E-04,6.557872E-04
883.2518,8.206979E-05,-2.470112E-04,-6.668920E-04,7.197545E-04,-9.406759E-05,-2.882162E-04
885.1802,2.704105E-04,-1.738352E-04,-6.971213E-04,8.112913E-04,-3.654857E-04,-4.251509E-04
887.1088,-2.658621E-04,2.453888E-04,-6.517069E-04,7.528357E-04,-5.271612E-04,-1.806437E-04
889.0372,-4.415241E-04,2.466918E-04,-3.690671E-04,7.276707E-04,-6.246188E-04,-1.932345E-05
890.9658,-6.857967E-05,-2.047605E-04,-5.837220E-04,1.090483E-03,-8.611393E-04,-5.591386E-04
892.8942,5.271543E-04,-3.382633E-05,-7.073693E-04,1.267917E-03,-5.133848E-04,1.333656E-05
894.8227,3.101425E-04,4.368329E-05,-1.091990E-03,6.320263E-04,-6.800301E-05,-4.842830E-04
896.7512,2.293547E-04,3.279238E-05,-1.108919E-03,7.739061E-04,-4.931721E-06,-3.071519E-04
898.6797,2.722979E-04,2.805005E-04,-5.052476E-04,7.122899E-04,-5.617142E-05,4.313713E-04
900.6082,3.167231E-04,4.316616E-04,-4.110544E-04,2.308014E-04,1.773518E-04,4.287604E-04
902.5367,2.295732E-05,2.667557E-04,-7.607613E-04,2.064555E-04,7.060047E-05,-2.169497E-04
904.4652,-8.103548E-05,2.363977E-04,-1.030092E-03,-3.457682E-04,-7.198583E-05,-1.211449E-03
906.3937,-7.859628E-05,5.883698E-04,-6.634507E-04,-5.379737E-04,2.339950E-04,-3.790595E-04
908.3222,1.981043E-05,7.296419E-04,-3.065832E-04,-5.379692E-05,4.509390E-04,8.202008E-04
910.2507,1.506870E-04,8.049050E-04,-6.405445E-05,5.662166E-04,-1.549767E-04,1.152090E-03
912.1792,3.274535E-04,8.490451E-04,1.447825E-05,6.464126E-04,-3.947299E-04,1.115206E-03
914.1077,5.810960E-04,1.009037E-03,-2.241514E-04,3.088168E-04,-3.345369E-04,7.591656E-04
916.0362,6.369965E-04,6.688293E-04,9.789068E-06,5.544841E-04,1.423633E-04,1.375466E-03
917.9647,3.036300E-04,4.539974E-04,6.356978E-05,8.963099E-04,3.338490E-04,1.747726E-03
919.8932,3.948866E-04,6.965165E-04,-1.326875E-04,5.061046E-04,9.179905E-05,1.161733E-03
921.8217,5.443161E-04,7.225736E-04,2.347479E-05,5.996634E-04,-1.525063E-04,1.193206E-03
923.7502,1.737536E-04,6.978367E-04,-7.055802E-06,1.064974E-03,-1.757935E-04,1.579962E-03
925.6786,1.760934E-06,7.829212E-04,5.657690E-05,5.743940E-04,-2.732265E-04,1.140666E-03
927.6072,-1.288024E-04,7.531618E-04,-2.836529E-05,-2.092352E-04,-1.526417E-04,3.629197E-04
929.5356,-2.647797E-04,6.212024E-04,-2.626298E-04,-1.061870E-04,3.621784E-04,6.145641E-04
931.4642,8.849445E-05,5.588180E-04,1.317413E-04,1.609321E-05,4.338170E-04,1.140470E-03
933.3926,7.432957E-05,6.485195E-04,5.132779E-04,-1.856591E-04,1.158175E-04,1.091956E-03
935.3212,-1.883593E-04,5.054372E-04,5.893407E-04,2.475497E-04,-7.321725E-05,1.269110E-03
937.2496,1.206980E-05,4.309067E-04,8.888148E-04,4.513796E-04,-6.811509E-05,1.702986E-03
939.1782,6.530169E-04,5.811764E-04,9.167993E-04,-1.255534E-04,3.853667E-04,1.757789E-03
941.1066,1.021895E-03,9.838419E-04,9.167714E-04,-2.475854E-04,4.887392E-04,2.141767E-03
943.0352,1.019934E-03,7.995996E-04,6.830668E-04,-3.891601E-05,-8.450709E-06,1.435300E-03
944.9636,5.075722E-04,3.177641E-04,9.222856E-04,-2.701951E-04,-2.601415E-05,9.438404E-04
946.8922,5.236835E-05,-1.950243E-04,1.531311E-03,-1.412460E-04,3.883075E-04,1.583348E-03
948.8206,2.420155E-04,-1.107782E-04,1.260583E-03,4.479414E-05,3.019661E-04,1.496565E-03
950.7491,2.427606E-04,2.393982E-04,9.109663E-04,-2.006972E-04,1.504830E-04,1.100150E-03
952.6776,-4.714530E-05,1.291276E-04,7.584878E-04,-5.471466E-04,-2.234313E-04,1.170375E-04
954.6061,-1.418682E-04,-1.984999E-04,7.067415E-04,-1.513915E-04,-2.907652E-04,6.608486E-05
956.5346,7.895350E-05,3.539905E-04,9.384640E-04,3.157009E-04,-2.102439E-04,1.397912E-03
958.4631,4.811837E-04,8.036569E-04,1.037661E-03,2.465700E-04,-1.570038E-04,1.930884E-03
960.3916,9.188678E-04,1.235233E-03,9.432823E-04,2.481888E-06,1.002042E-04,2.281202E-03
962.3201,1.891168E-03,1.885088E-03,1.402064E-03,-3.337627E-05,3.658498E-04,3.619625E-03
964.2486,2.991309E-03,2.375519E-03,2.024780E-03,-1.796844E-04,5.058612E-04,4.726476E-03
966.1771,4.161988E-03,2.078503E-03,2.458270E-03,-3.988607E-04,2.588829E-04,4.396795E-03
968.1056,4.662871E-03,1.893767E-03,3.051730E-03,-4.507967E-04,9.500421E-05,4.589705E-03
970.0341,3.875765E-03,2.227290E-03,2.569520E-03,-1.729399E-04,4.532611E-05,4.669195E-03
971.9626,2.626519E-03,2.599195E-03,1.969063E-03,2.649200E-04,1.060004E-04,4.939178E-03
973.8911,2.198002E-03,2.366725E-03,1.435514E-03,3.323278E-04,-1.665038E-04,3.968063E-03
975.8196,2.467170E-03,2.291864E-03,1.034656E-03,3.825866E-04,-2.405107E-04,3.468596E-03
977.7481,2.888193E-03,2.726421E-03,9.871579E-04,1.844555E-04,3.108056E-04,4.208840E-03
979.6766,3.465956E-03,3.052171E-03,1.122327E-03,-2.261672E-06,2.079603E-04,4.380196E-03
981.6051,3.750001E-03,3.296861E-03,1.421480E-03,6.081817E-05,1.568751E-05,4.794847E-03
983.5336,3.763616E-03,2.787806E-03,1.636605E-03,1.089241E-04,1.199116E-04,4.653246E-03
985.4621,4.058075E-03,2.084758E-03,2.145626E-03,-1.643371E-04,-2.275679E-05,4.043290E-03
987.3906,3.937212E-03,1.484769E-03,2.144520E-03,1.202377E-04,-1.129105E-04,3.636617E-03
989.3191,3.759300E-03,1.242253E-03,2.368200E-03,4.702845E-04,-1.137381E-04,3.966999E-03
991.2476,4.026532E-03,1.318959E-03,3.005235E-03,5.614093E-04,-1.130760E-04,4.772528E-03
993.1761,3.912931E-03,9.426547E-04,3.489985E-03,2.676661E-04,-1.313495E-04,4.568956E-03
995.1046,3.723087E-03,1.113373E-03,3.370568E-03,1.391292E-05,-1.526395E-04,4.345215E-03
997.0331,3.552999E-03,1.404609E-03,2.656256E-03,2.135457E-04,4.952058E-05,4.323931E-03
998.9615,3.311681E-03,1.259920E-03,2.862470E-03,2.930439E-04,2.755935E-04,4.691027E-03
1000.89,3.456680E-03,1.587782E-03,3.328644E-03,3.103037E-04,5.648047E-04,5.791535E-03
1002.819,3.363703E-03,2.074028E-03,3.292237E-03,2.845096E-04,7.427430E-04,6.393518E-03
1004.747,3.582469E-03,1.850602E-03,3.001275E-03,4.011274E-05,3.970525E-04,5.289042E-03
1006.676,4.132201E-03,1.835454E-03,2.620956E-03,-3.344568E-04,1.851541E-04,4.307107E-03
1008.604,4.653125E-03,2.162571E-03,2.780914E-03,-4.551036E-04,1.835563E-04,4.671937E-03
1010.533,5.361804E-03,2.469281E-03,3.599707E-03,1.295254E-04,3.457967E-05,6.233093E-03
1012.461,6.200196E-03,2.806956E-03,4.246795E-03,5.853879E-04,-1.016339E-04,7.537505E-03
1014.39,6.654917E-03,3.417049E-03,4.668945E-03,2.341985E-04,-6.489673E-06,8.313703E-03
1016.318,7.235849E-03,3.612098E-03,5.391980E-03,-1.029150E-04,6.701399E-05,8.968177E-03
1018.247,8.082639E-03,3.071789E-03,6.300910E-03,-3.074788E-04,-4.799708E-04,8.585249E-03
1020.175,9.004001E-03,2.888221E-03,6.367477E-03,1.497940E-04,-4.289380E-04,8.976554E-03
1022.104,1.037735E-02,3.176095E-03,6.863220E-03,5.801577E-04,1.351198E-04,1.075459E-02
1024.032,1.200667E-02,3.450999E-03,8.335540E-03,4.478136E-04,2.960693E-04,1.253042E-02
1025.961,1.313448E-02,3.353373E-03,9.816859E-03,5.172134E-05,5.435912E-04,1.376554E-02
1027.889,1.304632E-02,3.826857E-03,9.606899E-03,-1.845475E-04,4.153093E-04,1.366452E-02
1029.818,1.202227E-02,4.596512E-03,8.227352E-03,-2.411368E-04,-3.086127E-06,1.257964E-02
1031.746,1.057040E-02,5.118209E-03,6.422139E-03,9.237629E-05,-1.755063E-04,1.145722E-02
1033.675,9.521528E-03,5.846963E-03,4.491411E-03,4.047190E-04,1.593409E-04,1.090243E-02
1035.603,9.069950E-03,6.504497E-03,3.159608E-03,3.238656E-04,-2.453648E-06,9.985518E-03
1037.531,8.384932E-03,6.667421E-03,2.310443E-03,2.401773E-04,-2.050919E-04,9.012950E-03
1039.46,7.851772E-03,6.630564E-03,1.916109E-03,-2.652331E-04,2.089245E-04,8.490365E-03
1041.389,7.640033E-03,6.821893E-03,1.820089E-03,-7.427662E-04,2.757404E-04,8.174956E-03
1043.317,8.114145E-03,6.907818E-03,1.612188E-03,-2.963911E-04,2.483767E-04,8.471992E-03
1045.245,8.155837E-03,7.056463E-03,1.435833E-03,-1.074337E-04,3.319307E-04,8.716793E-03
1047.174,8.284877E-03,7.826469E-03,1.353160E-03,1.135613E-04,-8.660535E-05,9.206585E-03
1049.103,9.458227E-03,8.633634E-03,1.389179E-03,2.483684E-04,-1.025267E-04,1.016866E-02
1051.031,1.051236E-02,9.782520E-03,1.158066E-03,1.954260E-04,1.800414E-04,1.131605E-02
1052.959,1.151110E-02,1.131022E-02,6.235137E-04,1.974925E-04,-1.142771E-04,1.201695E-02
1054.888,1.269610E-02,1.233881E-02,7.620219E-04,4.493876E-05,-7.017545E-04,1.244402E-02
1056.817,1.401444E-02,1.324682E-02,1.146819E-03,3.837977E-04,-4.099540E-04,1.436748E-02
1058.745,1.523682E-02,1.441137E-02,1.425774E-03,6.078493E-04,3.971776E-04,1.684217E-02
1060.673,1.652597E-02,1.528522E-02,1.422194E-03,9.027969E-04,1.230666E-04,1.773327E-02
1062.602,1.686284E-02,1.579435E-02,1.357305E-03,6.674861E-04,-3.046652E-04,1.751448E-02
1064.531,1.716492E-02,1.585922E-02,1.283575E-03,1.153063E-04,8.669513E-05,1.734479E-02
1066.459,1.740936E-02,1.546422E-02,1.593355E-03,9.741804E-05,7.148247E-04,1.786982E-02
1068.387,1.655557E-02,1.473521E-02,1.969219E-03,1.759464E-04,6.436456E-04,1.752402E-02
1070.316,1.503984E-02,1.354377E-02,2.119685E-03,5.645161E-04,-1.616567E-04,1.606632E-02
1072.245,1.382443E-02,1.185078E-02,1.823714E-03,7.851401E-04,-2.754643E-06,1.445688E-02
1074.173,1.284618E-02,1.090243E-02,1.386576E-03,4.319761E-04,7.115314E-04,1.343252E-02
1076.101,1.199067E-02,1.037127E-02,1.225798E-03,3.921124E-05,6.278051E-04,1.226408E-02
1078.03,1.111645E-02,1.016432E-02,9.622232E-04,-2.315433E-04,3.771560E-04,1.127215E-02
1079.958,1.139383E-02,1.043841E-02,5.953094E-04,-3.976874E-04,4.557634E-04,1.109180E-02
1081.887,1.175839E-02,1.070463E-02,5.213636E-04,1.616735E-04,8.069070E-04,1.219457E-02
1083.815,1.139193E-02,1.071355E-02,3.326443E-04,1.801620E-04,4.356501E-04,1.166201E-02
1085.744,1.071749E-02,1.083741E-02,-1.099779E-04,-2.069160E-04,-8.616592E-06,1.051190E-02
1087.672,9.694272E-03,1.060963E-02,-1.105839E-04,-2.986029E-04,-2.638391E-04,9.936607E-03
1089.601,8.856853E-03,9.900938E-03,6.317893E-04,-2.404395E-04,-3.260648E-04,9.966223E-03
1091.529,7.893655E-03,8.523893E-03,8.510530E-04,9.566218E-05,-1.149021E-04,9.355707E-03
1093.458,6.653295E-03,7.260079E-03,2.180884E-04,2.885001E-04,4.314269E-04,8.198095E-03
1095.386,6.440307E-03,6.680644E-03,-1.619923E-04,3.511334E-04,4.849018E-04,7.354687E-03
1097.315,6.911867E-03,6.644668E-03,-1.990295E-04,2.951868E-04,-1.343668E-04,6.606459E-03
1099.243,7.049809E-03,6.934635E-03,-6.428167E-05,3.389265E-04,-2.427151E-04,6.966565E-03
1101.172,6.721499E-03,6.864441E-03,1.176674E-04,3.380026E-04,1.751914E-05,7.337630E-03
1103.1,6.720872E-03,6.695446E-03,4.059726E-04,7.046807E-05,3.102417E-04,7.482128E-03
1105.029,6.950622E-03,6.880652E-03,6.756446E-04,-3.255457E-04,2.221683E-05,7.252967E-03
1106.957,6.688894E-03,6.758507E-03,5.306685E-04,-4.456579E-04,-3.836091E-04,6.459908E-03
1108.886,6.206984E-03,6.395773E-03,8.405807E-05,-1.887761E-04,-1.608381E-04,6.130217E-03
1110.814,5.833652E-03,6.029819E-03,2.059017E-04,-4.964539E-05,-8.192968E-05,6.104145E-03
1112.743,5.045978E-03,5.118973E-03,5.202991E-04,2.001536E-04,-2.294704E-04,5.609956E-03
1114.671,4.479445E-03,4.374050E-03,1.110731E-04,1.013708E-04,-6.211698E-05,4.524377E-03
1116.6,3.925577E-03,4.022000E-03,-3.877643E-05,-4.757187E-04,9.268222E-05,3.600187E-03
1118.528,3.468165E-03,3.612733E-03,-1.797459E-04,-2.576698E-04,-9.498609E-05,3.080332E-03
1120.457,3.520813E-03,3.333432E-03,-2.076836E-04,1.520146E-04,-2.050368E-04,3.072726E-03
1122.385,3.384463E-03,3.470964E-03,3.181927E-04,2.201756E-04,-2.216908E-04,3.787642E-03
1124.314,2.784204E-03,3.380648E-03,3.160997E-04,1.998283E-05,3.487745E-04,4.065505E-03
1126.242,2.586991E-03,3.501668E-03,3.154274E-04,2.981391E-05,6.146811E-04,4.461591E-03
1128.171,2.679745E-03,3.691574E-03,1.658138E-04,1.542711E-04,3.538881E-04,4.365547E-03
1130.099,2.794434E-03,3.370502E-03,1.715953E-04,4.032932E-04,4.312914E-04,4.376682E-03
1132.028,3.167754E-03,3.249968E-03,1.413222E-04,8.084956E-05,1.042469E-04,3.576387E-03
1133.956,3.607537E-03,3.315503E-03,-2.065744E-04,-6.425564E-04,-2.002787E-04,2.266094E-03
1135.885,3.319274E-03,3.701457E-03,-3.097226E-04,-6.616587E-04,1.021933E-04,2.832269E-03
1137.813,3.148032E-03,4.028205E-03,-5.188133E-04,-1.282009E-04,8.710365E-05,3.468294E-03
1139.742,3.777283E-03,3.660994E-03,-5.347535E-04,-6.058860E-05,-1.386833E-04,2.926968E-03
1141.67,4.354301E-03,3.755517E-03,-2.898681E-04,-2.893348E-04,-2.863837E-04,2.889930E-03
1143.599,4.492311E-03,4.072428E-03,-5.411035E-05,-1.237633E-04,4.399312E-05,3.938548E-03
1145.527,4.420791E-03,3.712624E-03,-2.237470E-04,3.063725E-04,3.601328E-04,4.155382E-03
1147.456,4.698746E-03,3.363146E-03,-1.071792E-04,3.149072E-04,1.403313E-04,3.711206E-03
1149.384,5.310963E-03,3.603546E-03,3.745128E-04,3.410574E-04,-1.981302E-04,4.120986E-03
1151.313,5.313084E-03,3.717587E-03,5.875117E-04,6.353342E-04,1.574675E-04,5.097901E-03
1153.241,5.112743E-03,3.834080E-03,2.928105E-04,8.124503E-04,1.896180E-04,5.128959E-03
1155.17,5.701576E-03,4.068606E-03,1.315203E-04,1.426791E-03,-3.735635E-05,5.589561E-03
1157.098,6.123496E-03,4.007887E-03,4.561759E-04,1.833336E-03,2.151930E-04,6.512592E-03
1159.027,6.466530E-03,3.818162E-03,5.831221E-04,1.944127E-03,5.142331E-04,6.859644E-03
1160.955,6.996016E-03,4.094498E-03,5.505893E-04,2.075666E-03,3.268252E-04,7.047579E-03
1162.884,7.897857E-03,4.107376E-03,-6.660325E-05,2.411490E-03,2.277969E-04,6.680059E-03
1164.812,8.677619E-03,3.410600E-03,-8.470142E-05,3.251178E-03,3.942289E-04,6.971305E-03
1166.741,9.227079E-03,3.163562E-03,2.980514E-04,4.539313E-03,5.432830E-04,8.544209E-03
1168.669,1.013345E-02,2.837051E-03,7.770134E-05,5.869286E-03,4.595506E-04,9.243589E-03
1170.598,1.081163E-02,2.403045E-03,-3.792815E-04,6.778367E-03,1.616032E-04,8.963734E-03
1172.526,1.118628E-02,2.355454E-03,-2.722025E-05,7.315921E-03,2.655743E-04,9.909729E-03
1174.455,1.106643E-02,2.340726E-03,7.538860E-04,6.601510E-03,1.054310E-03,1.075043E-02
1176.383,1.028334E-02,2.266862E-03,1.254146E-03,5.057556E-03,1.449897E-03,1.002846E-02
1178.312,9.234936E-03,2.348193E-03,1.086395E-03,4.100948E-03,1.445907E-03,8.981443E-03
1180.24,8.711688E-03,2.524757E-03,1.079394E-03,3.623533E-03,1.511747E-03,8.739431E-03
1182.169,8.669908E-03,2.840557E-03,1.585930E-03,3.046885E-03,1.810036E-03,9.283408E-03
1184.097,9.019230E-03,3.083416E-03,1.957443E-03,2.404353E-03,2.109114E-03,9.554326E-03
1186.026,9.624040E-03,2.978870E-03,2.588885E-03,2.163493E-03,2.056904E-03,9.788152E-03
1187.954,1.051916E-02,2.762288E-03,3.350742E-03,2.120046E-03,2.107718E-03,1.034079E-02
1189.883,1.156070E-02,2.128310E-03,4.140276E-03,2.023856E-03,2.255472E-03,1.054791E-02
1191.811,1.197057E-02,1.876277E-03,4.935154E-03,1.820199E-03,2.667702E-03,1.129933E-02
1193.74,1.205840E-02,2.261902E-03,5.319128E-03,2.000849E-03,3.106121E-03,1.268800E-02
1195.668,1.180117E-02,2.059332E-03,5.107351E-03,2.092936E-03,3.425493E-03,1.268511E-02
1197.597,1.106491E-02,1.486110E-03,4.518578E-03,2.036090E-03,3.618058E-03,1.165884E-02
1199.525,1.047116E-02,1.536705E-03,3.549039E-03,1.913441E-03,3.787189E-03,1.078637E-02
1201.454,1.012009E-02,1.635690E-03,3.168893E-03,2.222165E-03,4.073053E-03,1.109980E-02
1203.382,1.014621E-02,1.241473E-03,3.127069E-03,2.225939E-03,4.193245E-03,1.078773E-02
1205.311,1.058839E-02,1.201142E-03,2.974013E-03,2.007825E-03,4.197374E-03,1.038035E-02
1207.239,1.081162E-02,1.622214E-03,2.236562E-03,2.407043E-03,4.530978E-03,1.079680E-02
1209.168,1.095161E-02,1.440883E-03,1.279466E-03,2.960611E-03,4.882806E-03,1.056377E-02
1211.096,1.073956E-02,1.067393E-03,1.217901E-03,3.302500E-03,4.964795E-03,1.055259E-02
1213.025,1.070383E-02,9.587560E-04,1.118611E-03,3.394810E-03,4.691519E-03,1.016370E-02
1214.953,1.080405E-02,1.113733E-03,9.638542E-04,3.641326E-03,4.491520E-03,1.021043E-02
1216.882,1.070495E-02,1.088142E-03,1.155806E-03,4.069090E-03,4.488658E-03,1.080170E-02
1218.81,1.052220E-02,1.289836E-03,1.097974E-03,3.914530E-03,4.320854E-03,1.062319E-02
1220.739,1.058048E-02,1.751307E-03,6.581869E-04,4.203602E-03,3.975891E-03,1.058899E-02
1222.667,1.051517E-02,1.766265E-03,3.839898E-04,4.446164E-03,3.734685E-03,1.033110E-02
1224.596,1.032769E-02,1.643044E-03,3.747877E-04,4.238030E-03,3.587922E-03,9.843783E-03
1226.524,1.029356E-02,1.900580E-03,7.887581E-05,4.054494E-03,3.313062E-03,9.347011E-03
1228.453,1.011649E-02,1.822607E-03,2.405217E-04,3.902666E-03,3.050655E-03,9.016449E-03
1230.381,9.467588E-03,1.678058E-03,7.883279E-04,3.763148E-03,2.953583E-03,9.183116E-03
1232.31,9.181818E-03,1.845657E-03,5.718365E-04,3.538656E-03,2.678388E-03,8.634537E-03
1234.238,9.117570E-03,1.571791E-03,3.587307E-04,3.263370E-03,2.367768E-03,7.561660E-03
1236.167,8.833771E-03,1.422236E-03,4.746876E-04,3.273565E-03,2.068690E-03,7.239179E-03
1238.095,8.369653E-03,1.798719E-03,4.896171E-04,3.342569E-03,2.106217E-03,7.737122E-03
1240.024,7.835053E-03,2.137585E-03,4.382037E-04,3.361330E-03,2.275363E-03,8.212482E-03
1241.952,7.789805E-03,2.265894E-03,4.353553E-04,3.235749E-03,1.950368E-03,7.887366E-03
1243.881,7.946555E-03,2.251037E-03,2.458818E-04,3.173439E-03,1.585410E-03,7.255768E-03
1245.809,7.653017E-03,1.952675E-03,3.562449E-04,3.431365E-03,1.203777E-03,6.944062E-03
1247.738,7.618237E-03,2.146441E-03,4.701784E-04,3.905002E-03,1.161976E-03,7.683597E-03
1249.666,7.902400E-03,2.565350E-03,1.136155E-04,3.622542E-03,1.180326E-03,7.481834E-03
1251.595,7.777140E-03,2.496190E-03,2.150484E-05,3.593244E-03,8.514596E-04,6.962398E-03
1253.523,7.715832E-03,2.379678E-03,1.835816E-04,3.988470E-03,5.182117E-04,7.069941E-03
1255.452,7.669262E-03,2.702665E-03,2.118031E-04,3.931442E-03,4.372093E-04,7.283119E-03
1257.38,7.511634E-03,2.893334E-03,4.170431E-04,3.674218E-03,3.828454E-04,7.367440E-03
1259.309,7.322634E-03,2.693038E-03,5.368824E-04,3.453457E-03,4.100546E-04,7.093432E-03
1261.237,7.099879E-03,2.311714E-03,4.853988E-04,3.097426E-03,5.695245E-04,6.464063E-03
1263.166,6.776477E-03,2.432181E-03,2.407539E-04,2.869518E-03,4.123434E-04,5.954796E-03
