,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.399854589,0.392690111,0.401500266,0.399458279,
850.4673,3.335449E-04,3.888708E-04,1.850406E-03,-7.562805E-04,-2.857056E-04,1.197291E-03
852.3958,5.126133E-04,4.558179E-04,1.361822E-03,-7.628922E-04,-1.248884E-04,9.298590E-04
854.3243,4.881828E-04,4.856929E-04,1.214864E-03,-9.310208E-04,1.866347E-04,9.561710E-04
856.2528,5.491787E-04,6.288780E-04,1.316079E-03,-1.007126E-03,1.515826E-04,1.089413E-03
858.1813,8.980095E-04,8.546141E-04,1.439564E-03,-9.711022E-04,-1.614440E-04,1.161631E-03
860.1098,1.041736E-03,1.090056E-03,1.415233E-03,-1.094759E-03,-2.495808E-04,1.160950E-03
862.0383,1.142242E-03,1.421941E-03,1.143325E-03,-1.121319E-03,-1.678687E-04,1.276078E-03
863.9668,1.570037E-03,1.695557E-03,9.749876E-04,-8.584682E-04,-7.770037E-05,1.734376E-03
865.8953,1.883803E-03,2.055631E-03,1.029636E-03,-1.003470E-03,1.375080E-04,2.219306E-03
867.8238,1.932956E-03,2.065184E-03,1.010800E-03,-9.251835E-04,1.181649E-04,2.268966E-03
869.7523,1.266525E-03,1.742476E-03,9.472967E-04,-5.298935E-04,2.049988E-04,2.364878E-03
871.6808,6.903773E-04,1.591094E-03,1.089330E-03,-5.652362E-04,1.294086E-04,2.244597E-03
873.6093,8.465991E-04,1.382308E-03,1.263981E-03,-5.849706E-04,-1.341734E-04,1.927145E-03
875.5378,7.052130E-04,1.104542E-03,1.221436E-03,-3.178246E-04,-3.463461E-05,1.973518E-03
877.4662,3.590569E-04,8.123289E-04,9.012349E-04,-1.700727E-04,-5.726371E-05,1.486227E-03
879.3948,1.306776E-04,3.717997E-04,7.277151E-04,-3.394340E-04,-3.479185E-05,7.252890E-04
881.3232,1.567936E-04,2.465397E-05,8.917593E-04,-3.745246E-04,7.067204E-05,6.125610E-04
883.2518,1.049913E-04,-2.402820E-05,9.914045E-04,-5.267546E-04,3.096780E-05,4.715890E-04
885.1802,2.217762E-04,-3.813912E-06,1.115030E-03,-5.862784E-04,1.809081E-04,7.058450E-04
887.1088,1.506519E-04,3.296091E-05,1.092795E-03,-5.290485E-04,2.308829E-04,8.275900E-04
889.0372,-1.184811E-04,8.253620E-05,8.945470E-04,-5.491480E-04,1.236612E-04,5.515960E-04
890.9658,-5.810641E-05,8.726102E-05,8.085122E-04,-5.124519E-04,2.924851E-04,6.758060E-04
892.8942,7.770655E-05,1.172143E-04,7.796534E-04,-3.436524E-04,3.358304E-04,8.890460E-04
894.8227,2.441614E-04,2.338271E-04,5.858470E-04,-1.138854E-04,5.865644E-05,7.644450E-04
896.7512,9.314221E-05,2.617971E-04,4.663327E-04,9.809315E-05,1.123445E-04,9.385670E-04
898.6797,-2.591650E-04,1.150011E-04,2.766214E-04,4.375916E-05,3.882216E-04,8.236030E-04
900.6082,-3.896341E-04,2.391611E-04,3.973561E-04,-1.409299E-04,1.467707E-04,6.423580E-04
902.5367,-3.247563E-04,1.733661E-04,6.894528E-04,-4.503264E-04,-1.086193E-04,3.038730E-04
904.4652,-4.154535E-04,-6.351347E-06,7.141825E-04,-4.428305E-04,-6.038421E-05,2.046160E-04
906.3937,-5.635316E-04,-1.138081E-05,6.769882E-04,-1.678416E-04,1.828489E-04,6.806150E-04
908.3222,-5.827258E-04,1.806257E-04,4.641078E-04,-1.209530E-04,1.876679E-04,7.114480E-04
910.2507,-4.565070E-04,4.247313E-04,2.957875E-04,-3.432771E-04,0.000000E+00,3.772420E-04
912.1792,-3.535222E-04,6.306638E-04,1.788512E-04,-1.690207E-04,-1.130276E-04,5.274670E-04
914.1077,-2.266953E-04,6.880763E-04,7.275289E-05,-6.700656E-05,-1.312919E-05,6.806930E-04
916.0362,4.557751E-05,8.326029E-04,1.624357E-05,-1.576386E-04,-8.218879E-05,6.090190E-04
917.9647,2.762653E-04,9.130054E-04,6.293726E-05,1.234082E-05,-2.141724E-04,7.741110E-04
919.8932,3.559282E-04,1.155321E-03,2.437689E-04,6.973744E-05,-2.597380E-04,1.209089E-03
