,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.454380215,0.446238763,0.456250302,0.453929862,
850.4673,-2.464950E-04,4.053308E-04,9.634235E-04,-4.781961E-04,-4.859590E-04,2.151490E-04
852.3958,-4.634340E-04,5.105988E-04,1.133619E-03,-8.314575E-04,-3.589630E-04,2.429360E-04
854.3243,-3.221665E-04,6.943678E-04,1.122948E-03,-9.527319E-04,-3.851100E-05,6.686340E-04
856.2528,-1.680602E-04,9.134048E-04,8.151577E-04,-8.417563E-04,1.421560E-04,8.805510E-04
858.1813,5.755943E-05,1.210889E-03,9.330924E-04,-5.473087E-04,2.429970E-05,1.287081E-03
860.1098,2.375721E-04,1.008916E-03,8.918101E-04,-1.394115E-04,-1.565910E-04,1.655808E-03
862.0383,5.193718E-04,8.406818E-04,8.086941E-04,-1.830365E-04,-3.638700E-04,1.651788E-03
863.9668,8.219434E-04,1.066996E-03,7.872190E-04,-1.726469E-04,-2.152000E-04,2.169372E-03
865.8953,1.360409E-03,1.292120E-03,8.958860E-04,1.291380E-04,-2.059500E-04,2.789074E-03
867.8238,1.544725E-03,1.459892E-03,1.037400E-03,1.038741E-04,-1.654080E-04,2.778466E-03
869.7523,1.455791E-03,1.503916E-03,8.981761E-04,1.492876E-04,3.144910E-06,2.740609E-03
871.6808,1.176142E-03,1.775901E-03,8.983707E-04,1.053617E-04,-1.117270E-04,2.532006E-03
873.6093,7.463977E-04,1.376819E-03,1.107920E-03,7.007541E-06,-3.359780E-04,2.181030E-03
875.5378,4.807224E-04,1.006939E-03,1.083508E-03,6.019691E-05,-2.049790E-04,2.055218E-03
877.4662,3.137243E-04,2.295408E-04,9.130939E-04,5.485791E-05,-3.932750E-04,1.411564E-03
879.3948,2.340477E-04,-1.587372E-04,7.328250E-04,1.231942E-04,-5.401550E-04,8.454620E-04
881.3232,-1.181884E-04,3.651176E-05,6.232992E-04,2.292692E-04,-4.851070E-04,6.182260E-04
883.2518,-2.174887E-04,-2.470112E-04,7.925136E-04,3.238582E-04,-3.893410E-04,9.742530E-04
885.1802,-5.752483E-05,-1.738352E-04,1.007380E-03,3.626650E-04,-2.689360E-04,1.220696E-03
887.1088,1.454630E-04,2.453888E-04,1.147498E-03,5.062560E-04,-1.212860E-04,1.434231E-03
889.0372,2.926078E-04,2.466918E-04,1.006489E-03,6.070555E-04,-8.315550E-06,1.533435E-03
890.9658,4.374146E-04,-2.047605E-04,6.726746E-04,6.806473E-04,8.978940E-05,1.495325E-03
892.8942,6.487285E-04,-3.382633E-05,6.846660E-04,6.549661E-04,-1.023990E-04,1.431216E-03
894.8227,7.014258E-04,4.368329E-05,7.486344E-04,4.720782E-04,-3.172380E-04,1.189182E-03
896.7512,7.511672E-04,3.279238E-05,6.538820E-04,4.582235E-04,-1.511870E-04,1.301156E-03
898.6797,5.296065E-04,2.805005E-04,5.350437E-04,3.271341E-04,3.198160E-05,1.101422E-03
900.6082,3.809478E-04,4.316616E-04,4.879789E-04,1.073965E-04,1.710270E-05,5.956023E-04
902.5367,3.956451E-04,2.667557E-04,4.861763E-04,0.000000E+00,0.000000E+00,4.189009E-04
904.4652,1.276775E-04,2.363977E-04,2.719227E-04,1.697771E-05,1.432730E-04,5.238549E-04
906.3937,-5.074120E-05,5.883698E-04,-1.057902E-04,-1.343461E-04,3.719400E-04,5.359460E-04
908.3222,-6.896151E-05,7.296419E-04,-3.961164E-05,-4.537676E-04,3.107220E-04,2.394914E-04
910.2507,-1.560653E-05,8.049050E-04,3.607515E-04,-3.577487E-04,1.761190E-04,4.816360E-04
912.1792,2.620744E-04,8.490451E-04,2.514908E-04,-2.097417E-04,6.269850E-05,7.209715E-04
914.1077,4.135784E-04,1.009037E-03,1.824584E-05,2.327185E-05,-5.386210E-05,1.047656E-03
916.0362,7.163384E-04,6.688293E-04,1.192080E-05,2.638225E-05,-1.374370E-04,1.040866E-03
917.9647,1.002917E-03,4.539974E-04,4.522226E-05,2.293015E-05,5.931270E-05,1.267465E-03
919.8932,1.008588E-03,6.965165E-04,1.790913E-04,1.385627E-04,2.739960E-04,1.971650E-03
921.8217,6.706534E-04,7.225736E-04,2.197879E-04,1.097686E-04,1.222450E-04,1.841802E-03
923.7502,2.209893E-04,6.978367E-04,-3.519660E-05,1.454727E-04,-5.767520E-05,1.202601E-03
925.6786,-2.695805E-05,7.829212E-04,2.768599E-05,1.535278E-04,-2.090830E-04,9.721310E-04
927.6072,-1.502666E-04,7.531618E-04,1.278557E-04,2.191305E-04,-1.196330E-04,1.049707E-03
929.5356,-2.020344E-04,6.212024E-04,1.416633E-04,1.547022E-04,1.402710E-04,1.156549E-03
931.4642,-7.326780E-05,5.588180E-04,7.427843E-05,1.820895E-04,2.661430E-04,1.141947E-03
933.3926,6.991241E-05,6.485195E-04,1.766770E-04,1.211458E-04,2.988560E-05,7.156756E-04
935.3212,3.825610E-04,5.054372E-04,3.549777E-04,-1.137561E-05,-7.407590E-05,3.498018E-04
937.2496,8.491142E-04,4.309067E-04,9.425983E-04,-6.491628E-05,4.387610E-05,9.981483E-04
939.1782,1.138409E-03,5.811764E-04,1.352676E-03,-3.978497E-05,7.908200E-05,1.537847E-03
941.1066,1.055201E-03,9.838419E-04,1.482064E-03,-1.186940E-04,9.910630E-05,1.661051E-03
943.0352,9.456855E-04,7.995996E-04,1.554846E-03,4.828544E-05,-2.696900E-06,1.685770E-03
944.9636,7.423368E-04,3.177641E-04,1.674069E-03,1.991195E-04,-1.814970E-04,1.542315E-03
946.8922,5.044023E-04,-1.950243E-04,1.738963E-03,-1.035029E-04,-1.270600E-04,1.522517E-03
948.8206,2.606865E-04,-1.107782E-04,1.591653E-03,-1.646238E-04,1.755020E-04,1.746310E-03
950.7491,-6.750573E-06,2.393982E-04,1.187021E-03,3.073801E-05,1.533840E-04,1.535021E-03
952.6776,-2.038307E-04,1.291276E-04,1.039119E-03,-3.603553E-06,4.472920E-05,1.208797E-03
954.6061,-1.181203E-04,-1.984999E-04,1.182204E-03,2.073559E-05,9.291510E-05,1.285086E-03
956.5346,3.573332E-04,3.539905E-04,1.266137E-03,-9.034308E-05,2.860900E-04,1.766927E-03
958.4631,1.207124E-03,8.036569E-04,1.388138E-03,-2.006320E-04,3.381070E-04,2.462195E-03
960.3916,2.098627E-03,1.235233E-03,1.570392E-03,-1.045286E-04,1.628820E-04,3.168353E-03
962.3201,3.577441E-03,1.885088E-03,1.832769E-03,-8.596901E-05,1.454710E-04,4.139502E-03
964.2486,5.614914E-03,2.375519E-03,2.519360E-03,-8.377294E-05,7.123300E-05,5.657460E-03
966.1771,7.365458E-03,2.078503E-03,3.669063E-03,4.215203E-05,-1.839610E-05,7.433756E-03
968.1056,7.868481E-03,1.893767E-03,4.325079E-03,1.504025E-04,2.119030E-04,8.582306E-03
970.0341,6.838685E-03,2.227290E-03,3.839341E-03,1.930240E-04,3.300320E-04,7.843056E-03
971.9626,5.324878E-03,2.599195E-03,2.485306E-03,1.897024E-04,1.724190E-04,6.042121E-03
973.8911,4.612612E-03,2.366725E-03,1.422499E-03,2.570779E-04,1.145740E-04,5.321652E-03
975.8196,4.862585E-03,2.291864E-03,8.831369E-04,4.605944E-04,8.065780E-05,5.524389E-03
977.7481,5.766799E-03,2.726421E-03,8.649371E-04,6.268199E-04,2.145470E-05,6.313212E-03
979.6766,6.483732E-03,3.052171E-03,1.135449E-03,4.234913E-04,1.615700E-06,6.685107E-03
981.6051,6.653166E-03,3.296861E-03,1.566708E-03,4.407048E-04,1.190940E-04,6.879799E-03
983.5336,6.599099E-03,2.787806E-03,2.064997E-03,7.503753E-04,4.499630E-05,6.905371E-03
985.4621,6.542213E-03,2.084758E-03,2.708693E-03,9.248128E-04,1.739820E-04,7.108795E-03
987.3906,6.663306E-03,1.484769E-03,3.464426E-03,9.046052E-04,2.726720E-04,7.217277E-03
989.3191,7.103650E-03,1.242253E-03,4.261245E-03,1.196902E-03,2.888840E-04,7.858884E-03
991.2476,7.636963E-03,1.318959E-03,4.834134E-03,1.468497E-03,2.448830E-04,8.514883E-03
993.1761,7.737607E-03,9.426547E-04,5.007063E-03,1.339044E-03,1.381000E-04,8.448100E-03
995.1046,7.289750E-03,1.113373E-03,4.776760E-03,9.687031E-04,8.204830E-05,7.670751E-03
997.0331,6.649424E-03,1.404609E-03,4.261105E-03,7.637146E-04,2.467730E-05,6.718392E-03
998.9615,6.101775E-03,1.259920E-03,3.846287E-03,7.167166E-04,1.408530E-04,6.487570E-03
1000.89,6.059209E-03,1.587782E-03,3.819351E-03,5.476891E-04,2.414120E-04,6.629101E-03
1002.819,6.242590E-03,2.074028E-03,3.971762E-03,3.627557E-04,1.574120E-04,6.750168E-03
1004.747,6.679856E-03,1.850602E-03,4.113044E-03,3.867410E-04,1.096140E-04,7.266355E-03
1006.676,7.363517E-03,1.835454E-03,4.361962E-03,4.425296E-04,1.812850E-04,8.213815E-03
1008.604,8.476493E-03,2.162571E-03,4.933245E-03,4.409980E-04,2.082380E-04,9.359236E-03
1010.533,9.887434E-03,2.469281E-03,5.730673E-03,3.779696E-04,2.059910E-04,1.068396E-02
1012.461,1.160524E-02,2.806956E-03,6.516538E-03,3.639149E-04,8.524580E-05,1.204916E-02
1014.39,1.327798E-02,3.417049E-03,7.240008E-03,4.743895E-04,1.003080E-04,1.326470E-02
1016.318,1.447868E-02,3.612098E-03,8.283629E-03,6.273959E-04,1.907320E-04,1.458813E-02
1018.247,1.572108E-02,3.071789E-03,9.550212E-03,5.842505E-04,2.401570E-04,1.587441E-02
1020.175,1.773016E-02,2.888221E-03,1.099667E-02,7.283448E-04,1.228980E-04,1.725124E-02
1022.104,2.026375E-02,3.176095E-03,1.269619E-02,8.666654E-04,2.072720E-04,1.929394E-02
1024.032,2.283294E-02,3.450999E-03,1.457502E-02,9.596488E-04,-2.600280E-05,2.149365E-02
1025.961,2.481871E-02,3.353373E-03,1.611355E-02,8.752284E-04,-2.594330E-04,2.348580E-02
1027.889,2.501876E-02,3.826857E-03,1.579183E-02,7.889957E-04,-1.079050E-04,2.422109E-02
