,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.133284863,0.261793407,0.401500266,0.532611039,
850.4673,3.048602E-05,1.570291E-04,2.710440E-05,7.677628E-04,2.960604E-04,1.247957E-03
852.3958,-2.887631E-05,4.684921E-04,1.125112E-04,6.698541E-04,-7.075890E-05,1.180098E-03
854.3243,1.626553E-07,3.844081E-04,1.539179E-04,2.959528E-04,-3.066752E-04,5.276036E-04
856.2528,6.014533E-05,3.227671E-04,-4.151534E-05,-2.064189E-05,-4.187104E-04,-1.581006E-04
858.1813,8.537251E-05,3.660641E-04,-8.167059E-05,-1.720246E-04,-3.924207E-04,-2.800518E-04
860.1098,1.438056E-04,2.940601E-04,-1.746788E-04,-5.393223E-05,-4.165399E-05,2.379502E-05
862.0383,1.327445E-04,4.966131E-04,-4.604441E-04,-1.768329E-04,1.056257E-04,-3.503817E-05
863.9668,7.867240E-05,5.841771E-04,-1.125063E-04,-2.962536E-04,1.162365E-04,2.916536E-04
865.8953,-1.011257E-05,8.169361E-04,2.212034E-04,-1.216412E-04,-5.558981E-05,8.609085E-04
867.8238,1.041003E-04,8.165701E-04,5.624818E-05,-2.712399E-04,-1.122261E-04,4.893523E-04
869.7523,3.675149E-04,7.601571E-04,-9.116706E-05,-9.471757E-05,-2.419754E-04,3.322971E-04
871.6808,5.461216E-04,6.734551E-04,-1.647290E-04,2.360793E-04,-2.135163E-05,7.234538E-04
873.6093,2.311122E-04,3.990961E-04,7.501807E-05,2.156671E-04,3.562081E-04,1.045989E-03
875.5378,6.061158E-05,5.946171E-04,1.218892E-04,2.606635E-04,4.562118E-04,1.433382E-03
877.4662,3.203871E-04,6.565951E-04,4.552740E-05,3.603690E-04,2.881537E-04,1.350645E-03
879.3948,1.612620E-04,3.221361E-04,6.469035E-05,3.918348E-04,-4.213676E-05,7.365245E-04
881.3232,-4.377355E-05,1.828041E-04,1.707126E-04,1.878968E-04,-4.153906E-04,1.260229E-04
883.2518,3.153848E-04,4.501375E-06,-2.481847E-05,1.913521E-04,-2.280670E-04,-5.703197E-05
885.1802,4.772562E-04,1.867917E-05,-1.488492E-04,4.478063E-04,2.102502E-04,5.278864E-04
887.1088,6.006904E-04,1.675337E-05,-1.406283E-04,3.380037E-04,2.110727E-04,4.252015E-04
889.0372,6.534897E-04,8.676593E-05,-1.215060E-04,2.138045E-04,3.464590E-05,2.137102E-04
890.9658,5.306748E-04,3.609781E-04,2.213687E-04,2.740455E-04,-2.153105E-04,6.410817E-04
892.8942,7.182491E-04,2.219110E-04,1.336550E-04,2.963299E-04,-2.224054E-04,4.294905E-04
894.8227,8.364203E-04,1.474185E-04,-6.108075E-05,3.738984E-04,1.668203E-06,4.619044E-04
896.7512,5.045326E-04,2.195484E-04,6.956754E-05,2.481958E-04,2.759804E-04,8.132921E-04
898.6797,2.883863E-04,1.324671E-04,1.272088E-04,4.614982E-05,1.493468E-04,4.551725E-04
900.6082,2.591890E-04,2.702098E-04,1.531481E-04,-2.545488E-05,-6.538487E-05,3.325182E-04
902.5367,3.921518E-04,2.577655E-04,1.781074E-04,9.690057E-05,-1.066155E-04,4.261580E-04
904.4652,4.194505E-04,-1.856053E-05,1.385720E-04,1.398385E-04,-2.957131E-04,-3.586317E-05
906.3937,4.302362E-04,-1.628272E-04,1.176835E-04,9.814328E-05,-3.582068E-04,-3.052072E-04
908.3222,2.192069E-04,-8.586754E-05,-8.210498E-05,-2.527086E-04,-1.602274E-04,-5.809085E-04
910.2507,1.212377E-04,1.235153E-04,-1.163255E-04,-4.282403E-04,2.201480E-04,-2.009025E-04
