,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.533139452,0.392690111,0.267666844,0.13315276,
850.4673,9.957607E-06,2.143187E-04,-3.715121E-04,2.906397E-05,3.470195E-04,2.188900E-04
852.3958,1.123851E-06,2.647779E-04,-4.848066E-04,1.192309E-04,2.232072E-04,1.224094E-04
854.3243,5.914810E-05,3.524972E-04,-1.441460E-04,-9.441971E-06,3.130889E-04,5.119981E-04
856.2528,4.248023E-04,5.693534E-04,9.305804E-05,8.214306E-05,3.298011E-04,1.074356E-03
858.1813,9.825016E-04,6.294556E-04,1.491117E-04,1.552608E-05,1.594520E-04,9.535454E-04
860.1098,1.363988E-03,1.166282E-03,-3.155367E-05,-1.217977E-04,6.995509E-05,1.082886E-03
862.0383,1.594814E-03,1.462027E-03,-3.113233E-04,-1.390427E-04,-1.187323E-04,8.929288E-04
863.9668,2.089488E-03,1.740566E-03,-2.773889E-04,3.779139E-05,-1.094360E-04,1.391533E-03
865.8953,2.542389E-03,2.200812E-03,-1.064199E-04,1.152969E-05,1.607368E-05,2.121995E-03
867.8238,2.627007E-03,2.261126E-03,-9.260501E-05,8.526244E-06,-2.951807E-05,2.147529E-03
869.7523,2.526105E-03,2.139090E-03,8.296930E-05,4.170302E-05,-2.015729E-04,2.062189E-03
871.6808,2.126338E-03,1.859589E-03,2.872219E-04,-4.664393E-05,-7.590825E-05,2.024259E-03
873.6093,1.615540E-03,1.492493E-03,-1.809859E-05,-3.411060E-05,2.893788E-04,1.729663E-03
875.5378,1.293365E-03,1.103097E-03,-3.686433E-04,-1.042269E-04,1.766285E-04,8.068550E-04
877.4662,7.252236E-04,6.302424E-04,-4.156538E-04,5.033253E-05,-2.464572E-04,1.846389E-05
879.3948,6.835327E-05,2.995422E-04,-2.328277E-04,1.307387E-04,-4.254251E-04,-2.279720E-04
881.3232,-7.541595E-05,1.149419E-04,-1.582881E-05,1.772524E-04,7.034136E-05,3.467069E-04
883.2518,-5.560324E-05,1.026987E-04,1.329623E-05,3.814322E-04,4.255613E-04,9.229884E-04
885.1802,7.375454E-05,2.909863E-04,9.081790E-05,3.567187E-04,3.332704E-04,1.071793E-03
887.1088,7.078525E-05,4.452751E-04,1.290848E-04,2.645694E-04,6.217622E-05,9.011056E-04
889.0372,2.110980E-04,3.581228E-04,-7.677710E-05,1.732916E-04,-7.873365E-05,3.759036E-04
890.9658,4.403817E-04,2.946126E-04,-7.488567E-05,1.239628E-04,-1.737493E-04,1.699404E-04
892.8942,5.159545E-04,2.522543E-04,4.562795E-05,1.174589E-06,-2.601341E-04,3.892272E-05
894.8227,5.446412E-04,6.817806E-05,2.602833E-04,-1.175068E-04,5.304673E-05,2.640013E-04
896.7512,6.971980E-04,1.370927E-04,1.852203E-04,-7.567641E-05,2.591507E-04,5.057874E-04
898.6797,7.315952E-04,2.733460E-04,1.077831E-05,1.658193E-04,4.147130E-05,4.914149E-04
900.6082,4.247355E-04,1.540432E-04,-1.832215E-05,2.438102E-04,-6.909085E-05,3.104404E-04
902.5367,2.664487E-04,4.426424E-06,-1.797965E-05,7.455449E-05,-5.520640E-05,5.794857E-06
904.4652,2.245370E-04,1.070617E-04,5.520544E-05,2.135803E-04,2.753935E-05,4.033868E-04
906.3937,1.522472E-04,8.830489E-05,4.171503E-05,2.629268E-04,2.029404E-04,5.958872E-04
908.3222,2.345665E-04,1.728961E-04,5.939102E-05,8.841416E-05,1.295748E-04,4.502761E-04
910.2507,3.758665E-04,4.239834E-04,7.826631E-05,2.273968E-05,-1.296753E-04,3.953141E-04
912.1792,4.372465E-04,4.149766E-04,-1.187908E-04,1.995801E-05,1.047082E-04,4.208520E-04
914.1077,6.704825E-04,5.243798E-04,1.195420E-05,8.787003E-05,3.012583E-04,9.254623E-04
916.0362,9.751565E-04,1.068872E-03,7.093387E-05,-1.767243E-06,1.419248E-04,1.279963E-03
917.9647,1.153383E-03,1.578429E-03,-5.991014E-05,-2.049128E-04,6.272752E-05,1.376334E-03
919.8932,1.189960E-03,1.766303E-03,1.590749E-06,-2.770070E-04,6.166774E-05,1.552554E-03
921.8217,1.118721E-03,1.652391E-03,4.229284E-05,-4.135760E-05,5.278155E-05,1.706108E-03
923.7502,8.043314E-04,1.325843E-03,3.807382E-05,3.270139E-04,-8.342713E-05,1.607504E-03
925.6786,4.744934E-04,1.110572E-03,-5.298359E-05,3.709194E-04,-1.897332E-04,1.238775E-03
927.6072,3.115354E-04,1.036214E-03,-6.741208E-05,4.762719E-05,-3.137424E-04,7.026872E-04
929.5356,2.605654E-06,5.819967E-04,-7.063908E-05,7.244115E-05,-2.388515E-04,3.449472E-04
931.4642,1.339472E-04,3.225189E-04,1.318428E-04,1.759907E-04,1.574683E-05,6.460993E-04
933.3926,4.877447E-04,4.945281E-04,4.851910E-04,3.372907E-05,1.847024E-04,1.198151E-03
935.3212,7.920832E-04,5.876274E-04,8.463722E-04,2.358603E-05,1.578204E-04,1.615406E-03
937.2496,1.143454E-03,5.591486E-04,1.142449E-03,6.477449E-05,1.466318E-04,1.913004E-03
939.1782,1.430666E-03,5.930998E-04,1.433159E-03,6.044366E-05,4.817366E-05,2.134876E-03
941.1066,1.685736E-03,3.676541E-04,1.724490E-03,2.422439E-04,-1.000049E-04,2.234383E-03
943.0352,1.859361E-03,1.255273E-04,1.822858E-03,2.709806E-04,-5.853922E-05,2.160827E-03
944.9636,1.876806E-03,2.554835E-04,1.904738E-03,2.661646E-04,-5.394401E-05,2.372442E-03
946.8922,1.669933E-03,2.112628E-04,1.699412E-03,5.516657E-05,-1.305236E-04,1.835318E-03
948.8206,1.469348E-03,1.034550E-04,1.623556E-03,-8.630270E-06,-2.140891E-04,1.504291E-03
950.7491,1.198189E-03,-3.749233E-05,1.428663E-03,-4.489511E-05,-1.820133E-04,1.164263E-03
952.6776,1.104066E-03,-1.432895E-04,1.314789E-03,-1.354417E-04,-1.076219E-04,9.284359E-04
954.6061,1.451478E-03,4.710475E-05,1.401604E-03,-4.195159E-05,9.069074E-05,1.497448E-03
956.5346,1.970441E-03,6.432742E-04,1.264194E-03,-6.520164E-05,2.314837E-04,2.073751E-03
958.4631,2.622590E-03,1.301699E-03,1.422015E-03,-2.556005E-04,1.913530E-04,2.659467E-03
960.3916,3.553457E-03,1.936259E-03,1.601685E-03,-2.522259E-04,-1.488150E-05,3.270836E-03
962.3201,5.034089E-03,2.844586E-03,1.851711E-03,-1.608445E-04,3.699177E-05,4.572444E-03
964.2486,7.066618E-03,3.870436E-03,2.577571E-03,-8.109570E-05,1.713545E-04,6.538266E-03
966.1771,8.931904E-03,4.591585E-03,3.542334E-03,-1.022529E-04,7.423388E-05,8.105900E-03
968.1056,9.601703E-03,4.647353E-03,4.169677E-03,-4.480569E-05,8.491021E-05,8.857135E-03
970.0341,8.639389E-03,4.235555E-03,3.740690E-03,5.573187E-05,7.959588E-05,8.111573E-03
971.9626,6.999566E-03,3.883035E-03,2.549784E-03,2.410210E-04,3.435451E-05,6.708194E-03
973.8911,6.295424E-03,4.026927E-03,1.785243E-03,1.923052E-04,1.097869E-04,6.114262E-03
975.8196,6.584761E-03,4.635075E-03,1.406337E-03,7.576840E-05,1.240153E-04,6.241196E-03
977.7481,7.403589E-03,5.417460E-03,1.229453E-03,-1.184643E-05,5.009912E-05,6.685166E-03
979.6766,8.229486E-03,5.937970E-03,1.417320E-03,-4.543525E-05,-9.430738E-05,7.215547E-03
981.6051,8.358494E-03,5.809084E-03,1.584073E-03,6.963592E-05,-9.895258E-05,7.363840E-03
983.5336,8.187991E-03,4.992564E-03,1.857365E-03,2.056631E-04,-1.890168E-05,7.036690E-03
985.4621,7.900139E-03,3.928670E-03,2.317391E-03,3.038373E-04,7.151232E-05,6.621411E-03
987.3906,7.788706E-03,3.178064E-03,3.086094E-03,3.321304E-04,1.064064E-04,6.702695E-03
989.3191,8.013874E-03,2.882857E-03,3.844889E-03,4.421656E-04,8.490593E-05,7.254817E-03
991.2476,8.178451E-03,2.791106E-03,4.368723E-03,3.679118E-04,1.807805E-04,7.708521E-03
993.1761,8.116269E-03,2.575946E-03,4.465625E-03,2.676200E-04,4.904043E-05,7.358231E-03
995.1046,7.961336E-03,2.461849E-03,4.365433E-03,3.501748E-04,-2.604178E-04,6.917039E-03
997.0331,7.535134E-03,2.508658E-03,4.207306E-03,3.438475E-04,-2.938409E-04,6.765970E-03
