,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.399854589,0.130896704,0.535333688,0.266305519,
850.4673,2.403955E-05,-3.467277E-04,-2.031574E-04,2.996937E-04,5.256252E-05,-1.976290E-04
852.3958,-1.403718E-04,-7.540062E-05,-2.209048E-04,1.717144E-04,5.266039E-04,4.020129E-04
854.3243,2.217409E-04,2.677615E-04,-9.108715E-05,-1.294973E-04,5.474552E-04,5.946322E-04
856.2528,6.003426E-04,6.105236E-04,-1.965200E-04,-2.968232E-05,9.335555E-05,4.776769E-04
858.1813,8.675317E-04,7.649277E-04,-1.835981E-04,1.961806E-04,-2.283210E-05,7.546782E-04
860.1098,1.108384E-03,1.078807E-03,-8.337981E-05,2.132326E-04,1.328182E-04,1.341478E-03
862.0383,1.290000E-03,1.376960E-03,-1.290277E-04,1.807594E-04,9.155584E-06,1.437847E-03
863.9668,1.399517E-03,1.563342E-03,-1.239768E-04,-4.457572E-05,-9.847507E-05,1.296315E-03
865.8953,1.428929E-03,1.779654E-03,4.051892E-05,-1.431351E-04,-1.864887E-04,1.490549E-03
867.8238,1.454051E-03,1.938717E-03,2.965378E-04,-1.709687E-05,-1.701404E-04,2.048018E-03
869.7523,1.546725E-03,1.932220E-03,7.088037E-04,6.160950E-06,3.063396E-05,2.677819E-03
871.6808,1.352337E-03,1.948323E-03,5.945580E-04,-1.632869E-04,1.748113E-04,2.554405E-03
873.6093,9.627058E-04,1.644599E-03,1.675471E-04,-3.547591E-04,5.290065E-05,1.510287E-03
875.5378,7.289071E-04,1.323940E-03,1.061604E-05,-3.835895E-04,-1.762201E-05,9.333444E-04
877.4662,5.341007E-04,1.070271E-03,6.356255E-05,-3.140828E-04,-6.328298E-05,7.564676E-04
879.3948,2.858516E-04,5.716901E-04,1.224086E-04,-1.626200E-05,-1.806233E-04,4.972134E-04
881.3232,2.339802E-04,2.934851E-04,1.570196E-04,4.010693E-05,-1.480929E-05,4.758024E-04
883.2518,8.024088E-06,3.060644E-04,-8.843410E-05,-1.458900E-04,-7.120363E-05,5.366563E-07
885.1802,-9.607725E-05,2.960634E-04,8.810337E-05,2.299298E-05,-1.869986E-04,2.201611E-04
887.1088,-1.996911E-04,8.557162E-05,1.729232E-04,5.042227E-05,-4.956495E-05,2.593521E-04
889.0372,5.346189E-05,9.021164E-05,2.690261E-04,-3.088937E-05,2.231415E-04,5.514898E-04
890.9658,5.083462E-04,3.136899E-04,2.404711E-04,-1.552950E-05,4.193071E-04,9.579386E-04
892.8942,6.739056E-04,3.839079E-04,2.260302E-04,-1.197297E-04,2.554965E-04,7.457049E-04
894.8227,5.941369E-04,2.725121E-04,2.132454E-04,-9.237511E-05,6.000316E-05,4.533855E-04
896.7512,2.003494E-04,1.469771E-04,9.655556E-05,2.273821E-04,2.148066E-04,6.857214E-04
898.6797,-4.953974E-05,2.155013E-04,-2.484388E-04,1.846601E-04,1.161576E-04,2.678801E-04
900.6082,-9.510787E-05,3.093144E-04,-3.180301E-04,4.877951E-06,-1.379163E-04,-1.417541E-04
902.5367,-1.470020E-04,2.004075E-04,-7.814425E-05,-1.368600E-04,-1.551643E-04,-1.697610E-04
904.4652,-2.395181E-04,-7.770235E-05,1.959662E-04,-3.005128E-04,3.939673E-05,-1.428522E-04
906.3937,-3.832392E-04,-1.655660E-04,2.540460E-04,-3.430036E-04,8.948776E-05,-1.650357E-04
908.3222,-3.928784E-04,-1.680346E-04,1.237578E-04,-3.343630E-04,7.956680E-05,-2.990729E-04
910.2507,-9.965450E-05,4.278063E-07,-2.963952E-05,-4.233709E-04,9.874583E-05,-3.538368E-04
912.1792,3.605937E-05,3.708682E-04,-1.808289E-05,-2.605942E-04,6.451386E-05,1.567050E-04
914.1077,1.397682E-04,6.759916E-04,1.594067E-04,-4.783783E-05,1.238478E-04,9.114083E-04
916.0362,5.753891E-04,6.764800E-04,1.786564E-04,-2.304348E-05,6.732129E-05,8.994142E-04
917.9647,1.199872E-03,9.577613E-04,-4.461021E-05,2.942859E-04,5.010674E-05,1.257544E-03
919.8932,1.258644E-03,1.196544E-03,-1.418198E-04,3.782138E-04,7.257193E-06,1.440195E-03
921.8217,9.318027E-04,9.138821E-04,-2.629830E-04,1.069487E-04,2.288265E-05,7.807304E-04
923.7502,4.754586E-04,5.821225E-04,-1.359578E-04,1.078387E-04,9.925010E-05,6.532536E-04
925.6786,3.408895E-04,4.092649E-04,5.999107E-05,2.528457E-04,-4.616745E-05,6.759342E-04
927.6072,2.646044E-04,5.276483E-04,1.375411E-04,2.619956E-04,1.513001E-05,9.423150E-04
929.5356,2.089242E-04,4.257247E-04,1.865465E-04,3.028226E-04,1.667930E-04,1.081887E-03
931.4642,7.101476E-05,2.197610E-04,4.116094E-05,3.519415E-04,3.567592E-05,6.485394E-04
933.3926,3.619173E-05,1.960514E-04,-4.585623E-05,4.619285E-04,3.745058E-06,6.158687E-04
935.3212,-4.880299E-06,1.617758E-04,-5.489131E-05,3.981874E-04,1.211273E-04,6.261992E-04
937.2496,3.563367E-05,2.275092E-04,2.391898E-04,3.484134E-04,1.692409E-04,9.843532E-04
939.1782,7.869561E-05,1.841646E-04,5.147579E-04,1.524653E-04,3.261740E-04,1.177562E-03
941.1066,1.361941E-04,1.058297E-05,4.756148E-04,1.854725E-05,1.555603E-04,6.603054E-04
943.0352,1.679935E-04,-8.427765E-05,5.722428E-04,-4.361381E-05,8.300623E-06,4.526519E-04
944.9636,9.958601E-05,-2.877626E-05,6.781161E-04,-2.923369E-04,-1.191608E-04,2.378422E-04
946.8922,-7.899753E-05,6.615213E-05,4.164072E-04,-2.902491E-05,-2.098447E-04,2.436896E-04
948.8206,-1.290541E-04,2.429186E-04,8.572688E-05,2.226839E-04,-1.006089E-04,4.507206E-04
950.7491,-6.867271E-05,2.223405E-04,2.283093E-04,1.106606E-04,1.022914E-04,6.636019E-04
952.6776,-3.485713E-05,5.133608E-05,6.419352E-04,1.324137E-05,7.458289E-05,7.810956E-04
954.6061,2.364434E-04,-7.218268E-05,6.157870E-04,1.593111E-04,-8.950340E-05,6.134120E-04
956.5346,6.506323E-04,1.795390E-05,4.156349E-04,-9.124149E-06,-6.204925E-05,3.624154E-04
958.4631,1.285182E-03,3.556285E-04,3.794542E-04,-2.593944E-05,6.925666E-05,7.783999E-04
960.3916,2.010066E-03,1.097440E-03,4.569202E-04,6.077933E-05,1.060175E-04,1.721157E-03
962.3201,2.963918E-03,1.960199E-03,6.994901E-04,2.724004E-05,1.173090E-04,2.804238E-03
964.2486,4.221862E-03,2.422948E-03,9.318677E-04,4.555780E-05,2.451316E-04,3.645505E-03
966.1771,5.250044E-03,2.783251E-03,1.094446E-03,-3.778149E-05,2.553688E-04,4.095284E-03
968.1056,5.443078E-03,3.013534E-03,1.179343E-03,-8.183719E-06,2.264258E-04,4.411120E-03
970.0341,4.857260E-03,2.845369E-03,9.392581E-04,1.669640E-04,2.822312E-04,4.233822E-03
971.9626,4.234823E-03,2.469096E-03,5.776100E-04,1.091937E-04,1.217972E-04,3.277697E-03
973.8911,4.084386E-03,2.574275E-03,4.164474E-04,-5.202128E-05,2.462883E-06,2.941164E-03
975.8196,4.552249E-03,3.115624E-03,4.218177E-04,-2.552615E-05,-9.465324E-05,3.417262E-03
977.7481,5.364222E-03,3.738613E-03,2.885614E-04,2.097540E-04,-3.703776E-05,4.199891E-03
979.6766,5.965005E-03,3.940053E-03,1.893840E-04,4.232671E-04,-2.545248E-05,4.527252E-03
981.6051,5.970228E-03,3.734515E-03,4.135554E-04,4.020832E-04,-3.324720E-05,4.516907E-03
983.5336,5.626090E-03,3.247577E-03,5.876128E-04,5.683644E-04,-3.727163E-05,4.366283E-03
985.4621,5.272933E-03,2.565021E-03,6.840555E-04,8.459635E-04,8.031474E-05,4.175355E-03
987.3906,5.003186E-03,1.998435E-03,8.208106E-04,9.063266E-04,1.847792E-04,3.910352E-03
989.3191,5.028729E-03,1.623327E-03,1.065193E-03,1.195262E-03,3.224634E-04,4.206244E-03
991.2476,5.342782E-03,1.405683E-03,1.212495E-03,1.375628E-03,3.552481E-04,4.349054E-03
993.1761,5.261575E-03,1.247549E-03,1.355959E-03,1.509853E-03,2.623294E-04,4.375690E-03
995.1046,4.710228E-03,1.351064E-03,1.335150E-03,1.356457E-03,6.578695E-05,4.108458E-03
997.0331,4.345801E-03,1.476837E-03,1.102866E-03,1.033261E-03,-1.945979E-05,3.593504E-03
998.9615,4.213034E-03,1.500668E-03,1.033654E-03,8.211594E-04,-1.728616E-04,3.182620E-03
1000.89,3.981226E-03,1.711914E-03,1.064532E-03,6.171990E-04,-1.082393E-04,3.285406E-03
1002.819,3.944894E-03,2.008051E-03,1.156790E-03,4.507420E-04,1.909481E-05,3.634678E-03
1004.747,4.343802E-03,2.264809E-03,1.284381E-03,2.591212E-04,7.335618E-05,3.881667E-03
1006.676,4.824960E-03,2.576683E-03,1.233247E-03,1.956002E-04,9.262704E-05,4.098157E-03
1008.604,5.409228E-03,3.121623E-03,1.208292E-03,-1.860652E-05,-6.001639E-05,4.251292E-03
1010.533,6.307156E-03,3.685710E-03,1.475446E-03,-4.270150E-05,1.672466E-05,5.135180E-03
1012.461,7.461224E-03,4.175742E-03,1.835830E-03,1.624507E-04,9.951915E-05,6.273541E-03
1014.39,8.410981E-03,4.479764E-03,2.154729E-03,2.532368E-04,4.218218E-05,6.929912E-03
1016.318,8.840180E-03,4.444169E-03,2.497445E-03,3.867710E-04,-1.428119E-04,7.185573E-03
1018.247,9.205617E-03,4.148956E-03,2.644985E-03,6.791000E-04,-8.434137E-05,7.388699E-03
1020.175,9.973105E-03,4.467343E-03,2.948060E-03,7.859273E-04,1.370453E-04,8.338376E-03
1022.104,1.106865E-02,4.987173E-03,3.609898E-03,7.944883E-04,-9.584741E-05,9.295711E-03
1024.032,1.240756E-02,5.395692E-03,4.126307E-03,8.219325E-04,-2.603352E-04,1.008360E-02
1025.961,1.350963E-02,5.994747E-03,4.541489E-03,8.756735E-04,-1.083786E-04,1.130353E-02
1027.889,1.404720E-02,6.671216E-03,4.501937E-03,9.028548E-04,-6.942098E-05,1.200659E-02
1029.818,1.408070E-02,7.623994E-03,3.862245E-03,6.332338E-04,-1.246829E-04,1.199479E-02
1031.746,1.353115E-02,8.535398E-03,2.884714E-03,3.324410E-04,1.118573E-04,1.186441E-02
1033.675,1.288462E-02,9.234492E-03,2.119675E-03,3.273621E-04,1.635134E-04,1.184504E-02
1035.603,1.253624E-02,9.838952E-03,1.691449E-03,1.691773E-04,-5.028458E-06,1.169455E-02
1037.531,1.242832E-02,1.012796E-02,1.203625E-03,-1.539265E-04,1.230741E-04,1.130073E-02
1039.46,1.254773E-02,1.034726E-02,9.824608E-04,7.891056E-05,7.940230E-05,1.148803E-02
1041.389,1.263193E-02,1.064901E-02,8.416185E-04,1.058135E-04,3.312674E-05,1.162957E-02
1043.317,1.298294E-02,1.125519E-02,4.947099E-04,-3.190491E-05,2.920364E-06,1.172092E-02
1045.245,1.363352E-02,1.216276E-02,3.422602E-04,7.783771E-05,-2.006718E-04,1.238219E-02
1047.174,1.466982E-02,1.309574E-02,4.563410E-04,3.300368E-04,-2.497582E-04,1.363236E-02
1049.103,1.602481E-02,1.411250E-02,5.046866E-04,3.829290E-04,-1.808716E-04,1.481924E-02
1051.031,1.752582E-02,1.551249E-02,3.892985E-04,2.590746E-04,-1.994275E-04,1.596143E-02
1052.959,1.947439E-02,1.716724E-02,3.036066E-04,2.364512E-04,2.843614E-05,1.773573E-02
1054.888,2.193074E-02,1.890779E-02,2.407339E-04,3.818983E-04,7.328864E-05,1.960371E-02
