metric,sex,gestational_age_in_days,l,m,s
weight,f,207,1.243809018,1237.166187,0.231427138
weight,m,207,1.417166774,1314.601093,0.211854474
length,f,207,1,37.85193664,0.066531497
hc,f,207,1,26.54364253,0.053869848
length,m,207,1,38.60923404,0.064400133
hc,m,207,1,27.12679051,0.052935634
weight,f,208,1.23622377,1259.561898,0.231504992
weight,m,208,1.416883707,1338.683898,0.2117778
length,f,208,1,38.05086954,0.066480418
hc,f,208,1,26.67825078,0.053745875
length,m,208,1,38.80702591,0.064200946
hc,m,208,1,27.26167399,0.0527955
weight,f,209,1.227742229,1282.404164,0.231476616
weight,m,209,1.415762676,1363.248151,0.211625146
length,f,209,1,38.25007577,0.066418432
hc,f,209,1,26.81293578,0.053618402
length,m,209,1,39.00507892,0.063995374
hc,m,209,1,27.39636431,0.052654012
weight,f,210,1.218395566,1305.703411,0.23134073
weight,m,210,1.413790695,1388.303356,0.211396589
length,f,210,1,38.44955956,0.066345372
hc,f,210,1,26.94769871,0.053487374
length,m,210,1,39.20340988,0.063783742
hc,m,210,1,27.53085847,0.05251115
weight,f,211,1.208214949,1329.470063,0.231096053
weight,m,211,1.410954773,1413.859014,0.211092204
length,f,211,1,38.64932518,0.066261067
hc,f,211,1,27.08254079,0.053352738
length,m,211,1,39.40203562,0.063566375
hc,m,211,1,27.66515348,0.052366891
weight,f,212,1.197231548,1353.714544,0.230741305
weight,m,212,1.407241924,1439.924627,0.210712068
length,f,212,1,38.84937685,0.066165349
hc,f,212,1,27.21746319,0.053214438
length,m,212,1,39.60097296,0.063343598
hc,m,212,1,27.79924633,0.052221216
weight,f,213,1.18547653,1378.447279,0.230275206
weight,m,213,1.40263916,1466.509698,0.210256259
length,f,213,1,39.04971882,0.066058047
hc,f,213,1,27.3524671,0.05307242
length,m,213,1,39.80023871,0.063115736
hc,m,213,1,27.93313402,0.052074102
weight,f,214,1.172981065,1403.678183,0.229696603
weight,m,214,1.397134489,1493.623107,0.209724908
length,f,214,1,39.25035387,0.065939002
hc,f,214,1,27.48755274,0.052926633
length,m,214,1,39.99984788,0.06288311
hc,m,214,1,28.0668129,0.051925531
weight,f,215,1.159776322,1429.405418,0.22900728
weight,m,215,1.39073889,1521.259421,0.209119446
length,f,215,1,39.45125096,0.065808264
hc,f,215,1,27.62269768,0.052777099
length,m,215,1,40.19977368,0.06264595
hc,m,215,1,28.20026393,0.05177551
weight,f,216,1.145893469,1455.6154,0.228211956
weight,m,216,1.383486303,1549.398895,0.208442597
length,f,216,1,39.65234522,0.06566609
hc,f,216,1,27.75785685,0.05262391
length,m,216,1,40.39994756,0.062404394
hc,m,216,1,28.33345275,0.051624071
weight,f,217,1.131363676,1482.294034,0.227315477
weight,m,217,1.375411671,1578.021161,0.207697145
length,f,217,1,39.85357032,0.065512751
hc,f,217,1,27.8929842,0.052467163
length,m,217,1,40.60029911,0.062158575
hc,m,217,1,28.46634433,0.05147125
weight,f,218,1.116218112,1509.427223,0.226322692
weight,m,218,1.366549934,1607.105852,0.20688587
length,f,218,1,40.05485993,0.065348513
hc,f,218,1,28.02803369,0.052306955
length,m,218,1,40.80075796,0.061908629
hc,m,218,1,28.59890363,0.051317082
weight,f,219,1.100487945,1537.000871,0.225238448
weight,m,219,1.356936034,1636.632599,0.206011554
length,f,219,1,40.25614773,0.065173645
hc,f,219,1,28.16295926,0.052143381
length,m,219,1,41.00125372,0.061654689
hc,m,219,1,28.7310956,0.051161603
weight,f,220,1.084204344,1565.000884,0.224067591
weight,m,220,1.34660491,1666.581036,0.20507698
length,f,220,1,40.45736737,0.064988416
hc,f,220,1,28.29771487,0.051976539
length,m,220,1,41.20171602,0.06139689
hc,m,220,1,28.86288521,0.051004846
weight,f,221,1.067398478,1593.413164,0.222814969
weight,m,221,1.335591504,1696.930794,0.204084929
length,f,221,1,40.65845253,0.064793094
hc,f,221,1,28.43225446,0.051806524
length,m,221,1,41.40207445,0.061135365
hc,m,221,1,28.99423743,0.050846848
weight,f,222,1.050101517,1622.223623,0.221485428
weight,m,222,1.323930758,1727.661506,0.203038183
length,f,222,1,40.85933689,0.064587947
hc,f,222,1,28.566532,0.051633434
length,m,222,1,41.60225865,0.060870249
hc,m,222,1,29.12511721,0.050687642
weight,f,223,1.032344628,1651.418176,0.220083814
weight,m,223,1.311657613,1758.752803,0.201939524
length,f,223,1,41.0599541,0.064373242
hc,f,223,1,28.70050143,0.051457364
length,m,223,1,41.80219821,0.060601676
hc,m,223,1,29.25548952,0.050527265
weight,f,224,1.014158981,1680.982739,0.218614973
weight,m,224,1.298807012,1790.184316,0.200791734
length,f,224,1,41.26023785,0.06414925
hc,f,224,1,28.83411671,0.051278412
length,m,224,1,42.00182276,0.06032978
hc,m,224,1,29.38531931,0.05036575
weight,f,225,0.995575745,1710.90323,0.21708375
weight,m,225,1.285413897,1821.935677,0.199597596
length,f,225,1,41.46012179,0.063916237
hc,f,225,1,28.96733178,0.051096673
length,m,225,1,42.2010619,0.060054695
hc,m,225,1,29.51457156,0.050203133
weight,f,226,0.976626089,1741.165564,0.215494993
weight,m,226,1.271513209,1853.986517,0.198359891
length,f,226,1,41.65953962,0.063674471
hc,f,226,1,29.10010059,0.050912244
length,m,226,1,42.39984525,0.059776554
hc,m,226,1,29.64321122,0.05003945
weight,f,227,0.957341181,1771.755659,0.213853546
weight,m,227,1.257139892,1886.316466,0.1970814
length,f,227,1,41.85842499,0.063424222
hc,f,227,1,29.23237711,0.050725221
length,m,227,1,42.59810242,0.059495492
hc,m,227,1,29.77120325,0.049874734
weight,f,228,0.937752191,1802.659428,0.212164255
weight,m,228,1.242328886,1918.905158,0.195764907
length,f,228,1,42.05671157,0.063165757
hc,f,228,1,29.36411528,0.050535701
length,m,228,1,42.79576302,0.059211643
hc,m,228,1,29.89851261,0.049709021
weight,f,229,0.917890287,1833.86276,0.210431966
weight,m,229,1.227115134,1951.732222,0.194413194
length,f,229,1,42.25433305,0.062899345
hc,f,229,1,29.49526905,0.05034378
length,m,229,1,42.99275667,0.058925141
hc,m,229,1,30.02510427,0.049542346
weight,f,230,0.897786638,1865.351515,0.208661526
weight,m,230,1.211533577,1984.77729,0.193029041
length,f,230,1,42.45122308,0.062625253
hc,f,230,1,29.62579237,0.050149555
length,m,230,1,43.18901297,0.058636119
hc,m,230,1,30.15094319,0.049374744
weight,f,231,0.877472413,1897.111553,0.206857781
weight,m,231,1.195619158,2018.019995,0.191615231
length,f,231,1,42.64731534,0.06234375
hc,f,231,1,29.7556392,0.049953122
length,m,231,1,43.38446154,0.058344712
hc,m,231,1,30.27599432,0.04920625
weight,f,232,0.856978782,1929.128731,0.205025576
weight,m,232,1.179406818,2051.439968,0.190174547
length,f,232,1,42.8425435,0.062055104
hc,f,232,1,29.88476349,0.049754578
length,m,232,1,43.579032,0.058051053
hc,m,232,1,30.40022263,0.049036899
weight,f,233,0.836336912,1961.388911,0.203169759
weight,m,233,1.162931499,2085.01684,0.188709769
length,f,233,1,43.03684123,0.061759584
hc,f,233,1,30.0131192,0.049554019
length,m,233,1,43.77265395,0.057755278
hc,m,233,1,30.52359309,0.048866725
weight,f,234,0.815577973,1993.87795,0.201295175
weight,m,234,1.146228142,2118.730243,0.18722368
length,f,234,1,43.23014221,0.061457457
hc,f,234,1,30.14066026,0.049351541
length,m,234,1,43.96525701,0.05745752
hc,m,234,1,30.64607064,0.048695765
weight,f,235,0.794733134,2026.581712,0.19940667
weight,m,235,1.12933169,2152.559809,0.185719063
length,f,235,1,43.42238009,0.061148992
hc,f,235,1,30.26734063,0.04914724
length,m,235,1,44.1567708,0.057157912
hc,m,235,1,30.76762027,0.048524052
weight,f,236,0.773833563,2059.486165,0.197509091
weight,m,236,1.112277084,2186.485169,0.184198698
length,f,236,1,43.61348856,0.060834457
hc,f,236,1,30.39311427,0.048941215
length,m,236,1,44.34712492,0.056856589
hc,m,236,1,30.88820691,0.048351622
weight,f,237,0.75291043,2092.57738,0.195607284
weight,m,237,1.095099266,2220.485955,0.182665368
length,f,237,1,43.80340128,0.06051412
hc,f,237,1,30.51793513,0.048733559
length,m,237,1,44.53624898,0.056553685
hc,m,237,1,31.00779555,0.048178509
weight,f,238,0.731994904,2125.841433,0.193706094
weight,m,238,1.077833178,2254.541798,0.181121855
length,f,238,1,43.99205193,0.06018825
hc,f,238,1,30.64175716,0.048524371
length,m,238,1,44.72407261,0.056249335
hc,m,238,1,31.12635114,0.04800475
weight,f,239,0.711118152,2159.2644,0.191810368
weight,m,239,1.060513761,2288.632329,0.17957094
length,f,239,1,44.17937418,0.059857114
hc,f,239,1,30.76453431,0.048313747
length,m,239,1,44.91052542,0.055943671
hc,m,239,1,31.24383863,0.047830378
weight,f,240,0.690311345,2192.832356,0.189924953
weight,m,240,1.043175959,2322.737181,0.178015407
length,f,240,1,44.36530168,0.059520982
hc,f,240,1,30.88622053,0.048101782
length,m,240,1,45.09553701,0.055636828
hc,m,240,1,31.360223,0.047655429
weight,f,241,0.669605651,2226.531378,0.188054693
weight,m,241,1.025854711,2356.835985,0.176458036
length,f,241,1,44.54976813,0.05918012
hc,f,241,1,31.00676977,0.047888575
length,m,241,1,45.279037,0.05532894
hc,m,241,1,31.47546921,0.047479938
weight,f,242,0.649032239,2260.347524,0.186204435
weight,m,242,1.008584961,2390.908372,0.17490161
length,f,242,1,44.73270718,0.058834798
hc,f,242,1,31.12613599,0.047674219
length,m,242,1,45.46095501,0.055020141
hc,m,242,1,31.5895422,0.04730394
weight,f,243,0.628622278,2294.266465,0.184379026
weight,m,243,0.99140165,2424.933974,0.173348911
length,f,243,1,44.91405252,0.058485284
hc,f,243,1,31.24427314,0.047458814
length,m,243,1,45.64122064,0.054710566
hc,m,243,1,31.70240696,0.047127469
weight,f,244,0.608406937,2328.273485,0.182583311
weight,m,244,0.97433972,2458.892423,0.171802721
length,f,244,1,45.0937378,0.058131845
hc,f,244,1,31.36113516,0.047242454
length,m,244,1,45.81976351,0.054400347
hc,m,244,1,31.81402844,0.04695056
weight,f,245,0.588417384,2362.35385,0.180822137
weight,m,245,0.957434112,2492.763349,0.170265821
length,f,245,1,45.2716967,0.05777475
hc,f,245,1,31.47667602,0.047025236
length,m,245,1,45.99651323,0.054089619
hc,m,245,1,31.92437159,0.04677325
weight,f,246,0.568684789,2396.492826,0.17910035
weight,m,246,0.940719769,2526.526385,0.168740994
length,f,246,1,45.4478629,0.057414267
hc,f,246,1,31.59084966,0.046807257
length,m,246,1,46.17139942,0.053778517
hc,m,246,1,32.03340139,0.046595572
weight,f,247,0.549240321,2430.67568,0.177422795
weight,m,247,0.924231633,2560.161163,0.167231021
length,f,247,1,45.62217006,0.057050665
hc,f,247,1,31.70361004,0.046588613
length,m,247,1,46.34435168,0.053467173
hc,m,247,1,32.14108279,0.046417562
weight,f,248,0.530115147,2464.887677,0.175794319
weight,m,248,0.908004644,2593.647313,0.165738685
length,f,248,1,45.79455185,0.056684212
hc,f,248,1,31.8149111,0.0463694
length,m,248,1,46.51529963,0.053155723
hc,m,248,1,32.24738075,0.046239254
weight,f,249,0.511340439,2499.113677,0.17421964
weight,m,249,0.892072918,2626.964467,0.164266719
length,f,249,1,45.9649441,0.056315176
hc,f,249,1,31.92470827,0.046149715
length,m,249,1,46.6841755,0.0528443
hc,m,249,1,32.35226159,0.046060684
weight,f,250,0.492947363,2533.329193,0.172700523
weight,m,250,0.876451515,2660.092257,0.162816735
length,f,250,1,46.13333229,0.055943824
hc,f,250,1,32.03299063,0.045929655
length,m,250,1,46.85097149,0.052533029
hc,m,250,1,32.45572237,0.045881887
weight,f,251,0.474967089,2567.500387,0.171235781
weight,m,251,0.861136447,2693.010314,0.161389224
length,f,251,1,46.29975157,0.055570426
hc,f,251,1,32.13978097,0.045709315
length,m,251,1,47.0157398,0.05222203
hc,m,251,1,32.55779097,0.045702897
weight,f,252,0.457430787,2601.593015,0.1698241
weight,m,252,0.846122897,2725.69827,0.15998463
length,f,252,1,46.4642392,0.05519525
hc,f,252,1,32.24510352,0.045488793
length,m,252,1,47.17853523,0.051911419
hc,m,252,1,32.65849659,0.04552375
weight,f,253,0.440369624,2635.572834,0.168464165
weight,m,253,0.831406048,2758.135756,0.158603394
length,f,253,1,46.6268325,0.054818563
hc,f,253,1,32.34898253,0.045268184
length,m,253,1,47.3394126,0.051601315
hc,m,253,1,32.75786845,0.04534448
weight,f,254,0.42381477,2669.405601,0.16715466
weight,m,254,0.816981081,2790.302405,0.157245959
length,f,254,1,46.78756875,0.054440635
hc,f,254,1,32.45144224,0.045047586
length,m,254,1,47.49842671,0.051291836
hc,m,254,1,32.85593575,0.045165123
weight,f,255,0.407797394,2703.057072,0.165894271
weight,m,255,0.80284318,2822.177847,0.155912768
length,f,255,1,46.94648524,0.054061733
hc,f,255,1,32.55250689,0.044827094
length,m,255,1,47.65563237,0.050983099
hc,m,255,1,32.9527277,0.044985714
weight,f,256,0.39234779,2736.492769,0.164681682
weight,m,256,0.788987528,2853.74259,0.154604264
length,f,256,1,47.10361926,0.053682125
hc,f,256,1,32.65220071,0.044606805
length,m,256,1,47.81108438,0.050675223
hc,m,256,1,33.04827351,0.044806286
weight,f,257,0.377476162,2769.67281,0.163515579
weight,m,257,0.775409306,2884.997289,0.153320889
length,f,257,1,47.25900811,0.053302079
hc,f,257,1,32.75054795,0.044386815
length,m,257,1,47.96483755,0.050368325
hc,m,257,1,33.14260238,0.044626877
weight,f,258,0.363172618,2802.551911,0.162394646
weight,m,258,0.762103699,2915.962748,0.152063086
length,f,258,1,47.41268907,0.052921865
hc,f,258,1,32.84757286,0.044167221
length,m,258,1,48.1169467,0.050062523
hc,m,258,1,33.23574352,0.04444752
weight,f,259,0.349426394,2835.084551,0.161317569
weight,m,259,0.749065888,2946.660647,0.150831297
length,f,259,1,47.56469943,0.05254175
hc,f,259,1,32.94329966,0.04394812
length,m,259,1,48.26746662,0.049757935
hc,m,259,1,33.32772614,0.04426825
weight,f,260,0.336226724,2867.225211,0.160283032
weight,m,260,0.736291056,2977.112664,0.149625965
length,f,260,1,47.7150765,0.052162002
hc,f,260,1,33.0377526,0.043729607
length,m,260,1,48.41645212,0.049454678
hc,m,260,1,33.41857944,0.044089103
weight,f,261,0.323562846,2898.928371,0.15928972
weight,m,261,0.723774386,3007.340479,0.148447533
length,f,261,1,47.86385755,0.05178289
hc,f,261,1,33.13095593,0.043511779
length,m,261,1,48.56395801,0.049152872
hc,m,261,1,33.50833264,0.043910113
weight,f,262,0.311423993,2930.148511,0.158336319
weight,m,262,0.711511061,3037.365771,0.147296443
length,f,262,1,48.01107988,0.051404681
hc,f,262,1,33.22293388,0.043294733
length,m,262,1,48.71003909,0.048852633
hc,m,262,1,33.59701495,0.043731316
weight,f,263,0.299799402,2960.841219,0.157421514
weight,m,263,0.699496263,3067.21022,0.146173137
length,f,263,1,48.15678079,0.051027645
hc,f,263,1,33.31371069,0.043078565
length,m,263,1,48.85475018,0.04855408
hc,m,263,1,33.68465556,0.043552746
weight,f,264,0.288678308,2990.987548,0.156543989
weight,m,264,0.687725175,3096.895506,0.145078059
length,f,264,1,48.30099755,0.050652049
hc,f,264,1,33.4033106,0.042863372
length,m,264,1,48.99814608,0.04825733
hc,m,264,1,33.77128368,0.043374438
weight,f,265,0.278049946,3020.594019,0.155702429
weight,m,265,0.67619298,3126.443306,0.144011651
length,f,265,1,48.44376747,0.050278161
hc,f,265,1,33.49175786,0.042649249
length,m,265,1,49.1402816,0.047962501
hc,m,265,1,33.85692853,0.043196428
weight,f,266,0.267903553,3049.66826,0.15489552
weight,m,266,0.66489486,3155.875301,0.142974356
length,f,266,1,48.58512784,0.04990625
hc,f,266,1,33.5790767,0.042436293
length,m,266,1,49.28121154,0.047669712
hc,m,266,1,33.94161932,0.04301875
weight,f,267,0.258228362,3078.217898,0.154121946
weight,m,267,0.653825998,3185.213171,0.141966615
length,f,267,1,48.72511594,0.049536584
hc,f,267,1,33.66529137,0.042224602
length,m,267,1,49.42099071,0.047379079
hc,m,267,1,34.02538524,0.04284144
