metric,sex,gestational_age_in_days,l,m,s
weight,f,158,0.090956142,512.9417451,0.141753314
weight,m,158,0.674935082,538.3337779,0.138140129
weight,f,159,0.132926572,520.8651338,0.143272625
weight,m,159,0.699593492,549.0177618,0.140644177
weight,f,160,0.175071437,528.9082177,0.144829986
weight,m,160,0.724182997,559.7510299,0.143140967
weight,f,161,0.217507028,537.1507938,0.146450766
weight,m,161,0.748657661,570.5664382,0.145625661
weight,f,162,0.260349635,545.6726589,0.14816033
weight,m,162,0.772971548,581.4968429,0.148093421
weight,f,163,0.303715547,554.5536099,0.149984045
weight,m,163,0.79707872,592.5751,0.150539409
weight,f,164,0.347721056,563.8734436,0.151947279
weight,m,164,0.820933241,603.8340656,0.152958785
weight,f,165,0.392473658,573.709334,0.154074373
weight,m,165,0.844490044,615.3057615,0.155346804
length,f,165,1,29.68754375,0.061064371
hc,f,165,1,20.9436698,0.05663345
length,m,165,1,30.32439629,0.062997577
hc,m,165,1,21.32685553,0.057876267
weight,f,166,0.437878597,584.0781278,0.156366067
weight,m,166,0.867724081,627.0030181,0.157700826
length,f,166,1,29.87892235,0.061314708
hc,f,166,1,21.07615679,0.056606219
length,m,166,1,30.52426932,0.063283819
hc,m,166,1,21.46707757,0.05777355
weight,f,167,0.483638865,594.9363443,0.158799499
weight,m,167,0.890630316,638.9194745,0.160020323
length,f,167,1,30.07033148,0.061563826
hc,f,167,1,21.20865236,0.056578596
length,m,167,1,30.7240939,0.063566768
hc,m,167,1,21.60727803,0.057670682
weight,f,168,0.529448659,606.23788,0.161350784
weight,m,168,0.913204586,651.0479355,0.162304854
length,f,168,1,30.26179151,0.061810914
hc,f,168,1,21.34116222,0.056550321
length,m,168,1,30.92383772,0.063844228
hc,m,168,1,21.74744252,0.057567562
weight,f,169,0.575002179,617.9366315,0.163996034
weight,m,169,0.935442726,663.3812059,0.164553982
length,f,169,1,30.4533228,0.062055158
hc,f,169,1,21.47369209,0.056521134
length,m,169,1,31.12346849,0.064114006
hc,m,169,1,21.88755666,0.057464089
weight,f,170,0.619993622,629.9864952,0.166711362
weight,m,170,0.957340574,675.9120904,0.166767268
length,f,170,1,30.6449457,0.062295747
hc,f,170,1,21.60624769,0.056490774
length,m,170,1,31.32295389,0.064373906
hc,m,170,1,22.02760605,0.057360162
weight,f,171,0.664117185,642.3413675,0.169472881
weight,m,171,0.978893964,688.6333938,0.168944273
length,f,171,1,30.83668057,0.062531869
hc,f,171,1,21.73883472,0.056458979
length,m,171,1,31.52226162,0.064621731
hc,m,171,1,22.16757631,0.05725568
weight,f,172,0.707071983,654.9558479,0.17225698
weight,m,172,1.000098501,701.5381445,0.171084535
length,f,172,1,31.02854735,0.062762727
hc,f,172,1,21.8714588,0.056425496
length,m,172,1,31.72136006,0.064855334
hc,m,172,1,22.30745336,0.057150545
weight,f,173,0.748670172,667.8007001,0.175046369
weight,m,173,1.020944423,714.6245131,0.173187025
length,f,173,1,31.22055618,0.062987918
hc,f,173,1,22.00412276,0.056390193
length,m,173,1,31.92023312,0.065073622
hc,m,173,1,22.44723002,0.057044707
weight,f,174,0.788836952,680.8628528,0.177830086
weight,m,174,1.041416607,727.8958124,0.17525015
length,f,174,1,31.41270739,0.063207427
hc,f,174,1,22.13682671,0.056353067
length,m,174,1,32.11888026,0.065276556
hc,m,174,1,22.58690606,0.056938163
weight,f,175,0.827502439,694.1299374,0.180597441
weight,m,175,1.061499696,741.355579,0.177272293
length,f,175,1,31.60500091,0.063421258
hc,f,175,1,22.26957061,0.056314119
length,m,175,1,32.3173016,0.065464145
hc,m,175,1,22.72648153,0.056830915
weight,f,176,0.864596748,707.5895852,0.183337743
weight,m,176,1.081178334,755.0073494,0.179251836
length,f,176,1,31.79743666,0.063629415
hc,f,176,1,22.40235446,0.056273349
length,m,176,1,32.51549727,0.0656364
hc,m,176,1,22.86595649,0.056722962
weight,f,177,0.900049995,721.2294277,0.186040305
weight,m,177,1.100437163,768.85466,0.181187162
length,f,177,1,31.99001455,0.0638319
hc,f,177,1,22.53517821,0.056230759
length,m,177,1,32.7134674,0.065793327
hc,m,177,1,23.005331,0.056614305
weight,f,178,0.933792294,735.0370962,0.188694436
weight,m,178,1.119260827,782.9010474,0.183076654
length,f,178,1,32.1827345,0.064028716
hc,f,178,1,22.66804186,0.05618635
length,m,178,1,32.91121213,0.065934937
hc,m,178,1,23.14460512,0.056504944
weight,f,179,0.965755867,749.0006573,0.191289628
weight,m,179,1.137634031,797.1501597,0.1849187
length,f,179,1,32.37559655,0.064219863
hc,f,179,1,22.80094541,0.056140121
length,m,179,1,33.10873188,0.066061241
hc,m,179,1,23.28377882,0.05639488
weight,f,180,0.995921356,763.1181885,0.193819524
weight,m,180,1.155542919,811.608214,0.186711841
length,f,180,1,32.56860335,0.064405235
hc,f,180,1,22.9338896,0.056092038
length,m,180,1,33.30603423,0.066172345
hc,m,180,1,23.42285022,0.056284098
weight,f,181,1.024317824,777.3977777,0.19628192
weight,m,181,1.172975069,826.2839963,0.188454768
length,f,181,1,32.76176019,0.06458462
hc,f,181,1,23.06687593,0.056042034
length,m,181,1,33.50313385,0.066268446
hc,m,181,1,23.56181559,0.056172574
weight,f,182,1.05097644,791.8479483,0.198674792
weight,m,182,1.189918125,841.1864045,0.190146181
length,f,182,1,32.95507245,0.064757803
hc,f,182,1,23.1999059,0.055990039
length,m,182,1,33.70004573,0.066349744
hc,m,182,1,23.70067113,0.056060279
weight,f,183,1.075928373,806.4772236,0.200996117
weight,m,183,1.206359728,856.3243362,0.191784777
length,f,183,1,33.14854554,0.06492457
hc,f,183,1,23.33298103,0.055935985
length,m,183,1,33.89678488,0.06641644
hc,m,183,1,23.83941301,0.055947188
weight,f,184,1.099204792,821.2941269,0.20324387
weight,m,184,1.222287521,871.7066891,0.193369256
length,f,184,1,33.34218485,0.065084705
hc,f,184,1,23.46610283,0.055879803
length,m,184,1,34.09336627,0.066468735
hc,m,184,1,23.97803742,0.055833274
weight,f,185,1.120836866,836.3071815,0.205416028
weight,m,185,1.237689147,887.342361,0.194898314
length,f,185,1,33.53599577,0.065237992
hc,f,185,1,23.59927282,0.055821422
length,m,185,1,34.28980491,0.06650683
hc,m,185,1,24.11654056,0.055718509
weight,f,186,1.140855763,851.5249612,0.207510587
weight,m,186,1.25255223,903.2402656,0.19637065
length,f,186,1,33.72998367,0.065384217
hc,f,186,1,23.73249251,0.055760775
length,m,186,1,34.48611584,0.066530929
hc,m,186,1,24.25491862,0.055602868
weight,f,187,1.159292654,866.9572003,0.209525997
weight,m,187,1.266864012,919.409686,0.197784919
length,f,187,1,33.92415322,0.065523195
hc,f,187,1,23.86576321,0.055697802
length,m,187,1,34.6823152,0.066541312
hc,m,187,1,24.39316832,0.055486328
weight,f,188,1.176178706,882.6147937,0.211461162
weight,m,188,1.280611348,935.8602743,0.199139736
length,f,188,1,34.11850836,0.065654768
hc,f,188,1,23.99908602,0.055632453
length,m,188,1,34.87842028,0.066538335
hc,m,188,1,24.53128686,0.055368868
weight,f,189,1.191545088,898.5086868,0.213315005
weight,m,189,1.293781076,952.6016988,0.200433715
length,f,189,1,34.31305304,0.065778778
hc,f,189,1,24.13246205,0.055564676
length,m,189,1,35.0744484,0.066522356
hc,m,189,1,24.66927146,0.055250469
weight,f,190,1.205422969,914.6498248,0.215086451
weight,m,190,1.306360035,969.6436276,0.201665471
length,f,190,1,34.50779117,0.06589507
hc,f,190,1,24.2658924,0.055494421
length,m,190,1,35.27041687,0.066493735
hc,m,190,1,24.80711935,0.055131112
weight,f,191,1.217843519,931.0491531,0.216774423
weight,m,191,1.318335064,986.9957291,0.202833617
length,f,191,1,34.70272668,0.066003486
hc,f,191,1,24.39937818,0.055421639
length,m,191,1,35.46634302,0.066452832
hc,m,191,1,24.94482775,0.055010778
weight,f,192,1.228837906,947.7176172,0.218377845
weight,m,192,1.329693002,1004.667671,0.203936766
length,f,192,1,34.8978635,0.066103869
hc,f,192,1,24.53292049,0.055346279
length,m,192,1,35.66224416,0.066400004
hc,m,192,1,25.08239388,0.054889446
weight,f,193,1.238437299,964.6661487,0.219895636
weight,m,193,1.340420691,1022.669118,0.204973533
length,f,193,1,35.09320558,0.066196064
hc,f,193,1,24.66652043,0.055268291
length,m,193,1,35.85813761,0.06633561
hc,m,193,1,25.21981496,0.054767098
weight,f,194,1.246672867,981.9053687,0.221326592
weight,m,194,1.350505079,1041.009635,0.205942544
length,f,194,1,35.28875702,0.066279904
hc,f,194,1,24.80017916,0.055187621
length,m,194,1,36.05404038,0.066259989
hc,m,194,1,25.35708809,0.054643712
weight,f,195,1.253575779,999.445587,0.222669389
weight,m,195,1.359933215,1059.698688,0.206842433
length,f,195,1,35.48452215,0.066355218
hc,f,195,1,24.93389789,0.055104215
length,m,195,1,36.24996916,0.066173457
hc,m,195,1,25.4942102,0.054519268
weight,f,196,1.259177204,1017.2971,0.223922696
weight,m,196,1.368692152,1078.745738,0.207671837
length,f,196,1,35.68050529,0.066421834
hc,f,196,1,25.06767785,0.055018017
length,m,196,1,36.44594068,0.066076331
hc,m,196,1,25.63117825,0.054393745
weight,f,197,1.26350831,1035.470204,0.225085184
weight,m,197,1.376768945,1098.160248,0.208429393
length,f,197,1,35.87671075,0.066479579
hc,f,197,1,25.20152023,0.054928972
length,m,197,1,36.64197161,0.065968929
hc,m,197,1,25.76798918,0.05426712
weight,f,198,1.266600267,1053.975196,0.226155522
weight,m,198,1.384150648,1117.951679,0.209113738
length,f,198,1,36.07314287,0.066528281
hc,f,198,1,25.33542625,0.054837024
length,m,198,1,36.83807865,0.065851566
hc,m,198,1,25.90463995,0.054139373
weight,f,199,1.268484243,1072.822373,0.22713238
weight,m,199,1.390824315,1138.129493,0.209723507
length,f,199,1,36.26980595,0.066567767
hc,f,199,1,25.46939713,0.054742119
length,m,199,1,37.03427851,0.065724559
hc,m,199,1,26.04112749,0.054010481
weight,f,200,1.269191407,1092.022033,0.228014429
weight,m,200,1.396776998,1158.703153,0.210257368
length,f,200,1,36.46670432,0.066597865
hc,f,200,1,25.60343408,0.0546442
length,m,200,1,37.23058788,0.065588226
hc,m,200,1,26.17744875,0.053880425
weight,f,201,1.268752929,1111.584561,0.228800374
weight,m,201,1.401995723,1179.682148,0.210714675
length,f,201,1,36.66384225,0.066618405
hc,f,201,1,25.7375383,0.054543214
length,m,201,1,37.42702355,0.065442888
hc,m,201,1,26.31360072,0.053749181
weight,f,202,1.267199976,1131.520422,0.22948895
weight,m,202,1.406467488,1201.075994,0.211095474
length,f,202,1,36.86122395,0.066629218
hc,f,202,1,25.87171097,0.054439106
length,m,202,1,37.62360237,0.065288874
hc,m,202,1,26.44958041,0.05361673
weight,f,203,1.264563719,1151.840087,0.230078897
weight,m,203,1.410179288,1222.894209,0.21139984
length,f,203,1,37.05885364,0.066630136
hc,f,203,1,26.00595327,0.054331822
length,m,203,1,37.82034121,0.06512651
hc,m,203,1,26.58538485,0.053483051
weight,f,204,1.260875326,1172.554027,0.230568951
weight,m,204,1.413118121,1245.146309,0.211627848
length,f,204,1,37.25673554,0.066620991
hc,f,204,1,26.1402664,0.054221308
length,m,204,1,38.01725693,0.064956127
hc,m,204,1,26.72101106,0.053348123
weight,f,205,1.256165965,1193.67271,0.23095785
weight,m,205,1.415270982,1267.841812,0.211779573
length,f,205,1,37.45487387,0.066601615
hc,f,205,1,26.27465153,0.054107511
length,m,205,1,38.2143664,0.064778051
hc,m,205,1,26.85645606,0.053211925
weight,f,206,1.250466807,1215.206607,0.231244333
weight,m,206,1.416624867,1290.990234,0.21185509
length,f,206,1,37.65327283,0.06657184
hc,f,206,1,26.40910985,0.053990375
length,m,206,1,38.41168648,0.06459261
hc,m,206,1,26.99171687,0.053074435
