A            mass         dmass    abundance    dabundance         I            r        dr
54     53.9396105     0.0000007     0.058450      0.000230       0.0       3.6931    0.0018
56     55.9349375     0.0000007     0.917540      0.000240       0.0       3.7371    0.0015
57     56.9353940     0.0000007     0.021191      0.000065       0.5       3.7534    0.0017
58     57.9332756     0.0000008     0.002819      0.000027       0.0       3.7748    0.0014
