date,Real Upper Band,Real Middle Band,Real Lower Band
2000-05-26,147.4725,141.9523,136.4322
2000-05-30,146.7343,141.7242,136.7141
2000-05-31,146.5747,141.6586,136.7425
2000-06-01,147.0311,141.8867,136.7423
2000-06-02,147.95,142.1883,136.4266
2000-06-05,148.4983,142.368,136.2376
2000-06-06,148.9548,142.5687,136.1826
2000-06-07,149.5794,142.8773,136.1752
2000-06-08,149.8644,143.3164,136.7684
2000-06-09,150.2088,143.582,136.9552
2000-06-12,150.325,143.6851,137.0453
2000-06-13,150.6257,143.8008,136.9758
2000-06-14,150.799,143.8586,136.9182
2000-06-15,151.1805,144.0086,136.8367
2000-06-16,151.4213,144.1695,136.9177
2000-06-19,151.8778,144.5367,137.1956
2000-06-20,152.1125,144.9304,137.7484
2000-06-21,151.9613,145.4242,138.887
2000-06-22,151.7838,145.6929,139.6021
2000-06-23,150.9892,146.0195,141.0498
2000-06-26,149.7728,146.4312,143.0896
2000-06-27,149.4502,146.564,143.6779
2000-06-28,149.0764,146.7015,144.3266
2000-06-29,149.1959,146.6453,144.0946
2000-06-30,149.0716,146.5172,143.9627
2000-07-03,149.0877,146.525,143.9622
2000-07-05,149.1263,146.4328,143.7393
2000-07-06,149.0101,146.3461,143.6821
2000-07-07,149.1679,146.4054,143.643
2000-07-10,149.3003,146.4679,143.6356
2000-07-11,149.4563,146.632,143.8077
2000-07-12,149.7105,146.7086,143.7067
2000-07-13,150.0619,146.8054,143.549
2000-07-14,150.7144,146.9601,143.2059
2000-07-17,151.3202,147.1804,143.0407
2000-07-18,151.5027,147.2453,142.9879
2000-07-19,151.5629,147.2765,142.9902
2000-07-20,151.9382,147.414,142.8899
2000-07-21,151.9669,147.5172,143.0674
2000-07-24,151.8662,147.6406,143.415
2000-07-25,151.8742,147.6945,143.5148
2000-07-26,151.8339,147.7305,143.627
2000-07-27,151.8451,147.7211,143.5971
2000-07-28,152.1771,147.6164,143.0557
2000-07-31,152.3931,147.5023,142.6116
2000-08-01,152.4725,147.332,142.1915
2000-08-02,152.4743,147.3305,142.1866
2000-08-03,152.4765,147.3226,142.1687
2000-08-04,152.3936,147.2367,142.0798
2000-08-07,152.4158,147.2508,142.0858
2000-08-08,152.4661,147.2773,142.0886
2000-08-09,152.3132,147.193,142.0727
2000-08-10,152.0226,147.0398,142.057
2000-08-11,151.4479,146.8476,142.2474
2000-08-14,151.1055,146.7617,142.4179
2000-08-15,150.9982,146.7312,142.4642
2000-08-16,151.0068,146.7344,142.4619
2000-08-17,150.9088,146.7125,142.5161
2000-08-18,151.1885,146.8125,142.4365
2000-08-21,151.6574,146.9953,142.3332
2000-08-22,152.0153,147.1422,142.2691
2000-08-23,152.4817,147.3906,142.2995
2000-08-24,152.963,147.6875,142.412
2000-08-25,152.9694,148.1453,143.3211
2000-08-28,153.0367,148.5836,144.1304
2000-08-29,153.0826,148.9797,144.8768
2000-08-30,152.8766,149.2672,145.6577
2000-08-31,153.0349,149.6047,146.1744
2000-09-01,153.2248,149.9109,146.597
2000-09-05,153.3275,150.0687,146.8099
2000-09-06,153.319,150.1125,146.9059
2000-09-07,153.2563,150.2828,147.3093
2000-09-08,152.9374,150.4375,147.9375
2000-09-11,152.6697,150.5469,148.424
2000-09-12,152.7479,150.5078,148.2677
2000-09-13,152.7694,150.4945,148.2197
2000-09-14,152.6927,150.5453,148.3979
2000-09-15,153.2587,150.3359,147.4132
2000-09-18,153.9128,150.0844,146.2559
2000-09-19,154.0774,149.8578,145.6382
2000-09-20,154.3249,149.5898,144.8547
2000-09-21,154.7471,149.182,143.6169
2000-09-22,154.6025,148.8804,143.1584
2000-09-25,154.4817,148.5304,142.5792
2000-09-26,154.383,148.0625,141.7419
2000-09-27,154.0513,147.6304,141.2096
2000-09-28,153.7549,147.3633,140.9716
2000-09-29,153.0858,146.9273,140.7688
2000-10-02,152.2277,146.4945,140.7614
