date,SMA
2000-05-11,142.2726
2000-05-12,141.8003
2000-05-15,141.9288
2000-05-16,142.5885
2000-05-17,142.96
2000-05-18,142.9427
2000-05-19,142.7951
2000-05-22,142.6562
2000-05-23,142.6423
2000-05-24,142.5278
2000-05-25,141.9757
2000-05-26,141.1667
2000-05-30,140.7014
2000-05-31,140.441
2000-06-01,140.6562
2000-06-02,141.4028
2000-06-05,142.1875
2000-06-06,143.1285
2000-06-07,143.9323
2000-06-08,144.9392
2000-06-09,145.8941
2000-06-12,146.158
2000-06-13,146.6892
2000-06-14,146.9704
2000-06-15,147.0052
2000-06-16,146.9461
2000-06-19,147.1684
2000-06-20,147.2187
2000-06-21,147.3264
2000-06-22,147.2187
2000-06-23,147.1632
2000-06-26,147.0121
2000-06-27,146.7135
2000-06-28,146.4253
2000-06-29,146.158
2000-06-30,145.8038
2000-07-03,145.7309
2000-07-05,145.3698
2000-07-06,145.3837
2000-07-07,145.7968
2000-07-10,145.9757
2000-07-11,146.309
2000-07-12,146.7048
2000-07-13,147.3264
2000-07-14,147.9896
2000-07-17,148.4028
2000-07-18,148.9739
2000-07-19,149.2864
2000-07-20,149.5677
2000-07-21,149.5503
2000-07-24,149.4045
2000-07-25,149.2031
2000-07-26,148.7691
2000-07-27,148.1163
2000-07-28,147.1267
2000-07-31,146.375
2000-08-01,145.8542
2000-08-02,145.184
2000-08-03,144.9514
2000-08-04,144.8993
2000-08-07,144.9896
2000-08-08,145.3021
2000-08-09,145.5312
2000-08-10,146.0451
2000-08-11,146.5347
2000-08-14,147.1354
2000-08-15,147.6423
2000-08-16,147.9791
2000-08-17,148.4028
2000-08-18,148.5764
2000-08-21,148.7778
2000-08-22,149.0903
2000-08-23,149.5486
2000-08-24,149.9826
2000-08-25,150.2014
2000-08-28,150.4913
2000-08-29,150.8437
2000-08-30,150.8611
2000-08-31,151.1562
2000-09-01,151.3784
2000-09-05,151.493
2000-09-06,151.3507
2000-09-07,151.2986
2000-09-08,151.1389
2000-09-11,150.8975
2000-09-12,150.5312
2000-09-13,150.3698
2000-09-14,150.0694
2000-09-15,149.3472
2000-09-18,148.6111
2000-09-19,148.2118
2000-09-20,147.5503
2000-09-21,146.7587
2000-09-22,146.2795
2000-09-25,145.8073
2000-09-26,145.0868
2000-09-27,144.3663
2000-09-28,144.2552
2000-09-29,144.1406
2000-10-02,143.9045
2000-10-03,143.6389
2000-10-04,143.75
2000-10-05,143.6285
2000-10-06,143.2743
2000-10-09,143.0069
2000-10-10,142.3993
2000-10-11,141.4583
2000-10-12,140.2917
2000-10-13,139.5937
2000-10-16,139.1146
2000-10-17,138.1215
2000-10-18,137.0174
2000-10-19,136.8229
2000-10-20,136.8125
2000-10-23,137.1285
2000-10-24,137.4687
2000-10-25,137.8229
2000-10-26,137.7257
2000-10-27,137.8472
2000-10-30,138.4896
2000-10-31,139.4566
2000-11-01,139.8073
2000-11-02,140.118
2000-11-03,140.368
2000-11-06,140.8333
2000-11-07,141.6597
2000-11-08,142.0902
2000-11-09,142.1736
2000-11-10,141.7396
2000-11-13,140.9184
2000-11-14,140.5469
2000-11-15,140.1979
2000-11-16,139.5972
2000-11-17,138.8038
2000-11-20,137.7969
2000-11-21,137.2205
2000-11-22,136.3437
2000-11-24,136.1458
2000-11-27,136.1979
2000-11-28,135.5937
2000-11-29,134.9132
2000-11-30,134.3472
2000-12-01,133.8559
2000-12-04,133.7066
2000-12-05,133.967
2000-12-06,134.342
2000-12-07,134.21
2000-12-08,133.9809
2000-12-11,134.5295
2000-12-12,135.0399
2000-12-13,135.4687
2000-12-14,135.7118
2000-12-15,135.4479
2000-12-18,134.8923
2000-12-19,134.2812
2000-12-20,133.4583
2000-12-21,132.6979
2000-12-22,131.8437
2000-12-26,131.2118
2000-12-27,130.8975
2000-12-28,130.8212
2000-12-29,130.8455
2001-01-02,130.4101
2001-01-03,130.9639
2001-01-04,131.7694
2001-01-05,132.0
2001-01-08,131.918
2001-01-09,131.6354
2001-01-10,131.5007
2001-01-11,131.3431
2001-01-12,131.4333
