date,SMA
2001-02-13,141.4928
2001-02-14,141.418
2001-02-15,141.3639
2001-02-16,141.3121
2001-02-20,141.2451
2001-02-21,141.1554
2001-02-22,141.0721
2001-02-23,140.9906
2001-02-26,140.938
2001-02-27,140.8635
2001-02-28,140.7695
2001-03-01,140.6661
2001-03-02,140.5506
2001-03-05,140.4484
2001-03-06,140.362
2001-03-07,140.2914
2001-03-08,140.2265
2001-03-09,140.1535
2001-03-12,140.0428
2001-03-13,139.9536
2001-03-14,139.8521
2001-03-15,139.7281
2001-03-16,139.589
2001-03-19,139.4495
2001-03-20,139.2812
2001-03-21,139.1071
2001-03-22,138.9303
2001-03-23,138.7653
2001-03-26,138.6103
2001-03-27,138.4688
2001-03-28,138.3195
2001-03-29,138.159
2001-03-30,138.0033
2001-04-02,137.8335
2001-04-03,137.6525
2001-04-04,137.4647
2001-04-05,137.3005
2001-04-06,137.1276
2001-04-09,136.9725
2001-04-10,136.8341
2001-04-11,136.6865
2001-04-12,136.5552
2001-04-16,136.4154
2001-04-17,136.2909
2001-04-18,136.1845
2001-04-19,136.0766
2001-04-20,135.976
2001-04-23,135.8582
2001-04-24,135.7258
2001-04-25,135.6025
2001-04-26,135.4803
2001-04-27,135.3636
2001-04-30,135.2392
2001-05-01,135.1185
2001-05-02,134.9975
2001-05-03,134.8747
2001-05-04,134.7683
2001-05-07,134.6462
2001-05-08,134.5388
2001-05-09,134.4331
2001-05-10,134.3265
2001-05-11,134.2231
2001-05-14,134.1233
2001-05-15,134.0428
2001-05-16,133.9728
2001-05-17,133.8994
2001-05-18,133.8249
2001-05-21,133.7555
2001-05-22,133.6811
2001-05-23,133.587
2001-05-24,133.4915
2001-05-25,133.3948
2001-05-29,133.2968
2001-05-30,133.1862
2001-05-31,133.0698
2001-06-01,132.9575
2001-06-04,132.8509
2001-06-05,132.744
2001-06-06,132.634
2001-06-07,132.5225
2001-06-08,132.4063
2001-06-11,132.2826
2001-06-12,132.1555
2001-06-13,132.0233
2001-06-14,131.8744
2001-06-15,131.7249
2001-06-18,131.5797
2001-06-19,131.427
2001-06-20,131.2765
2001-06-21,131.1391
2001-06-22,131.0058
2001-06-25,130.8601
2001-06-26,130.719
2001-06-27,130.5785
2001-06-28,130.447
2001-06-29,130.3156
2001-07-02,130.1879
2001-07-03,130.0784
2001-07-05,129.9636
2001-07-06,129.8293
2001-07-09,129.7033
2001-07-10,129.5814
2001-07-11,129.447
2001-07-12,129.3317
2001-07-13,129.2307
2001-07-16,129.1184
2001-07-17,129.0024
2001-07-18,128.8893
2001-07-19,128.7806
2001-07-20,128.6746
2001-07-23,128.5511
2001-07-24,128.4192
2001-07-25,128.3094
2001-07-26,128.2114
2001-07-27,128.1269
2001-07-30,128.0488
2001-07-31,127.9901
2001-08-01,127.9128
2001-08-02,127.8349
2001-08-03,127.7706
2001-08-06,127.7009
2001-08-07,127.6083
2001-08-08,127.5013
2001-08-09,127.3932
2001-08-10,127.2917
2001-08-13,127.2066
2001-08-14,127.1197
2001-08-15,127.0143
2001-08-16,126.9051
2001-08-17,126.7744
2001-08-20,126.6512
2001-08-21,126.5166
2001-08-22,126.3877
2001-08-23,126.2518
2001-08-24,126.1281
2001-08-27,126.0168
2001-08-28,125.8996
2001-08-29,125.794
2001-08-30,125.6827
2001-08-31,125.5581
2001-09-04,125.4272
2001-09-05,125.3089
2001-09-06,125.1797
2001-09-07,125.0497
2001-09-10,124.9233
2001-09-17,124.7841
2001-09-18,124.6304
2001-09-19,124.4603
2001-09-20,124.2854
2001-09-21,124.1046
2001-09-24,123.9467
