date,CCI
2000-05-26,-113.3779
2000-05-30,-6.0138
2000-05-31,47.3001
2000-06-01,93.9074
2000-06-02,177.3327
2000-06-05,134.8797
2000-06-06,102.1094
2000-06-07,99.6748
2000-06-08,84.5526
2000-06-09,73.0638
2000-06-12,42.3746
2000-06-13,62.6518
2000-06-14,88.8181
2000-06-15,81.9059
2000-06-16,56.3056
2000-06-19,71.7886
2000-06-20,67.0311
2000-06-21,59.4004
2000-06-22,11.4424
2000-06-23,-44.6543
2000-06-26,-29.9453
2000-06-27,-59.6091
2000-06-28,-59.022
2000-06-29,-169.2988
2000-06-30,-118.1547
2000-07-03,8.2416
2000-07-05,-85.6268
2000-07-06,-60.8407
2000-07-07,85.8558
2000-07-10,100.0145
2000-07-11,93.0746
2000-07-12,139.1267
2000-07-13,148.6316
2000-07-14,170.4315
2000-07-17,160.3552
2000-07-18,98.6868
2000-07-19,57.6196
2000-07-20,88.5796
2000-07-21,28.621
2000-07-24,-10.0046
2000-07-25,-17.8096
2000-07-26,-63.1248
2000-07-27,-87.9178
2000-07-28,-173.581
2000-07-31,-164.5478
2000-08-01,-119.398
2000-08-02,-95.2481
2000-08-03,-87.5116
2000-08-04,-36.2881
2000-08-07,10.7665
2000-08-08,32.0507
2000-08-09,24.5484
2000-08-10,-5.2266
2000-08-11,2.5388
2000-08-14,72.2346
2000-08-15,96.5579
2000-08-16,82.0222
2000-08-17,117.9139
2000-08-18,115.452
2000-08-21,119.6833
2000-08-22,116.3876
2000-08-23,101.1336
2000-08-24,110.1588
2000-08-25,109.0165
2000-08-28,125.5853
2000-08-29,103.1542
2000-08-30,66.6522
2000-08-31,117.4257
2000-09-01,133.2977
2000-09-05,67.9393
2000-09-06,11.7298
2000-09-07,18.8576
2000-09-08,-34.0107
2000-09-11,-55.2964
2000-09-12,-118.6664
2000-09-13,-146.1477
2000-09-14,-103.2202
2000-09-15,-244.7441
2000-09-18,-259.2562
2000-09-19,-186.8561
2000-09-20,-180.8198
2000-09-21,-175.5841
2000-09-22,-129.514
2000-09-25,-103.6463
2000-09-26,-120.1373
2000-09-27,-109.1303
2000-09-28,-63.706
2000-09-29,-65.0953
2000-10-02,-70.3643
2000-10-03,-76.5819
2000-10-04,-79.7377
2000-10-05,-49.8293
2000-10-06,-124.5818
2000-10-09,-182.9371
2000-10-10,-217.4153
2000-10-11,-251.9875
2000-10-12,-251.5572
2000-10-13,-162.8487
2000-10-16,-102.0689
2000-10-17,-122.453
2000-10-18,-146.0343
2000-10-19,-44.2106
2000-10-20,-12.3899
2000-10-23,-0.7784
2000-10-24,2.99
2000-10-25,-56.1346
2000-10-26,-75.8948
2000-10-27,-16.369
2000-10-30,31.0779
2000-10-31,100.7788
2000-11-01,106.5027
2000-11-02,132.8587
2000-11-03,125.6095
2000-11-06,131.9096
2000-11-07,108.2883
2000-11-08,59.4604
2000-11-09,-3.4159
2000-11-10,-62.8658
2000-11-13,-120.5672
2000-11-14,-32.8435
2000-11-15,-28.3466
2000-11-16,-59.642
2000-11-17,-84.9031
2000-11-20,-128.1133
2000-11-21,-115.4099
2000-11-22,-150.8738
2000-11-24,-109.8598
2000-11-27,-67.1603
2000-11-28,-88.5186
2000-11-29,-89.4212
2000-11-30,-127.5144
2000-12-01,-105.8552
2000-12-04,-87.8842
2000-12-05,11.8989
2000-12-06,9.7403
2000-12-07,-44.0535
2000-12-08,13.4806
2000-12-11,111.2632
2000-12-12,90.4016
2000-12-13,62.9545
2000-12-14,-15.3993
2000-12-15,-147.5465
2000-12-18,-90.5804
2000-12-19,-115.8353
2000-12-20,-231.0065
2000-12-21,-186.9956
2000-12-22,-88.2449
2000-12-26,-47.7315
2000-12-27,-16.7054
2000-12-28,0.9186
2000-12-29,-31.2518
2001-01-02,-94.6425
2001-01-03,-8.5677
2001-01-04,24.5638
2001-01-05,-60.4507
2001-01-08,-87.3085
2001-01-09,-57.7644
2001-01-10,-29.3812
2001-01-11,25.0554
2001-01-12,39.9699
2001-01-16,55.7838
2001-01-17,99.3551
2001-01-18,122.5096
2001-01-19,116.9001
2001-01-22,114.9148
2001-01-23,146.5898
2001-01-24,162.0228
2001-01-25,133.646
2001-01-26,88.9709
2001-01-29,104.7962
2001-01-30,118.73
2001-01-31,118.0836
2001-02-01,104.6375
2001-02-02,51.2805
2001-02-05,35.5199
2001-02-06,39.2516
2001-02-07,-17.7979
2001-02-08,-65.0749
2001-02-09,-151.3529
2001-02-12,-119.5923
2001-02-13,-123.9946
2001-02-14,-159.1329
2001-02-15,-95.4368
2001-02-16,-176.2452
2001-02-20,-176.8991
2001-02-21,-207.811
2001-02-22,-203.6733
2001-02-23,-190.0531
2001-02-26,-116.7132
2001-02-27,-101.8203
2001-02-28,-118.1797
2001-03-01,-119.6875
2001-03-02,-103.6015
2001-03-05,-84.6461
2001-03-06,-44.1154
2001-03-07,-36.1407
2001-03-08,-27.0882
2001-03-09,-77.9718
2001-03-12,-176.7945
2001-03-13,-168.0713
2001-03-14,-183.6135
2001-03-15,-157.2965
2001-03-16,-182.1534
2001-03-19,-134.4864
2001-03-20,-130.1002
2001-03-21,-146.296
2001-03-22,-158.4417
2001-03-23,-100.5778
2001-03-26,-64.5037
2001-03-27,-34.4509
2001-03-28,-57.1763
2001-03-29,-79.9731
2001-03-30,-40.4438
2001-04-02,-50.8998
2001-04-03,-114.1252
2001-04-04,-128.7125
2001-04-05,-38.8857
2001-04-06,-62.2602
2001-04-09,-26.8456
2001-04-10,68.3922
2001-04-11,96.2907
2001-04-12,122.0335
2001-04-16,107.2852
2001-04-17,128.6146
2001-04-18,237.4218
