date,OBV
2000-05-01,7328300.0
2000-05-02,-2083600.0
2000-05-03,-14714300.0
2000-05-04,-8750700.0
2000-05-05,-888300.0
2000-05-08,-5952400.0
2000-05-09,-11572700.0
2000-05-10,-21866600.0
2000-05-11,-14775500.0
2000-05-12,-8814700.0
2000-05-15,-4373400.0
2000-05-16,3818800.0
2000-05-17,-2088400.0
2000-05-18,-6414000.0
2000-05-19,-12932400.0
2000-05-22,-23771800.0
2000-05-23,-31751000.0
2000-05-24,-20669500.0
2000-05-25,-28948400.0
2000-05-26,-24134400.0
2000-05-30,-18771700.0
2000-05-31,-12715200.0
2000-06-01,-3753600.0
2000-06-02,5208600.0
2000-06-05,-1789500.0
2000-06-06,-6648400.0
2000-06-07,-1728900.0
2000-06-08,-7452000.0
2000-06-09,-10537300.0
2000-06-12,-14216200.0
2000-06-13,-7657500.0
2000-06-14,-1237000.0
2000-06-15,4644200.0
2000-06-16,-923700.0
2000-06-19,4183200.0
2000-06-20,-2296800.0
2000-06-21,-5411800.0
2000-06-22,-12902300.0
2000-06-23,-17765600.0
2000-06-26,-12564300.0
2000-06-27,-16723800.0
2000-06-28,-11376100.0
2000-06-29,-17721800.0
2000-06-30,-10301600.0
2000-07-03,-8865000.0
2000-07-05,-11613200.0
2000-07-06,-5650000.0
2000-07-07,-2615200.0
2000-07-10,-5431300.0
2000-07-11,300.0
2000-07-12,5883300.0
2000-07-13,11239300.0
2000-07-14,16581200.0
2000-07-17,12372900.0
2000-07-18,8110800.0
2000-07-19,-396000.0
2000-07-20,4142900.0
2000-07-21,-1514000.0
2000-07-24,-7142500.0
2000-07-25,-2385400.0
2000-07-26,-14447900.0
2000-07-27,-22100500.0
2000-07-28,-28330000.0
2000-07-31,-23064500.0
2000-08-01,-19117900.0
2000-08-02,-11678100.0
2000-08-03,-7071000.0
2000-08-04,-3384400.0
2000-08-07,775400.0
2000-08-08,4434100.0
2000-08-09,-949700.0
2000-08-10,-5143100.0
2000-08-11,-53700.0
2000-08-14,2913000.0
2000-08-15,-2651600.0
2000-08-16,-7843200.0
2000-08-17,-2191000.0
2000-08-18,-6817400.0
2000-08-21,-4436800.0
2000-08-22,-7512100.0
2000-08-23,-2028900.0
2000-08-24,2500100.0
2000-08-25,-322100.0
2000-08-28,5196600.0
2000-08-29,8758500.0
2000-08-30,4793700.0
2000-08-31,9656800.0
2000-09-01,12848000.0
2000-09-05,9377200.0
2000-09-06,5055000.0
2000-09-07,9320500.0
2000-09-08,5802300.0
2000-09-11,1864800.0
2000-09-12,-2904300.0
2000-09-13,4787300.0
2000-09-14,8184400.0
2000-09-15,4098700.0
2000-09-18,-1010600.0
2000-09-19,5577600.0
2000-09-20,-930500.0
2000-09-21,-6902800.0
2000-09-22,888500.0
2000-09-25,-8837800.0
2000-09-26,-14140200.0
2000-09-27,-6954000.0
2000-09-28,82400.0
2000-09-29,-9251200.0
2000-10-02,-3733400.0
2000-10-03,-13080600.0
2000-10-04,-6931700.0
2000-10-05,-2364800.0
2000-10-06,-12379700.0
2000-10-09,-16887700.0
2000-10-10,-22992400.0
2000-10-11,-33338400.0
2000-10-12,-45675300.0
2000-10-13,-33896500.0
2000-10-16,-28237500.0
2000-10-17,-36069200.0
2000-10-18,-46966500.0
2000-10-19,-38199200.0
2000-10-20,-30825700.0
2000-10-23,-25535700.0
2000-10-24,-31286400.0
2000-10-25,-40424000.0
2000-10-26,-31078200.0
2000-10-27,-21315300.0
2000-10-30,-11161200.0
2000-10-31,-3408800.0
2000-11-01,-10162400.0
2000-11-02,1232700.0
2000-11-03,6419800.0
2000-11-06,10462300.0
2000-11-07,5231000.0
2000-11-08,-892300.0
2000-11-09,-11527600.0
2000-11-10,-20097100.0
2000-11-13,-37382400.0
2000-11-14,-29713500.0
2000-11-15,-20875800.0
2000-11-16,-27559900.0
2000-11-17,-34111000.0
2000-11-20,-39569500.0
2000-11-21,-31885200.0
2000-11-22,-37622100.0
2000-11-24,-34210500.0
2000-11-27,-28218500.0
2000-11-28,-33554600.0
2000-11-29,-40468700.0
2000-11-30,-51670300.0
2000-12-01,-59257500.0
2000-12-04,-52260900.0
2000-12-05,-43377500.0
2000-12-06,-56265500.0
2000-12-07,-62794600.0
2000-12-08,-52518300.0
2000-12-11,-46112700.0
2000-12-12,-51135600.0
2000-12-13,-57206100.0
2000-12-14,-64884500.0
2000-12-15,-73949800.0
2000-12-18,-66714400.0
2000-12-19,-76331000.0
2000-12-20,-86325300.0
2000-12-21,-71993800.0
2000-12-22,-61810900.0
2000-12-26,-57145600.0
2000-12-27,-52291500.0
2000-12-28,-43932800.0
2000-12-29,-52707400.0
2001-01-02,-61444900.0
2001-01-03,-42013300.0
2001-01-04,-51232300.0
2001-01-05,-64143700.0
2001-01-08,-57518400.0
2001-01-09,-63220800.0
2001-01-10,-54474700.0
2001-01-11,-47229600.0
2001-01-12,-54473600.0
2001-01-16,-45931400.0
2001-01-17,-38080000.0
2001-01-18,-29973000.0
2001-01-19,-37755500.0
2001-01-22,-30704600.0
2001-01-23,-22241500.0
2001-01-24,-16041600.0
2001-01-25,-26859900.0
2001-01-26,-27443100.0
2001-01-29,-20737200.0
2001-01-30,-13668100.0
2001-01-31,-23375000.0
2001-02-01,-15135900.0
2001-02-02,-23412300.0
2001-02-05,-19059400.0
2001-02-06,-26166100.0
2001-02-07,-31914800.0
2001-02-08,-37858100.0
2001-02-09,-47771100.0
2001-02-12,-41966700.0
2001-02-13,-48554300.0
2001-02-14,-56954400.0
2001-02-15,-51024600.0
2001-02-16,-57459500.0
2001-02-20,-63219500.0
2001-02-21,-74130300.0
2001-02-22,-52848700.0
2001-02-23,-73021700.0
2001-02-26,-61518000.0
2001-02-27,-72933200.0
2001-02-28,-87759000.0
2001-03-01,-73087000.0
2001-03-02,-85651300.0
2001-03-05,-80358400.0
2001-03-06,-79995000.0
2001-03-07,-73623300.0
2001-03-08,-67568300.0
2001-03-09,-77588600.0
2001-03-12,-91561700.0
2001-03-13,-78673700.0
2001-03-14,-78896300.0
2001-03-15,-78896300.0
2001-03-16,-137410900.0
2001-03-19,-127343100.0
2001-03-20,-142433800.0
2001-03-21,-162110000.0
2001-03-22,-190736600.0
2001-03-23,-177874900.0
2001-03-26,-167876500.0
2001-03-27,-154972100.0
2001-03-28,-166160600.0
