date,SMA
2000-07-11,144.5922
2000-07-12,144.6334
2000-07-13,144.7465
2000-07-14,144.9565
2000-07-17,145.1403
2000-07-18,145.265
2000-07-19,145.3872
2000-07-20,145.5734
2000-07-21,145.7647
2000-07-24,145.8759
2000-07-25,145.9659
2000-07-26,145.9778
2000-07-27,145.9515
2000-07-28,145.8903
2000-07-31,145.8828
2000-08-01,145.9378
2000-08-02,146.0284
2000-08-03,146.1803
2000-08-04,146.3028
2000-08-07,146.5084
2000-08-08,146.7222
2000-08-09,146.8209
2000-08-10,146.899
2000-08-11,146.9409
2000-08-14,146.9697
2000-08-15,147.0103
2000-08-16,147.0534
2000-08-17,147.1075
2000-08-18,147.1631
2000-08-21,147.2412
2000-08-22,147.3487
2000-08-23,147.4137
2000-08-24,147.4831
2000-08-25,147.545
2000-08-28,147.6484
2000-08-29,147.715
2000-08-30,147.7631
2000-08-31,147.8525
2000-09-01,147.99
2000-09-05,148.1281
2000-09-06,148.1947
2000-09-07,148.3084
2000-09-08,148.3934
2000-09-11,148.5015
2000-09-12,148.5659
2000-09-13,148.5981
2000-09-14,148.6984
2000-09-15,148.7034
2000-09-18,148.6347
2000-09-19,148.5972
2000-09-20,148.5319
2000-09-21,148.4031
2000-09-22,148.3131
2000-09-25,148.1731
2000-09-26,148.0012
2000-09-27,147.869
2000-09-28,147.7978
2000-09-29,147.6578
2000-10-02,147.5809
2000-10-03,147.494
2000-10-04,147.4215
2000-10-05,147.3878
2000-10-06,147.3015
2000-10-09,147.2597
2000-10-10,147.1534
2000-10-11,147.0065
2000-10-12,146.7772
2000-10-13,146.6165
2000-10-16,146.4528
2000-10-17,146.1853
2000-10-18,145.8965
2000-10-19,145.734
2000-10-20,145.5978
2000-10-23,145.4603
2000-10-24,145.2665
2000-10-25,145.0097
2000-10-26,144.7709
2000-10-27,144.5528
2000-10-30,144.3697
2000-10-31,144.2187
2000-11-01,144.0631
2000-11-02,143.9003
2000-11-03,143.7297
2000-11-06,143.5803
2000-11-07,143.42
2000-11-08,143.1953
2000-11-09,142.989
2000-11-10,142.6747
2000-11-13,142.3359
2000-11-14,142.0928
2000-11-15,141.8928
2000-11-16,141.6234
2000-11-17,141.36
2000-11-20,141.0619
2000-11-21,140.7994
2000-11-22,140.4644
2000-11-24,140.1684
2000-11-27,139.969
2000-11-28,139.7497
2000-11-29,139.499
2000-11-30,139.2469
2000-12-01,139.0375
2000-12-04,138.7987
2000-12-05,138.6681
2000-12-06,138.5303
2000-12-07,138.3403
2000-12-08,138.1197
2000-12-11,138.0197
2000-12-12,137.9034
2000-12-13,137.7762
2000-12-14,137.5906
2000-12-15,137.3262
2000-12-18,137.1594
2000-12-19,136.9597
2000-12-20,136.7309
2000-12-21,136.5428
2000-12-22,136.499
2000-12-26,136.3947
2000-12-27,136.2972
2000-12-28,136.2765
2000-12-29,136.2153
2001-01-02,136.005
2001-01-03,135.9069
2001-01-04,135.7663
2001-01-05,135.5584
2001-01-08,135.4362
2001-01-09,135.2984
2001-01-10,135.1548
2001-01-11,134.9902
2001-01-12,134.7711
2001-01-16,134.5777
2001-01-17,134.3937
2001-01-18,134.234
2001-01-19,134.0387
2001-01-22,133.8617
2001-01-23,133.7705
2001-01-24,133.6979
2001-01-25,133.6854
2001-01-26,133.6921
2001-01-29,133.6416
2001-01-30,133.6064
2001-01-31,133.5989
2001-02-01,133.624
2001-02-02,133.6263
2001-02-05,133.6348
2001-02-06,133.7
2001-02-07,133.6971
2001-02-08,133.6385
2001-02-09,133.6007
2001-02-12,133.6
2001-02-13,133.6004
2001-02-14,133.598
2001-02-15,133.5971
2001-02-16,133.4507
2001-02-20,133.3084
2001-02-21,133.1473
2001-02-22,132.9839
2001-02-23,132.7114
2001-02-26,132.5028
2001-02-27,132.308
2001-02-28,132.0999
2001-03-01,131.9725
2001-03-02,131.7901
2001-03-05,131.6838
2001-03-06,131.6808
2001-03-07,131.6783
2001-03-08,131.6016
2001-03-09,131.4227
2001-03-12,131.1184
2001-03-13,130.8441
2001-03-14,130.5743
2001-03-15,130.3523
2001-03-16,129.9523
2001-03-19,129.6303
2001-03-20,129.3303
2001-03-21,128.9723
2001-03-22,128.5983
2001-03-23,128.2463
2001-03-26,127.9183
2001-03-27,127.6443
2001-03-28,127.2883
2001-03-29,126.9283
2001-03-30,126.5663
2001-04-02,126.17
2001-04-03,125.68
2001-04-04,125.178
2001-04-05,124.752
2001-04-06,124.298
2001-04-09,123.872
2001-04-10,123.474
2001-04-11,123.052
2001-04-12,122.69
2001-04-16,122.284
2001-04-17,121.974
2001-04-18,121.738
2001-04-19,121.544
2001-04-20,121.34
2001-04-23,121.122
2001-04-24,120.918
2001-04-25,120.714
2001-04-26,120.542
2001-04-27,120.416
2001-04-30,120.248
2001-05-01,120.182
2001-05-02,120.15
2001-05-03,120.142
2001-05-04,120.172
2001-05-07,120.196
2001-05-08,120.168
2001-05-09,120.154
2001-05-10,120.194
2001-05-11,120.206
2001-05-14,120.242
2001-05-15,120.268
2001-05-16,120.326
2001-05-17,120.37
2001-05-18,120.422
2001-05-21,120.588
2001-05-22,120.856
2001-05-23,121.042
2001-05-24,121.28
2001-05-25,121.488
2001-05-29,121.73
2001-05-30,121.888
2001-05-31,122.124
2001-06-01,122.412
2001-06-04,122.736
2001-06-05,123.022
2001-06-06,123.258
2001-06-07,123.456
2001-06-08,123.696
2001-06-11,123.908
2001-06-12,124.092
2001-06-13,124.304
2001-06-14,124.536
2001-06-15,124.756
2001-06-18,124.88
2001-06-19,125.05
2001-06-20,125.206
2001-06-21,125.348
2001-06-22,125.472
2001-06-25,125.528
2001-06-26,125.608
2001-06-27,125.652
2001-06-28,125.616
2001-06-29,125.554
2001-07-02,125.546
2001-07-03,125.584
2001-07-05,125.586
2001-07-06,125.504
2001-07-09,125.424
2001-07-10,125.274
2001-07-11,125.144
2001-07-12,125.026
2001-07-13,124.934
2001-07-16,124.844
2001-07-17,124.734
2001-07-18,124.63
2001-07-19,124.548
2001-07-20,124.46
2001-07-23,124.32
2001-07-24,124.172
2001-07-25,124.046
2001-07-26,123.934
2001-07-27,123.77
2001-07-30,123.604
2001-07-31,123.438
2001-08-01,123.246
2001-08-02,123.068
2001-08-03,122.92
2001-08-06,122.734
2001-08-07,122.588
2001-08-08,122.416
2001-08-09,122.288
2001-08-10,122.154
2001-08-13,122.006
2001-08-14,121.846
2001-08-15,121.634
2001-08-16,121.454
2001-08-17,121.226
2001-08-20,121.0426
2001-08-21,120.8366
2001-08-22,120.6586
2001-08-23,120.4946
2001-08-24,120.4346
2001-08-27,120.3626
2001-08-28,120.2686
2001-08-29,120.1426
2001-08-30,119.9606
2001-08-31,119.7686
2001-09-04,119.5786
2001-09-05,119.4186
2001-09-06,119.2026
2001-09-07,118.9466
2001-09-10,118.7046
2001-09-17,118.3386
2001-09-18,117.9386
2001-09-19,117.4966
2001-09-20,117.0368
2001-09-21,116.6004
2001-09-24,116.2204
2001-09-25,115.8894
2001-09-26,115.5494
2001-09-27,115.1714
2001-09-28,114.8154
2001-10-01,114.4874
2001-10-02,114.1634
2001-10-03,113.8914
2001-10-04,113.5974
2001-10-05,113.3154
2001-10-08,113.0654
2001-10-09,112.8294
2001-10-10,112.6134
2001-10-11,112.4054
2001-10-12,112.1794
2001-10-15,111.9474
2001-10-16,111.7194
2001-10-17,111.4314
2001-10-18,111.1274
2001-10-19,110.8374
2001-10-22,110.6214
2001-10-23,110.3834
2001-10-24,110.1854
2001-10-25,110.0194
2001-10-26,109.8394
2001-10-29,109.6034
2001-10-30,109.3414
2001-10-31,109.0934
2001-11-01,108.8894
2001-11-02,108.7394
2001-11-05,108.5968
2001-11-06,108.5288
2001-11-07,108.4348
2001-11-08,108.3548
2001-11-09,108.2288
2001-11-12,108.1028
2001-11-13,108.0628
2001-11-14,108.0468
2001-11-15,108.0788
2001-11-16,108.0828
2001-11-19,108.1308
2001-11-20,108.1528
2001-11-21,108.2168
2001-11-23,108.3568
2001-11-26,108.4728
2001-11-27,108.6948
2001-11-28,108.8788
2001-11-29,109.1368
2001-11-30,109.4446
2001-12-03,109.767
2001-12-04,110.059
2001-12-05,110.372
2001-12-06,110.69
2001-12-07,110.976
2001-12-10,111.176
2001-12-11,111.374
2001-12-12,111.548
2001-12-13,111.642
2001-12-14,111.756
2001-12-17,111.898
2001-12-18,112.068
2001-12-19,112.264
2001-12-20,112.392
2001-12-21,112.492
2001-12-24,112.596
2001-12-26,112.718
2001-12-27,112.84
2001-12-28,113.006
2001-12-31,113.144
2002-01-02,113.306
2002-01-03,113.452
2002-01-04,113.626
2002-01-07,113.79
2002-01-08,113.908
2002-01-09,114.014
2002-01-10,114.186
2002-01-11,114.36
2002-01-14,114.528
2002-01-15,114.662
2002-01-16,114.732
2002-01-17,114.792
2002-01-18,114.807
2002-01-22,114.809
2002-01-23,114.821
2002-01-24,114.839
2002-01-25,114.871
2002-01-28,114.857
2002-01-29,114.769
2002-01-30,114.709
2002-01-31,114.685
2002-02-01,114.623
2002-02-04,114.525
2002-02-05,114.429
2002-02-06,114.289
2002-02-07,114.131
2002-02-08,114.025
2002-02-11,113.987
2002-02-12,113.911
2002-02-13,113.875
2002-02-14,113.849
2002-02-15,113.761
2002-02-19,113.5882
2002-02-20,113.4542
2002-02-21,113.2882
2002-02-22,113.1922
2002-02-25,113.1382
2002-02-26,113.0762
2002-02-27,113.0682
2002-02-28,113.0302
2002-03-01,113.0182
2002-03-04,113.0342
2002-03-05,113.0262
2002-03-06,113.0682
2002-03-07,113.0982
2002-03-08,113.1442
2002-03-11,113.1802
2002-03-12,113.2022
2002-03-13,113.2022
2002-03-14,113.2342
2002-03-15,113.2582
2002-03-18,113.2562
2002-03-19,113.2542
2002-03-20,113.2222
2002-03-21,113.1982
2002-03-22,113.1862
2002-03-25,113.1362
2002-03-26,113.1242
2002-03-27,113.1322
2002-03-28,113.1182
2002-04-01,113.1542
2002-04-02,113.1582
2002-04-03,113.1572
2002-04-04,113.1632
2002-04-05,113.1532
2002-04-08,113.1392
2002-04-09,113.1092
2002-04-10,113.0992
2002-04-11,113.1052
2002-04-12,113.0952
2002-04-15,113.0432
2002-04-16,113.0532
2002-04-17,113.1152
2002-04-18,113.1812
2002-04-19,113.2652
2002-04-22,113.3252
2002-04-23,113.3332
2002-04-24,113.2932
2002-04-25,113.2612
2002-04-26,113.1632
2002-04-29,113.0592
2002-04-30,112.9992
2002-05-01,113.008
2002-05-02,112.972
2002-05-03,112.958
2002-05-06,112.876
2002-05-07,112.748
2002-05-08,112.704
2002-05-09,112.626
2002-05-10,112.5164
2002-05-13,112.4004
2002-05-14,112.2884
2002-05-15,112.1764
2002-05-16,112.0484
2002-05-17,111.9364
2002-05-20,111.7904
2002-05-21,111.6204
2002-05-22,111.4544
2002-05-23,111.3364
2002-05-24,111.1924
2002-05-28,111.0204
2002-05-29,110.8324
2002-05-30,110.6224
2002-05-31,110.4624
2002-06-03,110.2444
2002-06-04,110.0364
2002-06-05,109.8764
2002-06-06,109.6604
2002-06-07,109.4344
2002-06-10,109.2184
2002-06-11,108.9664
2002-06-12,108.7404
2002-06-13,108.5104
2002-06-14,108.2844
2002-06-17,108.1124
2002-06-18,107.9544
2002-06-19,107.7624
2002-06-20,107.5184
2002-06-21,107.292
2002-06-24,107.06
2002-06-25,106.7992
2002-06-26,106.4896
2002-06-27,106.2182
2002-06-28,105.9474
2002-07-01,105.63
2002-07-02,105.3094
2002-07-03,105.0096
2002-07-05,104.8078
2002-07-08,104.5792
2002-07-09,104.3432
2002-07-10,104.0476
2002-07-11,103.747
2002-07-12,103.4
2002-07-15,103.0708
2002-07-16,102.73
2002-07-17,102.4348
2002-07-18,102.0888
2002-07-19,101.603
2002-07-22,101.091
2002-07-23,100.5756
2002-07-24,100.112
2002-07-25,99.588
2002-07-26,99.104
2002-07-29,98.6914
2002-07-30,98.2922
2002-07-31,97.9214
2002-08-01,97.523
2002-08-02,97.0808
2002-08-05,96.5542
2002-08-06,96.112
2002-08-07,95.712
2002-08-08,95.385
2002-08-09,95.0708
2002-08-12,94.7392
2002-08-13,94.4306
2002-08-14,94.183
2002-08-15,93.941
2002-08-16,93.7354
2002-08-19,93.5774
2002-08-20,93.3912
2002-08-21,93.2662
2002-08-22,93.1478
2002-08-23,93.0078
2002-08-26,92.885
2002-08-27,92.6862
2002-08-28,92.4282
2002-08-29,92.221
2002-08-30,92.0326
2002-09-03,91.8126
2002-09-04,91.6074
2002-09-05,91.4318
2002-09-06,91.2774
2002-09-09,91.102
2002-09-10,90.9568
2002-09-11,90.8388
2002-09-12,90.7284
2002-09-13,90.6116
2002-09-16,90.4232
2002-09-17,90.2184
2002-09-18,90.0454
2002-09-19,89.897
2002-09-20,89.7266
2002-09-23,89.5628
2002-09-24,89.3622
2002-09-25,89.238
2002-09-26,89.1378
2002-09-27,89.0368
2002-09-30,88.9784
2002-10-01,89.0488
2002-10-02,89.1128
2002-10-03,89.0646
2002-10-04,89.0006
2002-10-07,88.8712
2002-10-08,88.6832
2002-10-09,88.4264
2002-10-10,88.2158
2002-10-11,88.1234
2002-10-14,88.0802
2002-10-15,88.1788
2002-10-16,88.178
2002-10-17,88.1814
2002-10-18,88.1352
2002-10-21,88.1128
2002-10-22,88.0908
2002-10-23,88.1154
2002-10-24,88.0382
2002-10-25,87.9722
2002-10-28,87.9
2002-10-29,87.7634
2002-10-30,87.6642
2002-10-31,87.5196
2002-11-01,87.3914
2002-11-04,87.322
2002-11-05,87.2538
2002-11-06,87.2314
2002-11-07,87.2046
2002-11-08,87.1548
2002-11-11,87.0844
2002-11-12,87.098
2002-11-13,87.0882
2002-11-14,87.1272
2002-11-15,87.1552
2002-11-18,87.1516
2002-11-19,87.1248
2002-11-20,87.1496
2002-11-21,87.2424
2002-11-22,87.3174
2002-11-25,87.3892
2002-11-26,87.4666
2002-11-27,87.6132
2002-11-29,87.7988
2002-12-02,87.9944
2002-12-03,88.1786
2002-12-04,88.3814
2002-12-05,88.523
2002-12-06,88.649
2002-12-09,88.784
2002-12-10,88.9622
2002-12-11,89.0634
2002-12-12,89.2158
2002-12-13,89.3564
2002-12-16,89.5734
2002-12-17,89.8078
2002-12-18,89.9964
2002-12-19,90.2176
2002-12-20,90.4048
2002-12-23,90.522
2002-12-24,90.6166
2002-12-26,90.6304
2002-12-27,90.647
2002-12-30,90.6438
2002-12-31,90.6356
2003-01-02,90.6536
2003-01-03,90.6902
2003-01-06,90.7454
