date,RSI
2000-05-30,44.4444
2000-05-31,44.886
2000-06-01,48.343
2000-06-02,51.58
2000-06-05,50.6317
2000-06-06,49.7525
2000-06-07,51.1347
2000-06-08,50.3056
2000-06-09,49.8457
2000-06-12,47.3401
2000-06-13,51.4072
2000-06-14,51.7678
2000-06-15,52.2342
2000-06-16,49.7047
2000-06-19,52.6039
2000-06-20,51.7149
2000-06-21,51.6069
2000-06-22,47.8218
2000-06-23,45.855
2000-06-26,49.1307
2000-06-27,47.3811
2000-06-28,48.1141
2000-06-29,45.8393
2000-06-30,47.9017
2000-07-03,51.4595
2000-07-05,46.9748
2000-07-06,48.958
2000-07-07,52.827
2000-07-10,52.3811
2000-07-11,52.9041
2000-07-12,54.5336
2000-07-13,55.6282
2000-07-14,58.01
2000-07-17,57.4574
2000-07-18,54.7469
2000-07-19,52.2196
2000-07-20,55.8938
2000-07-21,50.1161
2000-07-24,48.5972
2000-07-25,49.4924
2000-07-26,46.8583
2000-07-27,45.9626
2000-07-28,40.6016
2000-07-31,42.5498
2000-08-01,44.403
2000-08-02,45.9116
2000-08-03,47.9789
2000-08-04,49.5643
2000-08-07,52.9455
2000-08-08,53.9891
2000-08-09,51.3262
2000-08-10,49.8383
2000-08-11,51.2609
2000-08-14,54.9301
2000-08-15,54.6414
2000-08-16,53.3864
2000-08-17,56.4813
2000-08-18,55.2457
2000-08-21,56.86
2000-08-22,56.2034
2000-08-23,57.4322
2000-08-24,58.4022
2000-08-25,58.216
2000-08-28,59.3415
2000-08-29,59.4112
2000-08-30,54.8088
2000-08-31,59.369
2000-09-01,59.7035
2000-09-05,55.9243
2000-09-06,51.121
2000-09-07,54.2073
2000-09-08,51.4547
2000-09-11,50.8777
2000-09-12,48.043
2000-09-13,49.1089
2000-09-14,51.1352
2000-09-15,42.4907
2000-09-18,39.8718
2000-09-19,43.4549
2000-09-20,41.3256
2000-09-21,37.3851
2000-09-22,44.0022
2000-09-25,42.1385
2000-09-26,39.0275
2000-09-27,40.8959
2000-09-28,45.2384
2000-09-29,42.7715
2000-10-02,43.2893
2000-10-03,40.8964
2000-10-04,43.787
2000-10-05,44.9797
2000-10-06,39.4703
2000-10-09,37.8127
2000-10-10,34.4938
2000-10-11,32.9707
2000-10-12,29.0
2000-10-13,39.0638
2000-10-16,40.318
2000-10-17,36.0252
2000-10-18,35.4474
2000-10-19,44.8719
2000-10-20,45.8479
2000-10-23,46.8898
2000-10-24,45.5073
2000-10-25,41.0485
2000-10-26,41.7352
2000-10-27,46.2908
2000-10-30,48.3399
2000-10-31,52.0694
2000-11-01,51.2898
2000-11-02,51.6584
2000-11-03,51.7864
2000-11-06,53.4475
2000-11-07,53.3871
2000-11-08,47.6015
2000-11-09,46.7133
2000-11-10,41.4889
2000-11-13,40.0193
2000-11-14,46.6847
2000-11-15,47.4397
2000-11-16,44.149
2000-11-17,43.0927
2000-11-20,40.3875
2000-11-21,41.7426
2000-11-22,37.519
2000-11-24,42.626
2000-11-27,44.7156
2000-11-28,41.5702
2000-11-29,41.2444
2000-11-30,39.7287
2000-12-01,39.6458
2000-12-04,41.9412
2000-12-05,49.7625
2000-12-06,46.4459
2000-12-07,43.8495
2000-12-08,44.3994
2000-12-11,51.8022
2000-12-12,50.8926
2000-12-13,48.0641
2000-12-14,45.6159
2000-12-15,41.2341
2000-12-18,44.1111
2000-12-19,40.8588
2000-12-20,36.8723
2000-12-21,38.3437
2000-12-22,44.2984
2000-12-26,46.3115
2000-12-27,47.6828
2000-12-28,48.266
2000-12-29,44.9774
2001-01-02,42.1275
2001-01-03,50.6714
2001-01-04,48.8353
2001-01-05,44.0219
2001-01-08,45.3407
2001-01-09,44.8954
2001-01-10,47.9876
2001-01-11,48.2534
2001-01-12,47.8672
2001-01-16,49.0128
2001-01-17,50.0242
2001-01-18,51.89
2001-01-19,50.6881
2001-01-22,52.0074
2001-01-23,53.6316
2001-01-24,54.2245
2001-01-25,53.5043
2001-01-26,53.3179
2001-01-29,54.4861
2001-01-30,56.4525
2001-01-31,54.7913
2001-02-01,56.3137
2001-02-02,50.1862
2001-02-05,51.9611
2001-02-06,51.1931
2001-02-07,49.8362
2001-02-08,46.8485
2001-02-09,44.5636
2001-02-12,47.8583
2001-02-13,45.8848
2001-02-14,45.5255
2001-02-15,48.0925
2001-02-16,42.9445
2001-02-20,39.8479
2001-02-21,36.0204
2001-02-22,36.4791
2001-02-23,35.41
2001-02-26,41.2956
2001-02-27,39.545
2001-02-28,36.3048
2001-03-01,37.6492
2001-03-02,36.3049
2001-03-05,38.8338
2001-03-06,41.9231
2001-03-07,43.8423
2001-03-08,44.0586
2001-03-09,38.3132
2001-03-12,32.0177
2001-03-13,35.9869
2001-03-14,33.4949
2001-03-15,33.4949
2001-03-16,30.7273
2001-03-19,35.6986
2001-03-20,32.432
2001-03-21,30.6775
2001-03-22,29.6125
2001-03-23,36.2166
2001-03-26,38.7092
2001-03-27,42.7465
2001-03-28,39.0258
2001-03-29,39.8606
2001-03-30,41.8714
2001-04-02,39.011
2001-04-03,35.1673
2001-04-04,36.0401
2001-04-05,42.8441
2001-04-06,40.8821
2001-04-09,42.871
2001-04-10,45.9622
