1954,Boys,6,Paul,687,number,Number of babies,
1954,Girls,32,Pauline,199,number,Number of babies,
1954,Girls,86,Paula,70,number,Number of babies,
1955,Boys,6,Paul,712,number,Number of babies,
1955,Girls,31,Pauline,185,number,Number of babies,
1955,Girls,84,Paula,73,number,Number of babies,
1956,Boys,5,Paul,728,number,Number of babies,
1956,Girls,33,Pauline,188,number,Number of babies,
1956,Girls,98,Paula,61,number,Number of babies,
1957,Boys,5,Paul,776,number,Number of babies,
1957,Girls,33,Pauline,195,number,Number of babies,
1957,Girls,98,Paula,69,number,Number of babies,
1958,Boys,6,Paul,803,number,Number of babies,
1958,Girls,37,Pauline,175,number,Number of babies,
1958,Girls,82,Paula,82,number,Number of babies,
1959,Boys,7,Paul,725,number,Number of babies,
1959,Girls,39,Pauline,170,number,Number of babies,
1959,Girls,92,Paula,73,number,Number of babies,
1960,Boys,7,Paul,746,number,Number of babies,
1960,Girls,49,Pauline,144,number,Number of babies,
1961,Boys,7,Paul,785,number,Number of babies,
1961,Girls,61,Pauline,127,number,Number of babies,
1962,Boys,7,Paul,809,number,Number of babies,
1962,Girls,63,Pauline,122,number,Number of babies,
1963,Boys,6,Paul,891,number,Number of babies,
1963,Girls,47,Pauline,156,number,Number of babies,
1963,Girls,68,Paula,116,number,Number of babies,
1964,Boys,5,Paul,900,number,Number of babies,
1964,Girls,59,Pauline,124,number,Number of babies,
1964,Girls,61,Paula,122,number,Number of babies,
1965,Boys,3,Paul,906,number,Number of babies,
1965,Girls,54,Paula,124,number,Number of babies,
1965,Girls,66,Pauline,100,number,Number of babies,
1966,Boys,3,Paul,947,number,Number of babies,
1966,Girls,45,Paula,151,number,Number of babies,
1966,Girls,70,Pauline,92,number,Number of babies,
1967,Boys,4,Paul,981,number,Number of babies,
1967,Girls,34,Paula,169,number,Number of babies,
1967,Girls,64,Pauline,101,number,Number of babies,
1968,Boys,4,Paul,959,number,Number of babies,
1968,Girls,24,Paula,236,number,Number of babies,
1968,Girls,71,Pauline,100,number,Number of babies,
1969,Boys,3,Paul,933,number,Number of babies,
1969,Girls,16,Paula,287,number,Number of babies,
1969,Girls,87,Pauline,76,number,Number of babies,
1970,Boys,5,Paul,879,number,Number of babies,
1970,Girls,15,Paula,289,number,Number of babies,
1970,Girls,98,Pauline,69,number,Number of babies,
1971,Boys,4,Paul,873,number,Number of babies,
1971,Girls,27,Paula,218,number,Number of babies,
1971,Girls,86,Pauline,81,number,Number of babies,
1972,Boys,5,Paul,753,number,Number of babies,
1972,Girls,23,Paula,220,number,Number of babies,
1973,Boys,6,Paul,682,number,Number of babies,
1973,Girls,24,Paula,219,number,Number of babies,
1974,Boys,6,Paul,664,number,Number of babies,
1974,Girls,30,Paula,186,number,Number of babies,
1975,Boys,8,Paul,549,number,Number of babies,
1975,Girls,26,Paula,184,number,Number of babies,
1976,Boys,8,Paul,519,number,Number of babies,
1976,Girls,27,Paula,161,number,Number of babies,
1977,Boys,9,Paul,456,number,Number of babies,
1977,Girls,37,Paula,121,number,Number of babies,
1978,Boys,10,Paul,423,number,Number of babies,
1978,Girls,58,Paula,89,number,Number of babies,
1979,Boys,10,Paul,414,number,Number of babies,
1979,Girls,47,Paula,101,number,Number of babies,
1980,Boys,9,Paul,424,number,Number of babies,
1980,Girls,75,Paula,68,number,Number of babies,
1981,Boys,13,Paul,361,number,Number of babies,
1981,Girls,74,Paula,67,number,Number of babies,
1982,Boys,16,Paul,309,number,Number of babies,
1982,Girls,85,Paula,56,number,Number of babies,
1983,Boys,18,Paul,294,number,Number of babies,
1984,Boys,20,Paul,274,number,Number of babies,
1984,Girls,93,Paula,55,number,Number of babies,
1985,Boys,23,Paul,248,number,Number of babies,
1986,Boys,27,Paul,227,number,Number of babies,
1987,Boys,25,Paul,235,number,Number of babies,
1988,Boys,32,Paul,188,number,Number of babies,
1989,Boys,35,Paul,191,number,Number of babies,
1990,Boys,48,Paul,124,number,Number of babies,
1991,Boys,50,Paul,128,number,Number of babies,
1992,Boys,53,Paul,111,number,Number of babies,
1993,Boys,74,Paul,84,number,Number of babies,
1994,Boys,77,Paul,75,number,Number of babies,
1995,Boys,89,Paul,63,number,Number of babies,
1996,Boys,79,Paul,66,number,Number of babies,
1998,Boys,86,Paul,57,number,Number of babies,
