Serovar,O_antigen,H1,H2,H_other,Serogroup,can_h2_be_missing,subspecies
Mons,"1,4,12,27",d,"l,w",,B,FALSE,enterica
Chennai,"4,12",d,z35,,B,FALSE,enterica
Ayinde,"1,4,12,27",d,z6,,B,FALSE,enterica
Saintpaul,"1,4,[5],12","e,h","1,2",,B,FALSE,enterica
Reading,"1,4,[5],12","e,h","1,5",,B,FALSE,enterica
Eko,"4,12","e,h","1,6",,B,FALSE,enterica
Kaapstad,"4,12","e,h","1,7",,B,FALSE,enterica
Chester,"1,4,[5],12","e,h","e,n,x",,B,FALSE,enterica
Sandiego,"1,4,[5],12","e,h","e,n,z15",,B,FALSE,enterica
Chartres,"1,4,12","e,h","l,w",,B,FALSE,enterica
"II 4,12:e,n,x:1,2,7","4,12","e,n,x","1,2,7",,B,FALSE,salamae
"II 4:e,n,x:1,5,7","1,4,12,[27]","e,n,x","1,5,7",,B,FALSE,salamae
Derby,"1,4,[5],12","f,g","1,2",,B,TRUE,enterica
Agona,"1,4,[5],12","f,g,s","1,2","[z27],[z45]",B,TRUE,enterica
"II 1,4,[5],12:f,g,t:z6","1,4,[5],12","f,g,t",z6,,B,FALSE,salamae
"II 1,4,12,[27]:g,[m],[s],t:e,n,x","1,4,12,[27]","g,[m],[s],t","e,n,x",,B,FALSE,salamae
"II 1,4,12,[27]:g,[m],t:[1,5]","1,4,12,[27]","g,[m],t","1,5",,B,TRUE,salamae
"II 4:g,m,t:1,5","1,4,12,[27]","g,[m],t","1,5",,B,TRUE,salamae
Essen,"4,12","g,m",-,,B,TRUE,enterica
Hato,"1,4,[5],12","g,m,s","1,2",,B,TRUE,enterica
"II 4,12:g,m,t:z39","4,12","g,m,t",z39,,B,FALSE,salamae
California,"4,12","g,m,t",z67,,B,TRUE,enterica
Kingston,"1,4,[5],12,[27]","g,s,t","1,2",[z43],B,TRUE,enterica
Budapest,"1,4,12,[27]","g,t",-,,B,TRUE,enterica
Travis,"4,[5],12","g,z51","1,7",,B,FALSE,enterica
Tennyson,"4,[5],12","g,z51","e,n,z15",,B,FALSE,enterica
"I 1,4,[5],12:i:-","1,4,[5],12",i,-,,B,TRUE,enterica
Typhimurium,"1,4,[5],12",i,"1,2",,B,FALSE,enterica
Lagos,"1,4,[5],12",i,"1,5",,B,FALSE,enterica
Agama,"4,12",i,"1,6",,B,FALSE,enterica
Farsta,"4,12",i,"e,n,x",,B,FALSE,enterica
Tsevie,"1,4,12",i,"e,n,z15",,B,FALSE,enterica
Gloucester,"1,4,12,27",i,"l,w",,B,FALSE,enterica
"II 4,12,27:i:z35","4,12,27",i,z35,,B,FALSE,salamae
Tumodi,"1,4,12",i,z6,,B,FALSE,enterica
Massenya,"1,4,12,27",k,"1,5",,B,FALSE,enterica
"II 1,4,12,27:k:1,6","1,4,12,27",k,"1,6",,B,FALSE,salamae
Neumuenster,"1,4,12,27",k,"1,6",,B,FALSE,enterica
Ljubljana,"4,12,27",k,"e,n,x",,B,FALSE,enterica
Texas,"4,[5],12",k,"e,n,z15",,B,FALSE,enterica
Kunduchi,"1,4,[5],12,[27]","l,[z13],[z28]","1,2",,B,FALSE,enterica
Tyresoe,"1,4,12,[27]","l,[z13],z28","1,5",,B,FALSE,enterica
Fyris,"4,[5],12","l,v","1,2",,B,FALSE,enterica
Azteca,"4,[5],12,[27]","l,v","1,5",,B,FALSE,enterica
Clackamas,"4,12","l,v","1,6",,B,FALSE,enterica
Bredeney,"1,4,12,27","l,v","1,7",[z40],B,FALSE,enterica
"II 1,4,12,27:l,v:e,n,x","1,4,12,27","l,v","e,n,x",,B,FALSE,salamae
Kimuenza,"1,4,12,27","l,v","e,n,x",,B,FALSE,enterica
Brandenburg,"4,[5],12","l,v","e,n,z15",,B,FALSE,enterica
"II 1,4,12,27:l,v:z39","1,4,12,27","l,v",z39,,B,FALSE,salamae
Mono,"4,12","l,w","1,5",,B,FALSE,enterica
Togo,"4,12","l,w","1,6",,B,FALSE,enterica
"II 4,12:l,w:e,n,x","4,12","l,w","e,n,x",,B,FALSE,salamae
"II 4:l,w:e,n,x","4,12","l,w","e,n,x",,B,FALSE,salamae
Blancmesnil,"4,12","l,w","e,n,z15",,B,FALSE,enterica
Ayton,"1,4,12,27","l,w",z6,,B,FALSE,enterica
Haduna,"4,12","l,z13,[z28]","1,6",,B,FALSE,enterica
Kubacha,"1,4,12,27","l,z13,z28","1,7",,B,FALSE,enterica
Kano,"1,4,12,27","l,z13,z28","e,n,x",,B,FALSE,enterica
Vom,"1,4,12,27","l,z13,z28","e,n,z15",,B,FALSE,enterica
"II 1,4,12:l,z28:[e,n,x]","1,4,12","l,z28","e,n,x",,B,TRUE,salamae
Reinickendorf,"4,12","l,z28","e,n,x",,B,FALSE,enterica
Banana,"1,4,[5],12","m,t","1,5",,B,TRUE,enterica
Madras,"4,[5],12","m,t","e,n,z15",,B,FALSE,enterica
"I 1,4,[5],12:r:-","1,4,[5],12",r,-,,B,TRUE,enterica
Heidelberg,"1,4,[5],12",r,"1,2",,B,FALSE,enterica
Bradford,"4,12,[27]",r,"1,5",,B,FALSE,enterica
Winneba,"4,12",r,"1,6",,B,FALSE,enterica
Remo,"1,4,12,27",r,"1,7",,B,FALSE,enterica
Bochum,"1,4,[5],12",r,"l,w",,B,FALSE,enterica
Southampton,"4,12,27",r,z6,,B,FALSE,enterica
Drogana,"1,4,12,27","r,[i]","e,n,z15",,B,FALSE,enterica
Africana,"4,12","r,i","l,w",,B,FALSE,enterica
Coeln,"1,4,[5],12",y,"1,2",,B,FALSE,enterica
Trachau,"4,12,27",y,"1,5",,B,FALSE,enterica
Finaghy,"4,12",y,"1,6",,B,FALSE,enterica
Teddington,"1,4,12,27",y,"1,7",,B,FALSE,enterica
Ball,"1,4,[5],12,[27]",y,"e,n,x",,B,FALSE,enterica
Jos,"1,4,12,27",y,"e,n,z15",,B,FALSE,enterica
Kamoru,"1,4,12,27",y,z6,,B,FALSE,enterica
Shubra,"4,[5],12",z,"1,2",,B,FALSE,enterica
"II 1,4,12,27:z:1,5","1,4,12,27",z,"1,5",,B,FALSE,salamae
Kiambu,"1,4,12",z,"1,5",,B,FALSE,enterica
Loubomo,"4,12",z,"1,6",,B,FALSE,enterica
"II 4,12:z:1,7","4,12",z,"1,7",,B,FALSE,salamae
Indiana,"1,4,12",z,"1,7",,B,FALSE,enterica
"II 1,4,12,27:z:e,n,x","1,4,12,27",z,"e,n,x",,B,FALSE,salamae
Neftenbach,"4,12",z,"e,n,x",,B,FALSE,enterica
Koenigstuhl,"1,4,[5],12",z,"e,n,z15",,B,FALSE,enterica
Preston,"1,4,12",z,"l,w",,B,FALSE,enterica
"II 4,12:z:z39","4,12",z,z39,,B,FALSE,salamae
Entebbe,"1,4,12,27",z,z6,,B,FALSE,enterica
Haifa,"1,4,[5],12",z10,"1,2",,B,FALSE,enterica
Ituri,"1,4,12",z10,"1,5",,B,FALSE,enterica
Tudu,"4,12",z10,"1,6",,B,FALSE,enterica
Albert,"4,12",z10,"e,n,x",,B,FALSE,enterica
Tokoin,"4,12",z10,"e,n,z15",,B,FALSE,enterica
Mura,"1,4,12",z10,"l,w",,B,FALSE,enterica
Vellore,"1,4,12,27",z10,z35,,B,FALSE,enterica
Fortune,"1,4,12,[27]",z10,z6,,B,FALSE,enterica
Brancaster,"1,4,12,27",z29,-,,B,TRUE,enterica
"II 1,4,12:z29:e,n,x","1,4,12",z29,"e,n,x",,B,FALSE,salamae
Pasing,"4,12",z35,"1,5",,B,FALSE,enterica
Tafo,"1,4,12,27",z35,"1,7",,B,FALSE,enterica
Yaounde,"1,4,12,27",z35,"e,n,z15",,B,FALSE,enterica
Sloterdijk,"1,4,12,27",z35,z6,,B,FALSE,enterica
Tejas,"4,12",z36,-,,B,TRUE,enterica
Wilhelmsburg,"1,4,[5],12,[27]",z38,"e,n,z15",,B,TRUE,enterica
"II 1,4,12,[27]:z39:1,[5],7","1,4,12,[27]",z39,"1,5,7",,B,FALSE,salamae
Stanleyville,"1,4,[5],12,[27]","z4,z23","1,2",,B,TRUE,enterica
Vuadens,"4,12,27","z4,z23",z6,,B,FALSE,enterica
Kalamu,"1,4,[5],12","z4,z24","1,5",,B,TRUE,enterica
Thayngen,"1,4,12,27",z41,"1,(2),5",,B,FALSE,enterica
Maska,"1,4,12,27",z41,"e,n,z15",,B,FALSE,enterica
Mygdal,"4,12",z91,-,,B,TRUE,enterica
"II 6,7:(g),m,[s],t:1,5","6,7","(g),m,[s],t","1,5",,C1,FALSE,salamae
"IIIb 6,7:(k):z:[z55]","6,7",(k),z,[z55],C1,FALSE,diarizonae
"II 6,7,14:a:1,5","6,7,14",a,"1,5",,C1,FALSE,salamae
"II 7:a:1,5","6,7,14",a,"1,5",,C1,FALSE,salamae
Sanjuan,"6,7",a,"1,5",,C1,FALSE,enterica
Umhlali,"6,7",a,"1,6",,C1,FALSE,enterica
Austin,"6,7",a,"1,7",,C1,FALSE,enterica
Oslo,"6,7,14",a,"e,n,x",,C1,FALSE,enterica
Denver,"6,7",a,"e,n,z15",,C1,FALSE,enterica
Coleypark,"6,7,14",a,"l,w",,C1,FALSE,enterica
"II 6,7:a:z42","6,7",a,z42,,C1,FALSE,salamae
Damman,"6,7,14",a,z6,,C1,FALSE,enterica
"II 6,7:a:z6","6,7",a,z6,,C1,FALSE,salamae
Brazzaville,"6,7",b,"1,2",,C1,FALSE,enterica
Edinburg,"6,7,14",b,"1,5",,C1,FALSE,enterica
Adime,"6,7",b,"1,6",,C1,FALSE,enterica
Koumra,"6,7",b,"1,7",,C1,FALSE,enterica
"II 6,7:b:[e,n,x]:z42","6,7",b,"e,n,x",z42,C1,TRUE,salamae
Lockleaze,"6,7,14",b,"e,n,x",,C1,FALSE,enterica
Georgia,"6,7",b,"e,n,z15",,C1,FALSE,enterica
Ohio,"6,7,14",b,"l,w",[z59],C1,FALSE,enterica
Kotte,"6,7",b,z35,,C1,FALSE,enterica
"II 6,7:b:z39","6,7",b,z39,,C1,FALSE,salamae
Leopoldville,"6,7,14",b,z6,,C1,FALSE,enterica
Hissar,"6,7,14",c,"1,2",,C1,FALSE,enterica
Choleraesuis,"6,7",c,"1,5",,C1,FALSE,enterica
Paratyphi C,"6,7,[Vi]",c,"1,5",,C1,FALSE,enterica
Typhisuis,"6,7",c,"1,5",,C1,FALSE,enterica
Birkenhead,"6,7",c,"1,6",,C1,FALSE,enterica
Schwabach,"6,7",c,"1,7",,C1,FALSE,enterica
Namibia,"6,7",c,"e,n,x",,C1,FALSE,enterica
Kaduna,"6,7,14",c,"e,n,z15",,C1,FALSE,enterica
Cotonou,"6,7",c,z6,,C1,FALSE,enterica
Kisii,"6,7",d,"1,2",,C1,FALSE,enterica
Kambole,"6,7",d,"1,2,7",,C1,FALSE,enterica
Isangi,"6,7,14",d,"1,5",,C1,FALSE,enterica
Kivu,"6,7",d,"1,6",,C1,FALSE,enterica
Amersfoort,"6,7,14",d,"e,n,x",,C1,FALSE,enterica
Gombe,"6,7,14",d,"e,n,z15",,C1,FALSE,enterica
Livingstone,"6,7,14",d,"l,w",,C1,FALSE,enterica
Wil,"6,7",d,"l,z13,z28",,C1,FALSE,enterica
"II 6,7:d:z42","6,7",d,z42,,C1,FALSE,salamae
Nieukerk,"6,7,14",d,z6,,C1,FALSE,enterica
Larochelle,"6,7","e,h","1,2",,C1,FALSE,enterica
Lomita,"6,7","e,h","1,5",,C1,FALSE,enterica
Norwich,"6,7","e,h","1,6",,C1,FALSE,enterica
Nola,"6,7","e,h","1,7",,C1,FALSE,enterica
Braenderup,"6,7,14","e,h","e,n,z15",,C1,FALSE,enterica
"II 6,7:e,n,x:1,6:z42","6,7","e,n,x","1,6",z42,C1,FALSE,salamae
Kastrup,"6,7","e,n,z15","1,6",,C1,FALSE,enterica
Rissen,"6,7,14","f,g",-,,C1,TRUE,enterica
Eingedi,"6,7","f,g,t","1,2,7",,C1,FALSE,enterica
Afula,"6,7","f,g,t","e,n,x",,C1,FALSE,enterica
Riggil,"6,7","g,(t)",-,,C1,TRUE,enterica
"II 6,7:g,[m],s,t:[z42]","6,7","g,[m],s,t",z42,,C1,TRUE,salamae
Montevideo,"6,7,14,[54]","g,m,[p],s","1,2,7",,C1,TRUE,enterica
"II 6,7:g,m,[s],t:e,n,x","6,7","g,m,[s],t","e,n,x",,C1,FALSE,salamae
"II 7:g,m,t:-","6,7","g,m,[t]",-,,C1,TRUE,salamae
Othmarschen,"6,7,14","g,m,[t]",-,,C1,TRUE,enterica
Lubbock,"6,7","g,m,s","e,n,z15",,C1,FALSE,enterica
"II 6,7:g,m,s,t:z39","6,7","g,m,s,t",z39,,C1,FALSE,salamae
Menston,"6,7","g,s,[t]","1,6",,C1,TRUE,enterica
Plumaugat,"6,7","g,s,q",-,,C1,TRUE,enterica
"II 6,7:g,t:[e,n,x]:z42","6,7","g,t","e,n,x",z42,C1,TRUE,salamae
"IIIa 7:g,z51:-","6,7","g,z51",-,,C1,TRUE,arizonae
"IV 6,7:g,z51:-","6,7","g,z51",-,,C1,TRUE,houtenae
Alamo,"6,7","g,z51","1,5",,C1,FALSE,enterica
"IIIa 7:g,z51:1,5","6,7","g,z51","1,5",,C1,FALSE,arizonae
Larose,"6,7","g,z51","e,n,z15",,C1,FALSE,enterica
Augustenborg,"6,7,14",i,"1,2",,C1,FALSE,enterica
Oritamerin,"6,7",i,"1,5",,C1,FALSE,enterica
Garoli,"6,7",i,"1,6",,C1,FALSE,enterica
Lika,"6,7",i,"1,7",,C1,FALSE,enterica
Athinai,"6,7",i,"e,n,z15",,C1,FALSE,enterica
Norton,"6,7",i,"l,w",,C1,FALSE,enterica
Stuttgart,"6,7,14",i,z6,,C1,FALSE,enterica
Galiema,"6,7,14",k,"1,2",,C1,FALSE,enterica
Thompson,"6,7,14",k,"1,5",,C1,FALSE,enterica
Daytona,"6,7",k,"1,6",,C1,FALSE,enterica
Baiboukoum,"6,7",k,"1,7",,C1,FALSE,enterica
Singapore,"6,7",k,"e,n,x",,C1,FALSE,enterica
Escanaba,"6,7",k,"e,n,z15",,C1,FALSE,enterica
"II 6,7:k:[z6]","6,7",k,z6,,C1,TRUE,salamae
Concord,"6,7","l,v","1,2",,C1,FALSE,enterica
Irumu,"6,7","l,v","1,5",,C1,FALSE,enterica
"IIIb 6,7:l,v:1,5,7","6,7","l,v","1,5,7",,C1,FALSE,diarizonae
Mkamba,"6,7","l,v","1,6",,C1,FALSE,enterica
Kortrijk,"6,7","l,v","1,7",,C1,FALSE,enterica
Bonn,"6,7","l,v","e,n,x",,C1,FALSE,enterica
Potsdam,"6,7,14","l,v","e,n,z15",,C1,FALSE,enterica
Coromandel,"6,7","l,v",z35,,C1,FALSE,enterica
"IIIb 6,7:l,v:z53","6,7","l,v",z53,,C1,FALSE,diarizonae
"IIIb 7:l,v:z53","6,7","l,v",z53,,C1,FALSE,diarizonae
Gdansk,"6,7,14","l,v",z6,,C1,FALSE,enterica
Gabon,"6,7","l,w","1,2",,C1,FALSE,enterica
Colorado,"6,7","l,w","1,5",,C1,FALSE,enterica
"II 6,7:l,w:1,5,7","6,7","l,w","1,5,7",,C1,FALSE,salamae
Langeveld,"6,7","l,w","e,n,z15",,C1,FALSE,enterica
"II 6,7:l,w:z42","6,7","l,w",z42,,C1,FALSE,salamae
Nessziona,"6,7","l,z13","1,5",,C1,FALSE,enterica
Kenya,"6,7","l,z13","e,n,x",,C1,FALSE,enterica
Neukoelln,"6,7","l,z13,[z28]","e,n,z15",,C1,FALSE,enterica
Strathcona,"6,7","l,z13,z28","1,7",,C1,FALSE,enterica
Makiso,"6,7","l,z13,z28",z6,,C1,FALSE,enterica
"II 6,7:l,z28:1,5:[z42]","6,7","l,z28","1,5",[z42],C1,FALSE,salamae
"II 6,7:l,z28:e,n,x","6,7","l,z28","e,n,x",,C1,FALSE,salamae
"II 6,7:l,z28:z6","6,7","l,z28",z6,,C1,FALSE,salamae
Haelsingborg,"6,7","m,p,t,[u]",-,,C1,TRUE,enterica
"II 6,7:m,t:-","6,7","m,t",-,,C1,TRUE,salamae
Winston,"6,7","m,t","1,6",,C1,FALSE,enterica
Oranienburg,"6,7,14","m,t",z57,,C1,TRUE,enterica
Oakey,"6,7","m,t",z64,,C1,FALSE,enterica
Virchow,"6,7,14",r,"1,2",,C1,FALSE,enterica
Infantis,"6,7,14",r,"1,5",,C1,FALSE,enterica
Nigeria,"6,7",r,"1,6",,C1,FALSE,enterica
Colindale,"6,7",r,"1,7",,C1,FALSE,enterica
Papuana,"6,7",r,"e,n,z15",,C1,FALSE,enterica
Grampian,"6,7",r,"l,w",,C1,FALSE,enterica
Richmond,"6,7",y,"1,2",,C1,FALSE,enterica
Bareilly,"6,7,14",y,"1,5",,C1,FALSE,enterica
Oyonnax,"6,7",y,"1,6",,C1,FALSE,enterica
Gatow,"6,7",y,"1,7",,C1,FALSE,enterica
Hartford,"6,7",y,"e,n,x",[z67],C1,FALSE,enterica
Mikawasima,"6,7,14",y,"e,n,z15","[z47],[z50]",C1,FALSE,enterica
Chile,"6,7",z,"1,2",,C1,FALSE,enterica
"II 6,7:z:1,5","6,7",z,"1,5",,C1,FALSE,salamae
Poitiers,"6,7",z,"1,5",,C1,FALSE,enterica
Oakland,"6,7",z,"1,6,7",,C1,FALSE,enterica
Cayar,"6,7",z,"e,n,x",,C1,FALSE,enterica
"II 6,7:z:e,n,x","6,7",z,"e,n,x",,C1,FALSE,salamae
Businga,"6,7",z,"e,n,z15",,C1,FALSE,enterica
Bruck,"6,7",z,"l,w",,C1,FALSE,enterica
"II 6,7:z:z39","6,7",z,z39,,C1,FALSE,salamae
"II 6,7:z:z42","6,7",z,z42,,C1,FALSE,salamae
"II 6,7:z:z6","6,7",z,z6,,C1,FALSE,salamae
Menden,"6,7",z10,"1,2",,C1,FALSE,enterica
Inganda,"6,7",z10,"1,5",,C1,FALSE,enterica
Eschweiler,"6,7",z10,"1,6",,C1,FALSE,enterica
Ngili,"6,7",z10,"1,7",,C1,FALSE,enterica
Djugu,"6,7",z10,"e,n,x",,C1,FALSE,enterica
Mbandaka,"6,7,14",z10,"e,n,z15","[z37],[z45]",C1,FALSE,enterica
Jerusalem,"6,7,14",z10,"l,w",,C1,FALSE,enterica
Omuna,"6,7",z10,z35,,C1,FALSE,enterica
Redba,"6,7",z10,z6,,C1,FALSE,enterica
Tennessee,"6,7,14",z29,"1,2,7",,C1,TRUE,enterica
"II 6,7:z29:[z42]","6,7",z29,z42,,C1,TRUE,salamae
Tienba,"6,7",z35,"1,6",,C1,FALSE,enterica
Palime,"6,7",z35,"e,n,z15",,C1,FALSE,enterica
"IV 6,7:z36:-","6,7",z36,-,,C1,TRUE,houtenae
IV 7:z36:-,"6,7",z36,-,,C1,TRUE,houtenae
Tampico,"6,7",z36,"e,n,z15",,C1,FALSE,enterica
"II 6,7:z36:z42","6,7",z36,z42,,C1,FALSE,salamae
Lille,"6,7,14",z38,-,[z82],C1,TRUE,enterica
Rumford,"6,7",z38,"1,2",[z82],C1,FALSE,enterica
"IIIb 6,7,14:z39:1,2","6,7,14",z39,"1,2",,C1,FALSE,diarizonae
"IIIb 7:z39:1,2","6,7,14",z39,"1,2",,C1,FALSE,diarizonae
"II 6,7:z39:1,5,7","6,7",z39,"1,5,7",,C1,FALSE,salamae
"II 6,7:z4,z23:-","6,7","z4,z23",-,,C1,TRUE,salamae
"IV 6,7:z4,z23:-","6,7","z4,z23",-,,C1,TRUE,houtenae
"IV 7:z4,z23:-","6,7","z4,z23",-,,C1,TRUE,houtenae
Obogu,"6,7","z4,z23","1,5",,C1,FALSE,enterica
Planckendael,"6,7","z4,z23","1,6",,C1,FALSE,enterica
Aequatoria,"6,7","z4,z23","e,n,z15",,C1,FALSE,enterica
Goma,"6,7","z4,z23",z6,,C1,FALSE,enterica
"IV 6,7:z4,z24:-","6,7","z4,z24",-,,C1,TRUE,houtenae
Somone,"6,7","z4,z24",-,,C1,TRUE,enterica
"II 6,7:z4,z24:z42","6,7","z4,z24",z42,,C1,FALSE,salamae
"VI 6,7:z41:1,7","6,7",z41,"1,7",,C1,FALSE,indica
Hillsborough,"6,7",z41,"l,w",,C1,FALSE,enterica
Tamilnadu,"6,7",z41,z35,,C1,FALSE,enterica
"II 6,7:z42:1,[5],7","6,7",z42,"1,5,7",,C1,FALSE,salamae
Bulovka,"6,7",z44,-,,C1,TRUE,enterica
"II 6,7:z6:1,7","6,7",z6,"1,7",,C1,FALSE,salamae
IIIb 8:(k):z35,8,(k),z35,,C2-C3,FALSE,diarizonae
Valdosta,"6,8",a,"1,2",,C2-C3,FALSE,enterica
Doncaster,"6,8",a,"1,5",,C2-C3,FALSE,enterica
Curacao,"6,8",a,"1,6",,C2-C3,FALSE,enterica
Nordufer,"6,8",a,"1,7",,C2-C3,FALSE,enterica
"II 6,8:a:e,n,x","6,8",a,"e,n,x",,C2-C3,FALSE,salamae
Narashino,"6,8",a,"e,n,x",,C2-C3,FALSE,enterica
Leith,"6,8",a,"e,n,z15",,C2-C3,FALSE,enterica
"II 6,8:a:z39","6,8",a,z39,,C2-C3,FALSE,salamae
"II 6,8:a:z52","6,8",a,z52,,C2-C3,FALSE,salamae
Be,"8,20",a,z6,,C2-C3,TRUE,enterica
Djelfa,8,b,"1,2",,C2-C3,FALSE,enterica
Skansen,"6,8",b,"1,2",,C2-C3,FALSE,enterica
"II 6,8:b:1,5","6,8",b,"1,5",,C2-C3,FALSE,salamae
Korbol,"8,20",b,"1,5",,C2-C3,FALSE,enterica
Nagoya,"6,8",b,"1,5",,C2-C3,FALSE,enterica
Stourbridge,"6,8",b,"1,6",,C2-C3,FALSE,enterica
Eboko,"6,8",b,"1,7",,C2-C3,FALSE,enterica
Sanga,8,b,"1,7",,C2-C3,FALSE,enterica
Gatuni,"6,8",b,"e,n,x",,C2-C3,FALSE,enterica
Konstanz,8,b,"e,n,x",,C2-C3,FALSE,enterica
Presov,"6,8",b,"e,n,z15",,C2-C3,FALSE,enterica
Shipley,"8,20",b,"e,n,z15",,C2-C3,FALSE,enterica
Bukuru,"6,8",b,"l,w",,C2-C3,FALSE,enterica
Heistopdenberg,"8,20",b,"l,w",,C2-C3,FALSE,enterica
Banalia,"6,8",b,z6,,C2-C3,FALSE,enterica
Tounouma,"8,20",b,z6,,C2-C3,FALSE,enterica
Wingrove,"6,8",c,"1,2",,C2-C3,FALSE,enterica
Gaillac,"8,20",c,"1,5",,C2-C3,FALSE,enterica
Utah,"6,8",c,"1,5",,C2-C3,FALSE,enterica
Bronx,"6,8",c,"1,6",,C2-C3,FALSE,enterica
Belfast,"6,8",c,"1,7",,C2-C3,FALSE,enterica
Belem,"6,8",c,"e,n,x",,C2-C3,FALSE,enterica
Santiago,"8,20",c,"e,n,x",,C2-C3,FALSE,enterica
Quiniela,"6,8",c,"e,n,z15",,C2-C3,FALSE,enterica
Alexanderpolder,8,c,"l,w",,C2-C3,FALSE,enterica
Tado,"8,20",c,z6,,C2-C3,FALSE,enterica
Muenchen,"6,8",d,"1,2",[z67],C2-C3,FALSE,enterica
Virginia,8,d,"1,2",,C2-C3,FALSE,enterica
Manhattan,"6,8",d,"1,5",[z58],C2-C3,FALSE,enterica
Yovokome,"8,20",d,"1,5",,C2-C3,FALSE,enterica
Dunkwa,"6,8",d,"1,7",,C2-C3,FALSE,enterica
Portanigra,"8,20",d,"1,7",,C2-C3,FALSE,enterica
Sterrenbos,"6,8",d,"e,n,x",,C2-C3,FALSE,enterica
Herston,"6,8",d,"e,n,z15",,C2-C3,FALSE,enterica
II 8:d:z6,"6,8",d,z6,,C2-C3,FALSE,salamae
Labadi,"8,20",d,z6,,C2-C3,FALSE,enterica
Newport,"6,8,20","e,h","1,2","[z67],[z78]",C2-C3,FALSE,enterica
Bardo,8,"e,h","1,2",,C2-C3,FALSE,enterica
Ferruch,8,"e,h","1,5",,C2-C3,FALSE,enterica
Kottbus,"6,8","e,h","1,5",,C2-C3,FALSE,enterica
Cremieu,"6,8","e,h","1,6",,C2-C3,FALSE,enterica
Atakpame,"8,20","e,h","1,7",,C2-C3,FALSE,enterica
Fillmore,"6,8","e,h","e,n,x",,C2-C3,FALSE,enterica
Tshiongwe,"6,8","e,h","e,n,z15",,C2-C3,FALSE,enterica
Rechovot,"8,20","e,h",z6,,C2-C3,FALSE,enterica
Sandow,"6,8","f,g","e,n,z15",,C2-C3,FALSE,enterica
