Serovar,O_antigen,H1,H2,H_other,Serogroup,can_h2_be_missing,subspecies
Paratyphi A,"1,2,12",a,"1,5",,A,TRUE,enterica
Nitra,"2,12","g,m",-,,A,TRUE,enterica
Kiel,"1,2,12","g,p",-,,A,TRUE,enterica
Koessen,"2,12","l,v","1,5",,A,FALSE,enterica
Abortusequi,"4,12",-,"e,n,x",,B,FALSE,enterica
Fulica,"4,[5],12",a,-,,B,TRUE,enterica
Kisangani,"1,4,[5],12",a,"1,2",,B,FALSE,enterica
Hessarek,"4,12,[27]",a,"1,5",,B,FALSE,enterica
Arechavaleta,"4,[5],12",a,"1,7",,B,FALSE,enterica
Bispebjerg,"1,4,[5],12",a,"e,n,x",,B,FALSE,enterica
"II 1,4,[5],12,[27]:a:e,n,x","1,4,[5],12,[27]",a,"e,n,x",,B,FALSE,salamae
Tinda,"1,4,12,27",a,"e,n,z15",,B,FALSE,enterica
Huettwilen,"1,4,12",a,"l,w",,B,FALSE,enterica
"II 1,4,12,[27]:a:z39","1,4,12,[27]",a,z39,,B,FALSE,salamae
II 4:a:z39,"1,4,12,[27]",a,z39,,B,FALSE,salamae
Nakuru,"1,4,12,27",a,z6,,B,FALSE,enterica
"I 1,4,[5],12:b:-","1,4,[5],12",b,-,,B,TRUE,enterica
"II 1,4,12,[27]:b:[e,n,x]","1,4,12,[27]",b,-,,B,TRUE,salamae
Paratyphi B,"1,4,[5],12",b,"1,2","[z5],[z33]",B,FALSE,enterica
Paratyphi B var. Java,"1,4,[5],12",b,"1,2","[z5],[z33]",B,FALSE,enterica
"II 4,12:b:1,5","4,12",b,"1,5",,B,FALSE,salamae
Limete,"1,4,12,[27]",b,"1,5",,B,FALSE,enterica
Canada,"4,12,[27]",b,"1,6",,B,FALSE,enterica
Uppsala,"1,4,12,27",b,"1,7",,B,FALSE,enterica
Abony,"1,4,[5],12,[27]",b,"e,n,x",,B,FALSE,enterica
"II 1,4,[5],12,[27]:b:[e,n,x]","1,4,[5],12,[27]",b,"e,n,x",,B,TRUE,salamae
Wagenia,"1,4,12,27",b,"e,n,z15",,B,FALSE,enterica
Wien,"1,4,12,[27]",b,"l,w",,B,FALSE,enterica
Tripoli,"1,4,12,27",b,z6,,B,FALSE,enterica
Legon,"1,4,12,[27]",c,"1,5",,B,FALSE,enterica
Abortusovis,"4,12",c,"1,6",,B,FALSE,enterica
Altendorf,"4,12,[27]",c,"1,7",,B,FALSE,enterica
Bissau,"4,12",c,"e,n,x",,B,FALSE,enterica
Jericho,"1,4,12,27",c,"e,n,z15",,B,FALSE,enterica
Hallfold,"1,4,12,27",c,"l,w",,B,FALSE,enterica
Bury,"4,12,27",c,z6,,B,FALSE,enterica
"I 1,4,[5],12:d:-","1,4,[5],12",d,-,,B,TRUE,enterica
Stanley,"1,4,[5],12,[27]",d,"1,2",,B,FALSE,enterica
Eppendorf,"1,4,12,[27]",d,"1,5",,B,FALSE,enterica
Brezany,"1,4,12,27",d,"1,6",,B,FALSE,enterica
Schwarzengrund,"1,4,12,27",d,"1,7",,B,FALSE,enterica
"II 4,12:d:e,n,x","4,12",d,"e,n,x",,B,FALSE,salamae
Sarajane,"1,4,[5],12,[27]",d,"e,n,x",,B,FALSE,enterica
Duisburg,"1,4,12,[27]",d,"e,n,z15","[e,h]",B,FALSE,enterica
